datetime,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2026-07-03 09:35:00,4.83,4.86,4.869,4.828,423743,205644709.0,0.85,0.21,0.01,0.18
2026-07-03 09:40:00,4.86,4.876,4.878,4.86,382253,186156707.0,0.37,0.33,0.016,0.16
2026-07-03 09:45:00,4.876,4.877,4.883,4.872,291143,142005980.0,0.23,0.02,0.001,0.12
2026-07-03 09:50:00,4.877,4.863,4.878,4.862,122085,59450061.0,0.33,-0.29,-0.014,0.05
2026-07-03 09:55:00,4.862,4.866,4.871,4.858,139976,68058059.0,0.27,0.06,0.003,0.06
2026-07-03 10:00:00,4.866,4.871,4.872,4.863,129946,63259100.0,0.18,0.1,0.005,0.05
2026-07-03 10:05:00,4.872,4.875,4.88,4.868,171153,83427011.0,0.25,0.08,0.004,0.07
2026-07-03 10:10:00,4.874,4.884,4.886,4.874,145347,70962298.0,0.25,0.18,0.009,0.06
2026-07-03 10:15:00,4.884,4.873,4.884,4.872,104563,50982024.0,0.25,-0.23,-0.011,0.04
2026-07-03 10:20:00,4.874,4.876,4.888,4.873,172081,84023901.0,0.31,0.06,0.003,0.07
2026-07-03 10:25:00,4.875,4.877,4.881,4.869,124921,60888110.0,0.25,0.02,0.001,0.05
2026-07-03 10:30:00,4.878,4.881,4.883,4.877,80179,39139801.0,0.12,0.08,0.004,0.03
2026-07-03 10:35:00,4.881,4.891,4.892,4.878,177586,86764828.0,0.29,0.2,0.01,0.07
2026-07-03 10:40:00,4.892,4.896,4.897,4.886,123310,60320972.0,0.22,0.1,0.005,0.05
2026-07-03 10:45:00,4.896,4.901,4.901,4.893,207626,101708713.0,0.16,0.1,0.005,0.09
2026-07-03 10:50:00,4.902,4.91,4.911,4.902,291614,143099488.0,0.18,0.18,0.009,0.12
2026-07-03 10:55:00,4.911,4.91,4.917,4.902,354198,173948581.0,0.31,0.0,0.0,0.15
2026-07-03 11:00:00,4.91,4.914,4.916,4.91,489527,240432939.0,0.12,0.08,0.004,0.21
2026-07-03 11:05:00,4.914,4.914,4.919,4.91,545455,268058442.0,0.18,0.0,0.0,0.23
2026-07-03 11:10:00,4.912,4.909,4.915,4.906,668807,328416151.0,0.18,-0.1,-0.005,0.28
2026-07-03 11:15:00,4.909,4.907,4.909,4.9,526075,258010015.0,0.18,-0.04,-0.002,0.22
2026-07-03 11:20:00,4.908,4.902,4.911,4.902,739721,362852767.0,0.18,-0.1,-0.005,0.31
2026-07-03 11:25:00,4.902,4.896,4.906,4.896,914127,447983653.0,0.2,-0.12,-0.006,0.39
2026-07-03 11:30:00,4.898,4.898,4.907,4.896,555305,272112699.0,0.22,0.04,0.002,0.23
2026-07-03 13:05:00,4.901,4.924,4.927,4.901,1597126,786128139.0,0.53,0.53,0.026,0.67
2026-07-03 13:10:00,4.924,4.915,4.927,4.914,1746641,859691639.0,0.26,-0.18,-0.009,0.74
2026-07-03 13:15:00,4.915,4.903,4.917,4.902,1144396,561842012.0,0.31,-0.24,-0.012,0.48
2026-07-03 13:20:00,4.904,4.9,4.91,4.897,1016166,498190077.0,0.27,-0.06,-0.003,0.43
2026-07-03 13:25:00,4.9,4.89,4.9,4.884,846234,413905094.0,0.33,-0.2,-0.01,0.36
2026-07-03 13:30:00,4.889,4.888,4.892,4.884,957456,468084932.0,0.16,-0.04,-0.002,0.4
