date,rows_new,unique_labels_new,valid_new,volume_shares_new,amount_cny_new,minimum_low_new,maximum_high_new,complete_new,positive_totals_new,vwap_new,inside_range_new,pass_new,window,rows_old,unique_labels_old,valid_old,volume_shares_old,amount_cny_old,minimum_low_old,maximum_high_old,complete_old,positive_totals_old,vwap_old,inside_range_old,pass_old,vwap_match
2021-08-12,5,5,True,3631600,18374211,5.057,5.063,True,True,5.059536017182509,True,True,pre,5,5,True,3631600,18374211,5.057,5.063,True,True,5.059536017182509,True,True,True
2021-08-13,5,5,True,4915000,24723765,5.028,5.034,True,True,5.030267548321465,True,True,pre,5,5,True,4915000,24723765,5.028,5.034,True,True,5.030267548321465,True,True,True
2021-08-16,5,5,True,8811300,44251624,5.01,5.025,True,True,5.022144745951222,True,True,pre,5,5,True,8811300,44251624,5.01,5.025,True,True,5.022144745951222,True,True,True
2021-08-17,5,5,True,10278600,51729144,5.028,5.037,True,True,5.032703286439787,True,True,pre,5,5,True,10278600,51729144,5.028,5.037,True,True,5.032703286439787,True,True,True
2021-08-18,5,5,True,4897400,24025296,4.903,4.91,True,True,4.905724670233185,True,True,pre,5,5,True,4897400,24025296,4.903,4.91,True,True,4.905724670233185,True,True,True
2021-08-19,5,5,True,5587600,27611389,4.937,4.945,True,True,4.941547175889469,True,True,pre,5,5,True,5587600,27611389,4.937,4.945,True,True,4.941547175889469,True,True,True
2021-08-20,5,5,True,3837400,18737821,4.877,4.894,True,True,4.882947047480065,True,True,pre,5,5,True,3837400,18737821,4.877,4.894,True,True,4.882947047480065,True,True,True
2021-08-23,5,5,True,9348600,45506364,4.862,4.872,True,True,4.8677196585585,True,True,pre,5,5,True,9348600,45506364,4.862,4.872,True,True,4.8677196585585,True,True,True
2021-08-24,5,5,True,3925600,19385562,4.934,4.941,True,True,4.93824179743224,True,True,pre,5,5,True,3925600,19385562,4.934,4.941,True,True,4.93824179743224,True,True,True
2021-08-25,5,5,True,2809500,13920567,4.952,4.957,True,True,4.954820074746396,True,True,pre,5,5,True,2809500,13920567,4.952,4.957,True,True,4.954820074746396,True,True,True
2021-08-26,5,5,True,1876600,9260959,4.932,4.938,True,True,4.934966961526165,True,True,pre,5,5,True,1876600,9260959,4.932,4.938,True,True,4.934966961526165,True,True,True
2021-08-27,5,5,True,4229400,20688784,4.887,4.899,True,True,4.8916593370218,True,True,pre,5,5,True,4229400,20688784,4.887,4.899,True,True,4.8916593370218,True,True,True
2021-08-30,5,5,True,12254419,59982421,4.888,4.9,True,True,4.894758454072772,True,True,pre,5,5,True,12254419,59982421,4.888,4.9,True,True,4.894758454072772,True,True,True
