ts_code,trade_time,receipt_path,vol_unchanged_from_raw,amount_unchanged_from_raw,low_unchanged_from_raw,high_unchanged_from_raw
510300.SH,2017-01-04 14:46:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201701/retrieved_at=20260904T222710569256+0800-d88ded0bc50d/receipt.json,True,True,True,True
510300.SH,2017-01-10 14:43:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201701/retrieved_at=20260904T222710569256+0800-d88ded0bc50d/receipt.json,True,True,True,True
510300.SH,2017-01-12 10:37:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201701/retrieved_at=20260904T222710569256+0800-d88ded0bc50d/receipt.json,True,True,True,True
510300.SH,2017-01-13 13:50:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201701/retrieved_at=20260904T222710569256+0800-d88ded0bc50d/receipt.json,True,True,True,True
510300.SH,2017-02-07 10:07:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201702/retrieved_at=20260904T222711241127+0800-717c75bdb98a/receipt.json,True,True,True,True
510300.SH,2017-02-07 14:26:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201702/retrieved_at=20260904T222711241127+0800-717c75bdb98a/receipt.json,True,True,True,True
510300.SH,2017-02-22 11:29:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201702/retrieved_at=20260904T222711241127+0800-717c75bdb98a/receipt.json,True,True,True,True
510300.SH,2017-02-24 13:51:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201702/retrieved_at=20260904T222711241127+0800-717c75bdb98a/receipt.json,True,True,True,True
510300.SH,2017-02-28 13:01:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201702/retrieved_at=20260904T222711241127+0800-717c75bdb98a/receipt.json,True,True,True,True
510300.SH,2017-03-02 10:39:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-03-03 14:58:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-03-07 10:54:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-03-07 11:08:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-03-07 13:49:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-03-24 13:18:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-03-27 13:48:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-03-29 10:15:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201703/retrieved_at=20260904T222711891913+0800-40d9dd304fe4/receipt.json,True,True,True,True
510300.SH,2017-04-10 14:49:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201704/retrieved_at=20260904T222712548573+0800-ede873f07cef/receipt.json,True,True,True,True
510300.SH,2017-04-18 13:05:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201704/retrieved_at=20260904T222712548573+0800-ede873f07cef/receipt.json,True,True,True,True
510300.SH,2017-04-18 13:08:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201704/retrieved_at=20260904T222712548573+0800-ede873f07cef/receipt.json,True,True,True,True
510300.SH,2017-05-16 10:56:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201705/retrieved_at=20260904T222713207640+0800-fc6b4b7656b6/receipt.json,True,True,True,True
510300.SH,2017-05-17 14:29:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201705/retrieved_at=20260904T222713207640+0800-fc6b4b7656b6/receipt.json,True,True,True,True
510300.SH,2017-05-18 11:14:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201705/retrieved_at=20260904T222713207640+0800-fc6b4b7656b6/receipt.json,True,True,True,True
510300.SH,2017-05-19 10:34:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201705/retrieved_at=20260904T222713207640+0800-fc6b4b7656b6/receipt.json,True,True,True,True
510300.SH,2017-05-19 10:55:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201705/retrieved_at=20260904T222713207640+0800-fc6b4b7656b6/receipt.json,True,True,True,True
510300.SH,2017-05-19 11:29:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201705/retrieved_at=20260904T222713207640+0800-fc6b4b7656b6/receipt.json,True,True,True,True
510300.SH,2017-06-01 10:56:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201706/retrieved_at=20260904T222713989487+0800-51530bef0248/receipt.json,True,True,True,True
510300.SH,2017-06-06 13:03:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201706/retrieved_at=20260904T222713989487+0800-51530bef0248/receipt.json,True,True,True,True
510300.SH,2017-06-13 10:41:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201706/retrieved_at=20260904T222713989487+0800-51530bef0248/receipt.json,True,True,True,True
510300.SH,2017-06-30 13:24:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201706/retrieved_at=20260904T222713989487+0800-51530bef0248/receipt.json,True,True,True,True
510300.SH,2017-06-30 13:27:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201706/retrieved_at=20260904T222713989487+0800-51530bef0248/receipt.json,True,True,True,True
510300.SH,2017-06-30 13:30:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201706/retrieved_at=20260904T222713989487+0800-51530bef0248/receipt.json,True,True,True,True
510300.SH,2017-07-14 14:00:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201707/retrieved_at=20260904T222714494636+0800-8705cc700432/receipt.json,True,True,True,True
510300.SH,2017-07-20 13:05:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201707/retrieved_at=20260904T222714494636+0800-8705cc700432/receipt.json,True,True,True,True
510300.SH,2017-07-24 10:33:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201707/retrieved_at=20260904T222714494636+0800-8705cc700432/receipt.json,True,True,True,True
510300.SH,2017-07-28 13:14:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201707/retrieved_at=20260904T222714494636+0800-8705cc700432/receipt.json,True,True,True,True
510300.SH,2017-08-02 14:30:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-04 13:59:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-08 11:06:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-09 10:18:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-10 10:11:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-10 13:39:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-17 10:19:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-17 13:33:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-17 13:41:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-17 13:52:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
510300.SH,2017-08-21 09:40:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201708/retrieved_at=20260904T222715164342+0800-bbaff2588bc8/receipt.json,True,True,True,True
