period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,CYCLE_LOSS_BAND00_01,473,85,100,0,0,0.14999930635276554
evaluation,BASE,CYCLE_LOSS_BAND00_02,563,100,120,0,0,0.18375382783141633
evaluation,BASE,CYCLE_LOSS_BAND00_03,595,97,122,0,0,0.1899500841594557
evaluation,BASE,CYCLE_LOSS_BAND20_01,475,61,55,0,0,0.1497669113991111
evaluation,BASE,CYCLE_LOSS_BAND20_02,563,64,58,0,0,0.18468562889477194
evaluation,BASE,CYCLE_LOSS_BAND20_03,595,64,60,0,0,0.1916235972764051
evaluation,STRESS,CYCLE_LOSS_BAND00_01,473,82,96,0,0,0.15015117960109528
evaluation,STRESS,CYCLE_LOSS_BAND00_02,563,94,118,0,0,0.1839845894939667
evaluation,STRESS,CYCLE_LOSS_BAND00_03,595,93,123,0,0,0.19014362492185377
evaluation,STRESS,CYCLE_LOSS_BAND20_01,475,61,55,0,0,0.14993723927262695
evaluation,STRESS,CYCLE_LOSS_BAND20_02,563,64,58,0,0,0.18484391732110048
evaluation,STRESS,CYCLE_LOSS_BAND20_03,593,64,59,0,0,0.19122194856681915
earlier_diagnostic,BASE,CYCLE_LOSS_BAND00_01,338,45,53,0,0,0.16856441213989576
earlier_diagnostic,BASE,CYCLE_LOSS_BAND00_02,371,44,58,0,0,0.1905112623613777
earlier_diagnostic,BASE,CYCLE_LOSS_BAND00_03,373,42,57,0,0,0.1921318867313001
earlier_diagnostic,BASE,CYCLE_LOSS_BAND20_01,343,27,28,0,0,0.1717345890210648
earlier_diagnostic,BASE,CYCLE_LOSS_BAND20_02,371,27,28,0,0,0.19084998310861187
earlier_diagnostic,BASE,CYCLE_LOSS_BAND20_03,429,27,28,0,0,0.22931369699783696
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND00_01,337,50,58,0,0,0.16686942412578043
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND00_02,353,48,58,0,0,0.1754775558265229
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND00_03,379,46,63,0,0,0.1959752731459384
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND20_01,340,28,28,0,0,0.16938417761031016
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND20_02,371,28,28,0,0,0.18911874735658013
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND20_03,435,28,28,0,0,0.2325410396058594
