cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,CYCLE_LOSS_BAND00_01,2020—2021,0.3425900867999993,0.1579997349686448,0.14982153950556468,0.07942775913188542,1.886261694186717,-0.03200670081397052,486,0.18303019486568037,55,866.2826400000001,2389.000000000009,False,3.8255620893323794e-11
BASE,CYCLE_LOSS_BAND00_01,2022—2023,-0.02457007073441446,-0.012361437941194228,-0.012137937217237882,0.024537677440233645,-0.49466528553088296,-0.03243257057955533,484,0.04428139477094753,42,528.20668,1315.1999999999155,False,6.895106707816012e-11
BASE,CYCLE_LOSS_BAND00_01,2024—终点,0.3859580697118707,0.13267809520390966,0.1292254580442312,0.09763640264319913,1.3235376821129983,-0.07264669187594228,634,0.2053848858296162,88,2004.76528,5660.699999999977,False,8.620304470241535e-11
BASE,CYCLE_LOSS_BAND00_02,2020—2021,0.3362383982999985,0.15526855702385192,0.1475599597252525,0.08069430026733734,1.8286292741419357,-0.0374534742436264,486,0.1980719081801056,68,951.02034,2536.6000000000095,False,4.6838977141305804e-11
BASE,CYCLE_LOSS_BAND00_02,2022—2023,0.009505702287974323,0.004741609712653596,0.005240846122869625,0.03203488986873099,0.16359806899118373,-0.029942598026622243,484,0.06226937149647989,50,640.32312,1713.1999999999493,False,6.292566467891447e-11
BASE,CYCLE_LOSS_BAND00_02,2024—终点,0.37195565558745264,0.12829634927934672,0.12590770018347383,0.10321151941382105,1.219899686571357,-0.08642749817882478,634,0.2655202155548332,102,2132.90656,5914.599999999866,False,7.346301345023676e-11
BASE,CYCLE_LOSS_BAND00_03,2020—2021,0.3366714861999979,0.15545498832146076,0.14772120859095916,0.08069165853104068,1.8306874747670898,-0.03718574227609321,486,0.1985088129305959,66,940.30276,2536.0000000000095,False,4.8544279707130045e-11
BASE,CYCLE_LOSS_BAND00_03,2022—2023,0.00951771570751984,0.004747588057577693,0.005246641035075494,0.0320300222545263,0.16380385231652683,-0.02994343734438463,484,0.06226755988994395,50,640.48816,1713.299999999949,False,7.418066161335446e-11
BASE,CYCLE_LOSS_BAND00_03,2024—终点,0.3662316826582329,0.12649719732480663,0.12443904114413498,0.10444583375878208,1.1914217797478381,-0.08864732038885033,634,0.2808630172251805,103,2144.86626,5965.7999999998665,False,9.328005035058595e-11
BASE,CYCLE_LOSS_BAND20_01,2020—2021,0.33290470730000027,0.1538324867660612,0.14618693236385205,0.07907241203936212,1.8487728980757592,-0.03325333478109831,486,0.18209857507295354,33,762.75854,2279.5000000000045,False,4.419575816427823e-11
BASE,CYCLE_LOSS_BAND20_01,2022—2023,-0.02473333653894915,-0.012444096032507714,-0.012221295929843945,0.024551222271462756,-0.49778767813321595,-0.032647179778877176,484,0.044347906941422086,30,469.03614000000005,1295.3999999999155,False,4.6270542952697724e-11
BASE,CYCLE_LOSS_BAND20_01,2024—终点,0.391319254034066,0.1343485113409346,0.13100155216612627,0.10088452370705897,1.2985297184582931,-0.07289825963930448,634,0.20546030195436993,53,1843.2833600000001,5497.39999999998,False,1.0027179087046534e-10
BASE,CYCLE_LOSS_BAND20_02,2020—2021,0.329334542000001,0.15229254823521685,0.1449255737141757,0.08001839141414847,1.811153300546737,-0.04109136939662761,486,0.1944853287947002,36,815.0916000000001,2438.5000000000105,False,5.326228347257711e-11
BASE,CYCLE_LOSS_BAND20_02,2022—2023,0.00963061493966723,0.004803769369754718,0.005311625105441586,0.032314589559676615,0.16437235248284374,-0.030059654792842685,484,0.062306215538709506,33,564.83818,1693.2999999999488,False,7.37543359718984e-11
BASE,CYCLE_LOSS_BAND20_02,2024—终点,0.3761140979671904,0.12960051694399735,0.1274094890091632,0.10671353797553812,1.1939393204109605,-0.08859321613099305,634,0.2705988495776885,53,1917.0817800000002,5723.59999999986,False,7.338485374930315e-11
BASE,CYCLE_LOSS_BAND20_03,2020—2021,0.32968163000000217,0.1524423506095368,0.14505536940453265,0.0800148769632967,1.812854995341309,-0.040823217656372236,486,0.19491049450589434,37,819.2740000000001,2438.5000000000105,False,4.092726157978177e-11
BASE,CYCLE_LOSS_BAND20_03,2022—2023,0.009628101051528878,0.004802518434109458,0.0053101127510055135,0.032306255481930085,0.16436794273405125,-0.03005208226471282,484,0.062290198722311396,33,564.83818,1693.2999999999488,False,7.37543359718984e-11
BASE,CYCLE_LOSS_BAND20_03,2024—终点,0.37824802830820264,0.1302688127118002,0.12814350388570372,0.10803654123116743,1.1861126099132804,-0.09053622595219096,634,0.28783800239730345,54,1930.9194000000002,5729.899999999863,False,8.242295734817162e-11
BASE,INTENT_MIX_BAND_00,2020—2021,0.3366714861999979,0.15545498832146076,0.14772120859095916,0.08069165853104068,1.8306874747670898,-0.03718574227609321,486,0.1985088129305959,66,940.30276,2536.0000000000095,False,4.8544279707130045e-11
BASE,INTENT_MIX_BAND_00,2022—2023,0.00951771570751984,0.004747588057577693,0.005246641035075494,0.0320300222545263,0.16380385231652683,-0.02994343734438463,484,0.06226755988994395,50,640.48816,1713.299999999949,False,7.418066161335446e-11
BASE,INTENT_MIX_BAND_00,2024—终点,0.4329120536343119,0.14717464333279764,0.14297863325344354,0.10767975952846574,1.327813452403247,-0.07884983281915135,634,0.30161801474532873,109,2186.75382,6054.499999999867,False,8.526512829121202e-11
BASE,INTENT_MIX_BAND_20,2020—2021,0.32968163000000217,0.1524423506095368,0.14505536940453265,0.0800148769632967,1.812854995341309,-0.040823217656372236,486,0.19491049450589434,37,819.2740000000001,2438.5000000000105,False,4.092726157978177e-11
BASE,INTENT_MIX_BAND_20,2022—2023,0.009628101051528878,0.004802518434109458,0.0053101127510055135,0.032306255481930085,0.16436794273405125,-0.03005208226471282,484,0.062290198722311396,33,564.83818,1693.2999999999488,False,7.37543359718984e-11
BASE,INTENT_MIX_BAND_20,2024—终点,0.444591182819018,0.15073468987723707,0.14644614284751678,0.1112276436728544,1.3166344086030262,-0.07687237572528878,634,0.30874351210276796,56,1957.6955200000002,5818.399999999869,False,7.078426733642118e-11
BASE,TWO_CLOSE_ZERO_EXIT,2020—2021,0.3437712706000006,0.15850691917375448,0.15065536089303078,0.08440764610640815,1.7848544277980187,-0.04035369917955439,486,0.20679969580151789,41,893.2458800000002,2694.3000000000084,False,4.8771653382573277e-11
BASE,TWO_CLOSE_ZERO_EXIT,2022—2023,0.015392021657647819,0.00766662228023005,0.008281033282342365,0.035980488155602695,0.23015344445939334,-0.03199078188720934,484,0.0632908527832167,13,506.42870000000005,1776.0999999999408,False,8.640199666842818e-11
BASE,TWO_CLOSE_ZERO_EXIT,2024—终点,0.42904131927363887,0.145990804620472,0.14199628314156174,0.10815842037296107,1.312854631677479,-0.07808473542008028,634,0.3014390416450062,59,2024.6173400000002,6096.399999999862,False,8.031264542296412e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,CYCLE_LOSS_BAND00_01,2020—2021,0.32760890080000077,0.15154747381696904,0.14423123890760048,0.07943044027530301,1.8158181977551713,-0.03582650603295746,486,0.18306610743365825,56,1617.01984,4309.7999999999765,False,4.7270631853280065e-11
STRESS,CYCLE_LOSS_BAND00_01,2022—2023,-0.029546383860760382,-0.014883958033755487,-0.014690339130470742,0.024730842230884485,-0.5940088490850136,-0.034075361984883784,484,0.04428767277757199,35,847.0084400000001,2254.6000000000263,False,5.7696070143720135e-11
STRESS,CYCLE_LOSS_BAND00_01,2024—终点,0.35799949799176783,0.1239014773122877,0.12140247979731972,0.09718485148827967,1.2491913908204166,-0.07766552465071823,634,0.2057367984906216,87,3730.2166800000005,9931.100000000028,False,7.912603905424476e-11
STRESS,CYCLE_LOSS_BAND00_02,2020—2021,0.32066145480000025,0.14854286732727875,0.14171732059187528,0.08068483010153032,1.7564307988694317,-0.04145901157946706,486,0.1981413786131927,64,1717.2090400000002,4570.199999999973,False,4.638422979041934e-11
STRESS,CYCLE_LOSS_BAND00_02,2022—2023,0.003399611296053304,0.0016983634288584102,0.002214075118661729,0.032242567536606884,0.0686693178559046,-0.03150143954330855,484,0.06230486811888393,54,1103.35288,2870.2000000000544,False,4.746425474877469e-11
STRESS,CYCLE_LOSS_BAND00_02,2024—终点,0.34468126664258386,0.1196813745425169,0.11820866352727662,0.10288684006465659,1.1489191761841593,-0.08980310091108017,634,0.2660236835532668,94,3890.24184,10367.199999999952,False,8.431300102529349e-11
STRESS,CYCLE_LOSS_BAND00_03,2020—2021,0.3210556254000009,0.1487135488452281,0.14186581731140965,0.08068250013831184,1.7583220285466228,-0.04118676290369713,486,0.19857503195780432,64,1715.7749200000003,4570.199999999973,False,5.610445441561751e-11
STRESS,CYCLE_LOSS_BAND00_03,2022—2023,0.003379812563644004,0.001688480798119193,0.0022043750447711674,0.03224749105229949,0.06835803260464751,-0.03152138523461485,484,0.06230247772278805,51,1088.5159199999998,2870.300000000054,False,6.110667527536862e-11
STRESS,CYCLE_LOSS_BAND00_03,2024—终点,0.3383763856555689,0.1176745529817609,0.11653520450070513,0.10405782398878509,1.1199081436996492,-0.09071079283954084,634,0.2812752517749702,101,3950.42972,10493.200000000006,False,7.071321306284517e-11
STRESS,CYCLE_LOSS_BAND20_01,2020—2021,0.31867283319999945,0.1476813754066791,0.14084237989453607,0.07912114853396073,1.780085128997882,-0.03708901009255665,486,0.1821312303786963,33,1492.2333600000002,4116.899999999978,False,4.32578417530749e-11
