period,cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target,joint_point_pass
evaluation,BASE,CYCLE_LOSS_BAND00_01,0个百分点调仓、账户周期亏损1%触发退出,0.815054227000001,0.09410601136967522,0.09281012904401738,0.07664560112464032,1.2108996169668036,-0.07264669187594215,1604,0.14999930635276554,185,3399.2546,9364.899999999901,False,8.620304470241535e-11,0.05784853972405825,True,False
evaluation,STRESS,CYCLE_LOSS_BAND00_01,0个百分点调仓、账户周期亏损1%触发退出,0.7496232752000012,0.08806221403003366,0.08725400882883211,0.07643143485845856,1.1415984665264443,-0.07766552465071826,1604,0.15015117960109528,178,6194.24496,16495.50000000003,False,7.912603905424476e-11,0.05197726951629101,False,False
earlier_diagnostic,BASE,CYCLE_LOSS_BAND00_01,0个百分点调仓、账户周期亏损1%触发退出,0.23031251149999896,0.04200587954907763,0.04328196210240072,0.06531671720695024,0.6626475419036393,-0.06293953754444365,1219,0.16856441213989576,98,1540.2977,3950.2000000000317,False,4.661160346586257e-11,0.0030446513524337027,False,False
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND00_01,0个百分点调仓、账户周期亏损1%触发退出,0.2114909632000031,0.038821677243599396,0.04021605094641236,0.06523932809876198,0.6164387665907847,-0.0665716781850711,1219,0.16686942412578043,108,2848.60736,7497.199999999993,False,5.093170329928398e-11,0.0001214051579127226,False,False
evaluation,BASE,CYCLE_LOSS_BAND00_02,0个百分点调仓、账户周期亏损2%触发退出,0.8506862498999985,0.09731989334590396,0.0960574762258504,0.08062855944027923,1.1913579616537637,-0.08642749817882468,1604,0.18375382783141633,220,3724.2500200000004,10164.399999999827,False,7.346301345023676e-11,0.06106242170028699,False,False
evaluation,STRESS,CYCLE_LOSS_BAND00_02,0个百分点调仓、账户周期亏损2%触发退出,0.781905981200002,0.09106768866396438,0.09033074990110787,0.08048165353015756,1.1223769137305277,-0.08980310091108025,1604,0.1839845894939667,212,6710.803760000001,17807.599999999984,False,8.431300102529349e-11,0.05498274415022173,False,False
earlier_diagnostic,BASE,CYCLE_LOSS_BAND00_02,0个百分点调仓、账户周期亏损2%触发退出,0.24127747679999936,0.043842959525897854,0.045782661732081974,0.07560659496359258,0.6055379395690025,-0.0801793607727758,1219,0.1905112623613777,102,1514.9046400000002,3829.200000000009,False,4.1314507370771025e-11,0.00488173132925393,False,False
earlier_diagnostic,STRESS,CYCLE_LOSS_BAND00_02,0个百分点调仓、账户周期亏损2%触发退出,0.13009897199999865,0.024577614860268958,0.02692352574508821,0.07248194947740376,0.37145145707596644,-0.08382720825538016,1219,0.1754775558265229,106,2707.6056,7135.699999999993,False,5.4086513046058826e-11,-0.014122657225417716,False,False
evaluation,BASE,CYCLE_LOSS_BAND00_03,0个百分点调仓、账户周期亏损3%触发退出,0.8435842140999963,0.09668353316618226,0.0955275771331448,0.08125167607518376,1.175699773193002,-0.08864732038885029,1604,0.1899500841594557,219,3725.6571799999997,10215.099999999826,False,9.328005035058595e-11,0.06042606152056529,False,False
evaluation,STRESS,CYCLE_LOSS_BAND00_03,0个百分点调仓、账户周期亏损3%触发退出,0.7740453972000014,0.09034016426220536,0.08971136183819288,0.08107306697554671,1.1065495013930047,-0.0907107928395408,1604,0.19014362492185377,216,6754.72056,17933.700000000037,False,7.071321306284517e-11,0.05425521974846271,False,False
