model,period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
CYCLE_LOSS_BAND00_01,evaluation,BASE,1.2108996169668036,43,473,175775.00000000003,12764.154599999902,163010.84540000005
CYCLE_LOSS_BAND00_01,evaluation,STRESS,1.1415984665264443,43,473,172614.40000000005,22689.74496000003,149924.65503999975
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,0.6626475419036393,24,338,51553.0,5490.497700000032,46062.50229999999
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,0.6164387665907847,24,337,52643.99999999999,10345.807359999993,42298.19264000014
CYCLE_LOSS_BAND00_02,evaluation,BASE,1.1913579616537637,43,563,184025.90000000005,13888.650019999826,170137.24998000026
CYCLE_LOSS_BAND00_02,evaluation,STRESS,1.1223769137305277,43,563,180899.60000000003,24518.403759999987,156381.19624000008
CYCLE_LOSS_BAND00_02,earlier_diagnostic,BASE,0.6055379395690025,24,371,53599.6,5344.104640000009,48255.49536000012
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,0.37145145707596644,24,353,35863.09999999999,9843.305599999992,26019.794399999897
CYCLE_LOSS_BAND00_03,evaluation,BASE,1.175699773193002,43,595,182657.60000000003,13940.757179999826,168716.84282000014
CYCLE_LOSS_BAND00_03,evaluation,STRESS,1.1065495013930047,43,595,179497.50000000003,24688.420560000035,154809.07944
CYCLE_LOSS_BAND00_03,earlier_diagnostic,BASE,0.588939185442549,24,373,52022.7,5304.447980000009,46718.252020000014
CYCLE_LOSS_BAND00_03,earlier_diagnostic,STRESS,0.6011715505036441,24,379,58466.7,10029.146319999993,48437.553679999895
CYCLE_LOSS_BAND20_01,evaluation,BASE,1.1817094322312258,43,475,173873.00000000006,12147.378039999901,161725.62196000002
CYCLE_LOSS_BAND20_01,evaluation,STRESS,1.1147792510256838,43,475,170993.60000000003,21867.24060000004,149126.35940000013
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,0.5419037487231854,24,343,44023.1,4884.6456199999975,39138.45438000004
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,0.5519667817505892,24,340,47453.499999999985,9553.54427999998,37899.955720000085
CYCLE_LOSS_BAND20_02,evaluation,BASE,1.1657677469408094,43,563,182539.10000000003,13152.411559999819,169386.68844000023
CYCLE_LOSS_BAND20_02,evaluation,STRESS,1.0987077263836278,43,563,179402.30000000005,23575.013519999986,155827.28648000013
CYCLE_LOSS_BAND20_02,earlier_diagnostic,BASE,0.6516322107387595,24,371,56082.999999999985,4915.167500000001,51167.83249999993
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,0.6091686556492347,24,371,57051.99999999998,9442.567559999992,47609.432439999946
CYCLE_LOSS_BAND20_03,evaluation,BASE,1.1602056131851497,43,595,183231.90000000002,13176.731579999821,170055.1684200003
CYCLE_LOSS_BAND20_03,evaluation,STRESS,1.1115790547134379,43,593,183693.20000000007,23639.887320000045,160053.3126800001
CYCLE_LOSS_BAND20_03,earlier_diagnostic,BASE,0.7374769139645264,24,429,68043.7,5109.166600000026,62934.53339999984
CYCLE_LOSS_BAND20_03,earlier_diagnostic,STRESS,0.7308924690288688,24,435,72675.5,9827.79787999999,62847.70212000015
