period,date,status,panic_days,learned_days
evaluation,2020-01-02,NO_VIEW_WARMUP_KEEP_BUDGET,0,0
evaluation,2020-02-03,NO_VIEW_WARMUP_KEEP_BUDGET,0,0
evaluation,2020-03-02,NO_VIEW_WARMUP_KEEP_BUDGET,10,19
evaluation,2020-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,10,19
evaluation,2020-05-06,NO_VIEW_WARMUP_KEEP_BUDGET,10,19
evaluation,2020-06-01,NO_VIEW_WARMUP_KEEP_BUDGET,10,19
evaluation,2020-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,10,20
evaluation,2020-08-03,NO_VIEW_WARMUP_KEEP_BUDGET,10,30
evaluation,2020-09-01,NO_VIEW_WARMUP_KEEP_BUDGET,10,40
evaluation,2020-10-09,NO_VIEW_WARMUP_KEEP_BUDGET,10,48
evaluation,2020-11-02,NO_VIEW_WARMUP_KEEP_BUDGET,10,48
evaluation,2020-12-01,NO_VIEW_WARMUP_KEEP_BUDGET,10,48
evaluation,2021-01-04,RISK_BUDGET_AVAILABLE,10,48
evaluation,2021-02-01,RISK_BUDGET_AVAILABLE,6,57
evaluation,2021-03-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,55
evaluation,2021-04-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,55
evaluation,2021-05-06,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,55
evaluation,2021-06-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,55
evaluation,2021-07-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,69
evaluation,2021-08-02,RISK_BUDGET_AVAILABLE,3,75
evaluation,2021-09-01,RISK_BUDGET_AVAILABLE,10,63
evaluation,2021-10-08,RISK_BUDGET_AVAILABLE,10,57
evaluation,2021-11-01,RISK_BUDGET_AVAILABLE,10,59
evaluation,2021-12-01,RISK_BUDGET_AVAILABLE,10,79
evaluation,2022-01-04,RISK_BUDGET_AVAILABLE,10,84
evaluation,2022-02-07,RISK_BUDGET_AVAILABLE,10,72
evaluation,2022-03-01,RISK_BUDGET_AVAILABLE,10,59
evaluation,2022-04-01,RISK_BUDGET_AVAILABLE,10,59
evaluation,2022-05-05,RISK_BUDGET_AVAILABLE,10,59
evaluation,2022-06-01,RISK_BUDGET_AVAILABLE,10,66
evaluation,2022-07-01,RISK_BUDGET_AVAILABLE,10,52
evaluation,2022-08-01,RISK_BUDGET_AVAILABLE,8,38
evaluation,2022-09-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,51
evaluation,2022-10-10,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,51
evaluation,2022-11-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,48
evaluation,2022-12-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,28
evaluation,2023-01-03,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,23
evaluation,2023-02-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,23
evaluation,2023-03-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,23
evaluation,2023-04-03,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,23
evaluation,2023-05-04,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,23
evaluation,2023-06-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,16
evaluation,2023-07-03,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,13
evaluation,2023-08-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,13
evaluation,2023-09-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,0
evaluation,2023-10-09,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,0
evaluation,2023-11-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,0
evaluation,2023-12-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,0
evaluation,2024-01-02,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,0
evaluation,2024-02-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,0
evaluation,2024-03-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,5
evaluation,2024-04-01,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,5
evaluation,2024-05-06,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,5
evaluation,2024-06-03,NO_VIEW_TOO_FEW_ACTIVE_DAYS_KEEP_BUDGET,0,5
