period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,135565.90776,7637.000000000029,55.71104,159.40000000000555,0.0,18,1,2,2020-03-02,2020-02-28,False,7421.888960000024,0.05474745887542327
evaluation,BASE,2,2020-07-01,2020-06-30,76692.3354,12315.899999999994,33.11202,109.80000000000416,0.0,10,1,1,2020-07-15,2020-07-14,False,12172.987979999989,0.15872496145162363
evaluation,BASE,3,2020-08-19,2020-08-18,88164.6294,-4289.699999999997,34.37914,108.60000000000412,0.0,17,1,1,2020-09-11,2020-09-10,False,-4432.679140000001,-0.05027729567022941
evaluation,BASE,4,2021-01-05,2021-01-04,82005.99792,2494.800000000003,33.27632,92.39999999998983,1108.8,12,1,1,2021-01-21,2021-01-20,False,3477.9236800000135,0.04241060127568793
evaluation,BASE,5,2021-02-03,2021-02-02,85174.0314,-1581.0,33.728,93.00000000000352,0.0,12,1,1,2021-02-26,2021-02-25,False,-1707.7280000000037,-0.0200498669832834
evaluation,BASE,6,2021-06-08,2021-06-07,82042.4052,-1689.5,32.453900000000004,92.99999999998975,0.0,30,1,1,2021-07-21,2021-07-20,False,-1814.9538999999897,-0.022122143976344443
evaluation,BASE,7,2021-07-29,2021-07-28,69622.32168000001,2825.7999999999884,28.39148,85.20000000000323,0.0,9,1,1,2021-08-11,2021-08-10,False,2712.2085199999847,0.03895601948561714
evaluation,BASE,8,2021-10-29,2021-10-28,79199.8368,448.0,31.744,96.00000000000364,0.0,16,1,1,2021-11-22,2021-11-19,False,320.25599999999633,0.004043644695995084
evaluation,BASE,9,2021-11-25,2021-11-24,79531.80318,1272.0000000000146,32.04168,95.40000000000362,0.0,10,1,1,2021-12-09,2021-12-08,False,1144.558320000011,0.01439120294317475
evaluation,BASE,10,2022-05-13,2022-05-12,80614.1196,1838.1999999999825,32.58664,100.99999999998889,0.0,6,1,1,2022-05-23,2022-05-20,False,1704.6133599999937,0.02114534486586384
evaluation,BASE,11,2022-06-08,2022-06-07,81263.44944,-504.3999999999942,32.374719999999996,116.40000000000441,0.0,2,1,1,2022-06-10,2022-06-09,False,-653.1747199999986,-0.008037742976715051
evaluation,BASE,12,2022-08-10,2022-08-09,79910.979,-437.0,31.8478,114.00000000000432,0.0,12,1,1,2022-08-26,2022-08-25,False,-582.8478000000043,-0.007293713671058945
evaluation,BASE,13,2024-02-19,2024-02-08,78338.86464,2343.199999999997,31.779359999999997,92.80000000000008,0.0,4,1,1,2024-02-23,2024-02-22,False,2218.620639999997,0.028320816879278135
evaluation,BASE,14,2024-06-18,2024-06-17,80268.65052000001,-180.8000000000029,32.046800000000005,90.40000000000009,0.0,22,1,1,2024-07-18,2024-07-17,False,-303.246800000003,-0.0037778983206456797
evaluation,BASE,15,2024-08-02,2024-08-01,78603.11748000002,-726.3999999999942,31.271520000000002,90.80000000000008,0.0,2,1,1,2024-08-06,2024-08-05,False,-848.4715199999943,-0.010794374920509758
evaluation,BASE,16,2024-08-28,2024-08-27,77908.77864,-2564.100000000006,30.62598,92.39999999998983,0.0,11,1,1,2024-09-12,2024-09-11,False,-2687.1259799999953,-0.034490670074763155
evaluation,BASE,17,2024-09-25,2024-09-24,76119.02076,11292.399999999994,32.678200000000004,108.999999999988,0.0,3,1,1,2024-09-30,2024-09-27,False,11150.721800000007,0.14649061021367776
evaluation,BASE,18,2025-04-09,2025-04-08,159948.28326,5578.700000000012,65.04826,169.99999999999,0.0,10,2,1,2025-04-23,2025-04-22,False,5343.651740000022,0.033408622031371106
evaluation,BASE,19,2025-06-03,2025-05-30,86873.3712,-946.0,34.5356,87.99999999999031,1936.0,11,1,1,2025-06-18,2025-06-17,False,867.4644000000096,0.009985388940449104
evaluation,BASE,20,2025-12-19,2025-12-18,87121.22076,4185.0,35.6562,111.60000000000423,0.0,18,1,1,2026-01-16,2026-01-15,False,4037.7437999999956,0.04634627206525378
evaluation,BASE,21,2026-05-06,2026-04-30,91555.50744,451.20000000001164,36.68256,112.79999999998758,0.0,2,1,1,2026-05-08,2026-05-07,False,301.71744000002406,0.003295459207604213
evaluation,BASE,22,2026-05-13,2026-05-12,90474.99138,-1555.4999999999854,35.8497,109.80000000000416,0.0,3,1,1,2026-05-18,2026-05-15,False,-1701.1496999999895,-0.018802430086509385
