cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target,completed_cycles
BASE,ADAPTIVE_SPEED,方向效率决定均线反应速度,-0.04849759460000119,-0.007472292656119843,0.0007646940996931014,0.1289042453674476,0.005932264662915523,-0.32928956490694533,1604,0.4871123172535202,134,4883.11892,14686.50000000011,False,3.728928277269006e-11,-0.04372976430173682,False,67.0
BASE,FIXED_NEUTRAL_SPEED,效率固定为一半的同规则对照,-0.16847091480000104,-0.02745056860005312,-0.018907708222754865,0.13389273613203953,-0.1412153397485944,-0.3417732484742405,1604,0.4995909149430521,150,5361.382960000001,16319.399999999823,False,3.873878995364066e-11,-0.06370804024567009,False,75.0
BASE,REARM_RIDGE,已有线性退出及等待新机会,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11,0.01758565786527904,False,
BASE,ORIGINAL_TWO,原急跌与学习信号各半,0.29789775640000093,0.04012350448601946,0.0402434177351489,0.042613102103358176,0.944390709635229,-0.05388667659424196,1604,0.08743134815891201,52,1275.84872,3844.1999999999134,False,4.474998149817111e-11,0.003866032840402482,False,
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False,
STRESS,ADAPTIVE_SPEED,方向效率决定均线反应速度,-0.13309490139999747,-0.02131801525482253,-0.013274954108537821,0.1289585977582182,-0.10293965923409588,-0.3692174066511022,1604,0.4869570632666971,134,9332.98028,25537.699999999764,False,3.944933268940076e-11,-0.05740295976856517,False,67.0
STRESS,FIXED_NEUTRAL_SPEED,效率固定为一半的同规则对照,-0.2500980463999981,-0.042493844873543254,-0.034479507966434744,0.13399954476139372,-0.25731063510574365,-0.39304880193998837,1604,0.49945972484288337,150,10210.40928,28029.99999999971,False,3.652189661806915e-11,-0.07857878938728591,False,75.0
STRESS,REARM_RIDGE,已有线性退出及等待新机会,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11,0.012459653687316039,False,
STRESS,ORIGINAL_TWO,原急跌与学习信号各半,0.2738661323999994,0.03719478062376239,0.037421580299378074,0.04257273335175791,0.8790034689617331,-0.05455698002155782,1604,0.08744970775820289,52,2527.97352,6941.500000000024,False,4.274625098332763e-11,0.0011098361100197462,False,
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False,
