cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,ADD_GATE_EXPOSURE_105,固定1%加仓条件、原目标乘1.05并限制100%,0.6665047924000005,0.10670988576088394,0.10508286628934671,0.08575463539064944,1.2253899256949647,-0.05962697985674714,1219,0.2755743058559905,61,1709.7415200000003,4907.800000000081,False,9.909228992910357e-11,0.06774865756424002,True
BASE,ADD_GATE_EXPOSURE_110,固定1%加仓条件、原目标乘1.10并限制100%,0.7165749350999979,0.11323293276304121,0.11118869050776556,0.0883989049536633,1.2578061975546886,-0.05522694616362193,1219,0.2840682589057389,61,1793.71298,5159.400000000084,False,6.639311322942376e-11,0.07427170456639728,True
BASE,ADD_GATE_EXPOSURE_115,固定1%加仓条件、原目标乘1.15并限制100%,0.7405032128000015,0.11629654492233855,0.11419151789482658,0.09122647783827853,1.2517365637776705,-0.057747537231356644,1219,0.29105721260125805,61,1841.0574400000003,5308.200000000086,False,8.850520316627808e-11,0.07733531672569463,True
BASE,ADD_GATE_EXPOSURE_120,固定1%加仓条件、原目标乘1.20并限制100%,0.7597812101999972,0.11874030828295112,0.116775614138346,0.09552501539094013,1.2224610868727621,-0.060148177101312095,1219,0.2988907195494706,60,1877.45796,5423.600000000094,False,7.116796041373163e-11,0.0797790800863072,True
BASE,ADD_GATE_BAND20_LOWER01,原205仅强势加仓,0.6509516798999979,0.1046516905837539,0.10298758648233874,0.08298492274901535,1.2410397343360873,-0.05683295345232181,1219,0.27063322271670526,60,1651.6640200000002,4732.400000000085,False,8.475353752146475e-11,0.06569046238710997,True
BASE,INTENT_MIX_BAND_00,原201零门槛合并,0.6759999939000017,0.10795886065051478,0.10659799742585799,0.09003160532924455,1.184006405706422,-0.07453120352772385,1219,0.2724644389180228,146,2183.70122,5493.000000000078,False,7.145217750803567e-11,0.06899763245387086,False
BASE,INTENT_MIX_BAND_20,原201二十个百分点合并,0.7138041569999982,0.11287597421364255,0.11089549352934062,0.08864860377717385,1.2509558955726625,-0.07199836073389465,1219,0.2762833936766748,62,1755.6685999999997,5053.400000000091,False,9.458744898438454e-11,0.07391474601699863,True
BASE,TWO_CLOSE_ZERO_EXIT,原198两次归零确认,0.7075332783999984,0.1120663874925603,0.1106198630343294,0.09353520851461494,1.1826547969585695,-0.07891815727851231,1219,0.2786482398033253,63,1876.2443200000002,5599.800000000085,False,7.480593922082335e-11,0.07310515929591638,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,ADD_GATE_EXPOSURE_105,固定1%加仓条件、原目标乘1.05并限制100%,0.6797128359999989,0.10844569650605895,0.10667479022268064,0.08604378739080483,1.2397732998219992,-0.06063661250465242,1219,0.27682367947641323,61,3289.3328000000006,9206.799999999985,False,9.549694368615746e-11,0.06974542442037228,True
STRESS,ADD_GATE_EXPOSURE_110,固定1%加仓条件、原目标乘1.10并限制100%,0.7316720321999997,0.11516981446597051,0.1129594603701563,0.08876638897101863,1.272547657729284,-0.05645043878322774,1219,0.2855301536686072,61,3455.1935600000006,9681.599999999984,False,5.763922672485933e-11,0.07646954238028383,True
STRESS,ADD_GATE_EXPOSURE_115,固定1%加仓条件、原目标乘1.15并限制100%,0.7563343039999963,0.11830494390253397,0.11603026329797624,0.09167766951739151,1.265632775230668,-0.05900892486795833,1219,0.2934464559330741,61,3557.5392,9981.499999999985,False,7.736389306955971e-11,0.0796046718168473,True
STRESS,ADD_GATE_EXPOSURE_120,固定1%加仓条件、原目标乘1.20并限制100%,0.7752569626000023,0.12068660425324094,0.1185617791199926,0.096026137141712,1.2346823755393106,-0.061476121461988886,1219,0.3020257667189114,60,3638.3074800000004,10217.799999999983,False,6.957634468562901e-11,0.08198633216755427,True
STRESS,ADD_GATE_BAND20_LOWER01,原205仅强势加仓,0.649245342000002,0.10442494039980141,0.10282729813564777,0.08353170825584685,1.2309971899616972,-0.057955548527298784,1219,0.27362253996143565,61,3227.5316000000003,9022.899999999981,False,7.935341272968799e-11,0.06572466831411473,True
STRESS,INTENT_MIX_BAND_00,原201零门槛合并,0.6849694692000037,0.10913348474467692,0.1077196611654797,0.09071924746322528,1.1873958854117022,-0.07593492827342192,1219,0.27652649869140905,134,3882.20616,10416.499999999975,False,7.221956366265658e-11,0.07043321265899025,False
STRESS,INTENT_MIX_BAND_20,原201二十个百分点合并,0.7115189720000008,0.11258122626833865,0.11068361470183087,0.08925077890372914,1.2401417226982454,-0.07333276463041725,1219,0.27965254573074705,63,3434.3055999999997,9635.899999999981,False,8.137135409924667e-11,0.07388095418265198,True
STRESS,TWO_CLOSE_ZERO_EXIT,原198两次归零确认,0.7172127654000038,0.11331503886373448,0.11180551399073135,0.09421257901543788,1.1867365818784206,-0.08040760814108888,1219,0.2826993080596191,64,3737.7469199999996,10633.499999999975,False,8.250822247646283e-11,0.0746147667780478,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
