model,period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
ADD_GATE_EXPOSURE_105,evaluation,BASE,1,2020-01-02,2019-12-31,178973.98764,-1345.3999999999942,71.25412,260.40000000000987,0.0,14,1,1,2020-01-22,2020-01-21,False,-1677.054120000004,-0.009370379137851811
ADD_GATE_EXPOSURE_105,evaluation,BASE,2,2020-02-05,2020-02-04,131400.47484,10013.10000000002,54.51760000000001,173.5000000000117,0.0,19,1,2,2020-03-03,2020-03-02,False,9785.08240000001,0.07446763348393398
ADD_GATE_EXPOSURE_105,evaluation,BASE,3,2020-03-23,2020-03-20,4963.8,308.0,10.0,5.600000000000005,0.0,10,1,1,2020-04-07,2020-04-03,False,292.4,0.05890648293645996
ADD_GATE_EXPOSURE_105,evaluation,BASE,4,2020-07-01,2020-06-30,204783.14844000002,25002.29999999999,86.83914000000001,291.000000000011,0.0,5,2,1,2020-07-08,2020-07-07,False,24624.460859999977,0.12024651953827523
ADD_GATE_EXPOSURE_105,evaluation,BASE,5,2020-08-19,2020-08-18,80858.1684,-2423.5999999999913,31.832160000000002,99.60000000000377,0.0,31,1,1,2020-10-09,2020-09-30,False,-2555.032159999995,-0.03159893688613401
ADD_GATE_EXPOSURE_105,evaluation,BASE,6,2020-12-15,2020-12-14,230092.00920000003,24243.0,96.8118,276.00000000001046,1907.9999999999998,25,1,2,2021-01-20,2021-01-19,False,25778.18819999999,0.11203426094468641
ADD_GATE_EXPOSURE_105,evaluation,BASE,7,2021-02-03,2021-02-02,44510.30028,2033.0999999999985,18.19746,48.60000000000184,0.0,7,1,1,2021-02-19,2021-02-18,False,1966.3025399999965,0.04417634856719947
ADD_GATE_EXPOSURE_105,evaluation,BASE,8,2021-03-11,2021-03-10,6540.1,-153.40000000000055,10.0,7.799999999999141,0.0,10,1,1,2021-03-25,2021-03-24,False,-171.19999999999968,-0.026176969771104366
ADD_GATE_EXPOSURE_105,evaluation,BASE,9,2021-06-08,2021-06-07,232445.3042,-2341.999999999971,98.22200000000001,264.00000000001,0.0,31,2,2,2021-07-22,2021-07-21,False,-2704.221999999981,-0.011633799225615766
ADD_GATE_EXPOSURE_105,evaluation,BASE,10,2021-07-29,2021-07-28,254954.9808,8372.0,103.5736,311.99999999996567,0.0,10,1,1,2021-08-12,2021-08-11,False,7956.426400000035,0.03120718165628414
ADD_GATE_EXPOSURE_105,evaluation,BASE,11,2021-10-29,2021-10-28,336727.8321,6099.299999999988,135.8033,403.7999999999728,0.0,32,3,2,2021-12-14,2021-12-13,False,5559.696700000016,0.01651095089267501
ADD_GATE_EXPOSURE_105,evaluation,BASE,12,2022-01-10,2022-01-07,6852.4,-179.19999999999982,10.0,8.400000000000318,105.0,10,1,1,2022-01-24,2022-01-21,False,-92.60000000000014,-0.013513513513513533
ADD_GATE_EXPOSURE_105,evaluation,BASE,13,2022-01-27,2022-01-26,6579.4,-123.19999999999891,10.0,8.400000000000318,0.0,10,1,1,2022-02-17,2022-02-16,False,-141.59999999999923,-0.021521719305711652
ADD_GATE_EXPOSURE_105,evaluation,BASE,14,2022-03-11,2022-03-10,6774.599999999999,-308.7999999999993,10.0,9.600000000000364,0.0,3,1,1,2022-03-16,2022-03-15,False,-328.39999999999964,-0.04847518672689158
ADD_GATE_EXPOSURE_105,evaluation,BASE,15,2022-04-25,2022-04-22,6714.900000000001,17.0,10.0,6.800000000000006,0.0,10,1,1,2022-05-12,2022-05-11,False,0.19999999999999396,2.978450907682824e-05
ADD_GATE_EXPOSURE_105,evaluation,BASE,16,2022-05-13,2022-05-12,475732.52748000005,5245.299999999988,191.16806,679.7999999999779,0.0,20,3,2,2022-06-13,2022-06-10,False,4374.331940000011,0.009194939776708686
ADD_GATE_EXPOSURE_105,evaluation,BASE,17,2022-08-05,2022-08-04,257319.3388,-5095.6999999999825,105.39992,363.00000000001376,0.0,21,2,2,2022-09-05,2022-09-02,False,-5564.099919999996,-0.021623325887389525
ADD_GATE_EXPOSURE_105,evaluation,BASE,18,2022-09-21,2022-09-20,6774.400000000001,-328.10000000000036,10.0,6.800000000000006,0.0,10,1,1,2022-10-12,2022-10-11,False,-344.9000000000004,-0.05091225791213987
ADD_GATE_EXPOSURE_105,evaluation,BASE,19,2022-10-27,2022-10-26,6738.8,127.80000000000018,10.0,7.200000000000006,0.0,7,1,1,2022-11-07,2022-11-04,False,110.60000000000018,0.016412417641123073
ADD_GATE_EXPOSURE_105,evaluation,BASE,20,2023-01-17,2023-01-16,206926.77708,-1097.7999999999593,82.47472,299.40000000001135,0.0,2,1,1,2023-01-19,2023-01-18,False,-1479.6747199999704,-0.007150716504070003
