model,reused_control,name,main_base_net_sharpe,main_base_annualized_return,main_base_max_drawdown,main_base_trade_count,main_stress_net_sharpe,main_stress_annualized_return,main_stress_max_drawdown,main_stress_trade_count,earlier_base_net_sharpe,earlier_base_annualized_return,earlier_base_max_drawdown,earlier_base_trade_count,earlier_stress_net_sharpe,earlier_stress_annualized_return,earlier_stress_max_drawdown,earlier_stress_trade_count,minimum_joint_ratio
ADD_GATE_BAND20_LOWER01,False,20个百分点调仓、已有持仓仅当日收益至少为1%才加仓,1.2447517800557875,0.10376921452623912,-0.0668392919976615,112,1.186176033349953,0.09835721212233485,-0.07157601868591294,112,1.2410397343360873,0.1046516905837539,-0.05683295345232181,60,1.2309971899616972,0.10442494039980141,-0.057955548527298784,61,0.9835721212233485
INTENT_MIX_BAND_00,True,原201零门槛合并,1.2405013820119346,0.10459650105918336,-0.07884983281915131,225,1.172798601324537,0.09821599593680244,-0.08416974266692658,218,1.184006405706422,0.10795886065051478,-0.07453120352772385,146,1.1873958854117022,0.10913348474467692,-0.07593492827342192,134,0.9773321677704476
TWO_CLOSE_ZERO_EXIT,True,原198两次归零确认,1.230423970532244,0.1059963743703196,-0.07808473542008036,113,1.161128163111062,0.09931285910499427,-0.08340941783287366,113,1.1826547969585695,0.1120663874925603,-0.07891815727851231,63,1.1867365818784206,0.11331503886373448,-0.08040760814108888,64,0.9676068025925516
INTENT_MIX_BAND_20,True,原201二十个百分点合并,1.2229258968591001,0.10509389170277143,-0.07687237572528892,126,1.1575507211468796,0.09881791846932465,-0.08185429812595871,126,1.2509558955726625,0.11287597421364255,-0.07199836073389465,62,1.2401417226982454,0.11258122626833865,-0.07333276463041725,63,0.964625600955733
ADD_GATE_BAND20_LOWER00,False,20个百分点调仓、已有持仓仅当日收益至少为0%才加仓,1.2166005998461424,0.10419931592282447,-0.07825840650345041,125,1.1513322042037015,0.09798282445255727,-0.08321103838840747,125,1.1806990897612821,0.10284305011266547,-0.07196354542340533,62,1.1697719937398912,0.10242736698993225,-0.07343009379282804,63,0.9594435035030846
ADD_GATE_BAND00_LOWER01,False,0个百分点调仓、已有持仓仅当日收益至少为1%才加仓,1.2412884762656198,0.10105285400921063,-0.06510088490082437,165,1.1792839313531738,0.09538872899392838,-0.06928751567657893,166,1.196323687048907,0.10188187852246809,-0.06536659498553428,113,1.1958231097699734,0.10271118016285025,-0.06551183359875981,112,0.9538872899392837
ADD_GATE_BAND20_UPPER00,False,20个百分点调仓、已有持仓仅当日收益不超过0%才加仓,1.2272094358149443,0.10047124658663398,-0.07687298912844205,114,1.1669460428074232,0.09496683756121484,-0.08183614037956526,114,1.289107310426954,0.11499731210421849,-0.06008765951816353,60,1.277884134005927,0.11473179094259676,-0.06130213739651731,61,0.9496683756121483
ADD_GATE_BAND00_UPPER00,False,0个百分点调仓、已有持仓仅当日收益不超过0%才加仓,1.230721345838484,0.09850679046588066,-0.07913952708737026,199,1.167890840519554,0.09280590026893694,-0.08411820275966746,192,1.2221525769337098,0.10856117245485333,-0.06292660033557973,124,1.214164679506608,0.1086089585419952,-0.06301593869368727,130,0.9280590026893694
ADD_GATE_BAND20_UPPER01,False,20个百分点调仓、已有持仓仅当日收益不超过1%才加仓,1.1931855464820629,0.09846778371828839,-0.07685859983689322,124,1.1253500340170044,0.09228913737084944,-0.08189278019668868,124,1.2482665142196643,0.11264608148123216,-0.07198120174373346,62,1.2386431528721606,0.11240674631507563,-0.07339396676021144,63,0.9228913737084944
ADD_GATE_BAND00_LOWER00,False,0个百分点调仓、已有持仓仅当日收益至少为0%才加仓,1.2372970467276911,0.10397500502640553,-0.08017229024773279,214,1.1691730437782757,0.0976250178646491,-0.08552145967452414,214,1.0990713640568206,0.09732492308941877,-0.07439934351852742,118,1.102347909785243,0.09842800790066336,-0.07594119911503594,124,0.9158928033806839
ADD_GATE_BAND00_UPPER01,False,0个百分点调仓、已有持仓仅当日收益不超过1%才加仓,1.2090616315651532,0.09776505577542109,-0.07882375311657926,220,1.1391503882880671,0.09149620955233938,-0.08416547339775948,218,1.1816566820723045,0.1077011854917942,-0.0745086622348542,137,1.1847059641685316,0.10883384652542746,-0.07596858999643953,131,0.9149620955233937
