model,period,cost,suppressed_buy_requests,suppressed_initial_entry_requests,suppressed_addition_requests,fills
ADD_GATE_BAND00_UPPER00,evaluation,BASE,71,0,71,199
ADD_GATE_BAND00_UPPER00,evaluation,STRESS,69,0,69,192
ADD_GATE_BAND00_UPPER00,earlier_diagnostic,BASE,37,0,37,124
ADD_GATE_BAND00_UPPER00,earlier_diagnostic,STRESS,38,0,38,130
ADD_GATE_BAND00_UPPER01,evaluation,BASE,12,0,12,220
ADD_GATE_BAND00_UPPER01,evaluation,STRESS,12,0,12,218
ADD_GATE_BAND00_UPPER01,earlier_diagnostic,BASE,4,0,4,137
ADD_GATE_BAND00_UPPER01,earlier_diagnostic,STRESS,4,0,4,131
ADD_GATE_BAND00_LOWER00,evaluation,BASE,29,0,29,214
ADD_GATE_BAND00_LOWER00,evaluation,STRESS,36,0,36,214
ADD_GATE_BAND00_LOWER00,earlier_diagnostic,BASE,28,0,28,118
ADD_GATE_BAND00_LOWER00,earlier_diagnostic,STRESS,30,0,30,124
ADD_GATE_BAND00_LOWER01,evaluation,BASE,162,0,162,165
ADD_GATE_BAND00_LOWER01,evaluation,STRESS,151,0,151,166
ADD_GATE_BAND00_LOWER01,earlier_diagnostic,BASE,76,0,76,113
ADD_GATE_BAND00_LOWER01,earlier_diagnostic,STRESS,59,0,59,112
ADD_GATE_BAND20_UPPER00,evaluation,BASE,36,0,36,114
ADD_GATE_BAND20_UPPER00,evaluation,STRESS,36,0,36,114
ADD_GATE_BAND20_UPPER00,earlier_diagnostic,BASE,7,0,7,60
ADD_GATE_BAND20_UPPER00,earlier_diagnostic,STRESS,7,0,7,61
ADD_GATE_BAND20_UPPER01,evaluation,BASE,8,0,8,124
ADD_GATE_BAND20_UPPER01,evaluation,STRESS,8,0,8,124
ADD_GATE_BAND20_UPPER01,earlier_diagnostic,BASE,1,0,1,62
ADD_GATE_BAND20_UPPER01,earlier_diagnostic,STRESS,1,0,1,63
ADD_GATE_BAND20_LOWER00,evaluation,BASE,6,0,6,125
ADD_GATE_BAND20_LOWER00,evaluation,STRESS,6,0,6,125
ADD_GATE_BAND20_LOWER00,earlier_diagnostic,BASE,3,0,3,62
ADD_GATE_BAND20_LOWER00,earlier_diagnostic,STRESS,5,0,5,63
ADD_GATE_BAND20_LOWER01,evaluation,BASE,74,0,74,112
ADD_GATE_BAND20_LOWER01,evaluation,STRESS,74,0,74,112
ADD_GATE_BAND20_LOWER01,earlier_diagnostic,BASE,9,0,9,60
ADD_GATE_BAND20_LOWER01,earlier_diagnostic,STRESS,11,0,11,61
