period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,addition_allowed_origins,rebalance_band,direction,return_threshold
evaluation,ADD_GATE_BAND00_UPPER00,BASE,1604,615,989,0,808,0.0,UPPER,0.0
evaluation,ADD_GATE_BAND00_UPPER01,BASE,1604,615,989,0,1345,0.0,UPPER,0.01
evaluation,ADD_GATE_BAND00_LOWER00,BASE,1604,615,989,0,815,0.0,LOWER,0.0
evaluation,ADD_GATE_BAND00_LOWER01,BASE,1604,615,989,0,259,0.0,LOWER,0.01
evaluation,ADD_GATE_BAND20_UPPER00,BASE,1604,615,989,0,808,0.2,UPPER,0.0
evaluation,ADD_GATE_BAND20_UPPER01,BASE,1604,615,989,0,1345,0.2,UPPER,0.01
evaluation,ADD_GATE_BAND20_LOWER00,BASE,1604,615,989,0,815,0.2,LOWER,0.0
evaluation,ADD_GATE_BAND20_LOWER01,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,ADD_GATE_BAND00_UPPER00,STRESS,1604,615,989,0,808,0.0,UPPER,0.0
evaluation,ADD_GATE_BAND00_UPPER01,STRESS,1604,615,989,0,1345,0.0,UPPER,0.01
evaluation,ADD_GATE_BAND00_LOWER00,STRESS,1604,615,989,0,815,0.0,LOWER,0.0
evaluation,ADD_GATE_BAND00_LOWER01,STRESS,1604,615,989,0,259,0.0,LOWER,0.01
evaluation,ADD_GATE_BAND20_UPPER00,STRESS,1604,615,989,0,808,0.2,UPPER,0.0
evaluation,ADD_GATE_BAND20_UPPER01,STRESS,1604,615,989,0,1345,0.2,UPPER,0.01
evaluation,ADD_GATE_BAND20_LOWER00,STRESS,1604,615,989,0,815,0.2,LOWER,0.0
evaluation,ADD_GATE_BAND20_LOWER01,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_BAND00_UPPER00,BASE,1219,524,695,0,590,0.0,UPPER,0.0
earlier_diagnostic,ADD_GATE_BAND00_UPPER01,BASE,1219,524,695,0,987,0.0,UPPER,0.01
earlier_diagnostic,ADD_GATE_BAND00_LOWER00,BASE,1219,524,695,0,645,0.0,LOWER,0.0
earlier_diagnostic,ADD_GATE_BAND00_LOWER01,BASE,1219,524,695,0,232,0.0,LOWER,0.01
earlier_diagnostic,ADD_GATE_BAND20_UPPER00,BASE,1219,524,695,0,590,0.2,UPPER,0.0
earlier_diagnostic,ADD_GATE_BAND20_UPPER01,BASE,1219,524,695,0,987,0.2,UPPER,0.01
earlier_diagnostic,ADD_GATE_BAND20_LOWER00,BASE,1219,524,695,0,645,0.2,LOWER,0.0
earlier_diagnostic,ADD_GATE_BAND20_LOWER01,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,ADD_GATE_BAND00_UPPER00,STRESS,1219,530,689,0,590,0.0,UPPER,0.0
earlier_diagnostic,ADD_GATE_BAND00_UPPER01,STRESS,1219,530,689,0,987,0.0,UPPER,0.01
earlier_diagnostic,ADD_GATE_BAND00_LOWER00,STRESS,1219,530,689,0,645,0.0,LOWER,0.0
earlier_diagnostic,ADD_GATE_BAND00_LOWER01,STRESS,1219,530,689,0,232,0.0,LOWER,0.01
earlier_diagnostic,ADD_GATE_BAND20_UPPER00,STRESS,1219,530,689,0,590,0.2,UPPER,0.0
earlier_diagnostic,ADD_GATE_BAND20_UPPER01,STRESS,1219,530,689,0,987,0.2,UPPER,0.01
earlier_diagnostic,ADD_GATE_BAND20_LOWER00,STRESS,1219,530,689,0,645,0.2,LOWER,0.0
earlier_diagnostic,ADD_GATE_BAND20_LOWER01,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
