period,cost,date,requested_quantity,filled_quantity,status,original_entry_at_close,partial_signal_disappeared_at_close
evaluation,BASE,2021-10-28,46200,46200,FILLED,True,False
evaluation,BASE,2021-11-24,46000,0,UNFILLED_MINUTE_CAPACITY,True,False
evaluation,BASE,2022-05-12,59100,59000,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,BASE,2022-06-07,57400,57400,FILLED,True,False
evaluation,BASE,2022-08-09,57400,57400,FILLED,True,False
evaluation,BASE,2024-02-08,72600,72500,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,BASE,2024-06-17,71000,0,UNFILLED_MINUTE_CAPACITY,True,False
evaluation,BASE,2024-08-01,71900,71900,FILLED,True,False
evaluation,BASE,2024-08-27,73000,73000,FILLED,True,False
evaluation,BASE,2024-09-24,70400,70200,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,BASE,2025-04-09,74500,74500,FILLED,True,False
evaluation,BASE,2025-05-30,72900,72900,FILLED,True,False
evaluation,BASE,2025-12-18,62200,62100,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,BASE,2026-04-30,63100,63100,FILLED,True,False
evaluation,BASE,2026-05-12,62100,62000,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,BASE,2026-05-27,60800,60800,FILLED,False,True
evaluation,BASE,2026-06-22,57100,57000,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,BASE,2026-07-22,59400,59300,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,BASE,2026-08-06,58400,58300,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,STRESS,2021-10-28,45800,45800,FILLED,True,False
evaluation,STRESS,2021-11-24,45600,0,UNFILLED_MINUTE_CAPACITY,True,False
evaluation,STRESS,2022-05-12,58400,58300,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,STRESS,2022-06-07,56600,56600,FILLED,True,False
evaluation,STRESS,2022-08-09,56600,56600,FILLED,True,False
evaluation,STRESS,2024-02-08,71500,71300,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,STRESS,2024-06-17,69700,0,UNFILLED_MINUTE_CAPACITY,True,False
evaluation,STRESS,2024-08-01,70600,70600,FILLED,True,False
evaluation,STRESS,2024-08-27,71500,71500,FILLED,True,False
evaluation,STRESS,2024-09-24,68900,68600,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,STRESS,2025-04-09,67200,67200,FILLED,True,False
evaluation,STRESS,2025-05-30,65700,65700,FILLED,True,False
evaluation,STRESS,2025-12-18,55900,55900,FILLED,True,False
evaluation,STRESS,2026-04-30,56700,56600,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,STRESS,2026-05-12,55700,55700,FILLED,True,False
evaluation,STRESS,2026-05-27,54500,54500,FILLED,False,True
evaluation,STRESS,2026-06-22,51100,51000,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,STRESS,2026-07-22,53100,53000,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,True,False
evaluation,STRESS,2026-08-06,52100,52100,FILLED,True,False
