period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-01-02,2019-12-31,199593.11064,-18876.0,75.99768,241.99999999999483,0.0,16,1,1,2020-02-03,2020-01-23,False,-19193.997679999997,-0.09616563226282707
evaluation,BASE,2,2020-03-06,2020-03-05,179345.862,-12126.0,69.2558,214.99999999999542,0.0,6,1,1,2020-03-16,2020-03-13,False,-12410.255799999995,-0.06919733559283345
evaluation,BASE,3,2020-04-23,2020-04-22,168346.26252000002,39949.0,75.27094,219.50000000001484,0.0,60,1,1,2020-07-23,2020-07-22,False,39654.22905999998,0.23555158556186506
evaluation,BASE,4,2020-08-20,2020-08-19,206712.23418,-3723.7999999999593,81.87164000000001,259.80000000000985,0.0,15,1,1,2020-09-10,2020-09-09,False,-4065.471639999969,-0.019667300564609323
evaluation,BASE,5,2020-10-20,2020-10-19,203191.43016,9663.799999999988,83.14244,253.2000000000096,0.0,46,1,1,2020-12-23,2020-12-22,False,9327.457559999979,0.04590477832975148
evaluation,BASE,6,2021-01-08,2021-01-07,213260.6436,-8626.0,83.5164,228.00000000000864,2736.0,31,1,1,2021-03-01,2021-02-26,False,-6201.5164000000095,-0.0290795164795236
evaluation,BASE,7,2021-04-27,2021-04-26,206919.47562,2930.399999999994,83.28848,244.20000000000925,0.0,37,1,1,2021-06-23,2021-06-22,False,2602.9115199999846,0.012579345236598876
evaluation,BASE,8,2021-09-16,2021-09-15,209342.26008000004,-211.4999999999709,83.62710000000001,253.80000000000962,0.0,16,1,1,2021-10-19,2021-10-18,False,-548.9270999999806,-0.0026221513983378623
evaluation,BASE,9,2021-10-29,2021-10-28,208889.56955999997,-675.1999999999825,83.35344,253.1999999999721,0.0,5,1,1,2021-11-05,2021-11-04,False,-1011.7534399999546,-0.004843484727988515
evaluation,BASE,10,2021-12-07,2021-12-06,207958.38336,-3951.999999999971,82.3264,249.60000000000946,0.0,22,1,1,2022-01-07,2022-01-06,False,-4283.92639999998,-0.0205999216323201
evaluation,BASE,11,2022-06-01,2022-05-31,203822.35632000002,9362.399999999994,83.32536000000002,298.8000000000113,0.0,38,1,1,2022-07-26,2022-07-25,False,8980.274639999981,0.04405932107811077
evaluation,BASE,12,2022-11-25,2022-11-24,212490.08952,11731.600000000006,87.26976000000002,278.00000000001876,0.0,29,1,1,2023-01-06,2023-01-05,False,11366.330239999988,0.05349110758847963
evaluation,BASE,13,2023-01-20,2023-01-19,223878.36672000002,-7128.799999999988,88.04336,321.6000000000122,0.0,21,1,1,2023-02-27,2023-02-24,False,-7538.44336,-0.0336720491150812
evaluation,BASE,14,2023-04-17,2023-04-14,216495.29040000003,-6519.000000000029,85.22400000000002,265.0000000000179,0.0,7,1,1,2023-04-26,2023-04-25,False,-6869.224000000047,-0.03172920753753287
evaluation,BASE,15,2023-07-27,2023-07-26,209758.14324,-4260.600000000006,82.99228000000001,210.4000000000002,0.0,16,1,1,2023-08-18,2023-08-17,False,-4553.992280000007,-0.021710681691100988
evaluation,BASE,16,2024-03-08,2024-03-07,204959.68374,-58.10000000000582,81.90938,232.4000000000002,0.0,21,1,1,2024-04-10,2024-04-09,False,-372.409380000006,-0.0018169884594105006
evaluation,BASE,17,2024-05-14,2024-05-13,204832.9584,-2968.0,81.2784,224.0000000000002,0.0,18,1,1,2024-06-07,2024-06-06,False,-3273.2784,-0.015980232993598163
evaluation,BASE,18,2024-11-14,2024-11-13,201208.2336,-13152.0,77.78880000000001,240.0000000000162,0.0,8,1,1,2024-11-26,2024-11-25,False,-13469.788800000017,-0.06694452090254828
evaluation,BASE,19,2025-02-17,2025-02-14,187818.35616,-11321.599999999977,72.80160000000001,231.99999999999505,0.0,34,1,1,2025-04-07,2025-04-03,False,-11626.401599999972,-0.06190237119366327
evaluation,BASE,20,2025-05-14,2025-05-13,176302.95354,-176.39999999999418,70.43652,176.40000000000015,0.0,23,1,1,2025-06-17,2025-06-16,False,-423.23651999999436,-0.0024006207014788867
