period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,reconciliation_error
evaluation,BASE,REARM_RIDGE,-24572.850340000237,-36855.30000000002,9951.300000000003,-563.1496599999996,-1767.9999999998581,-8.049028110690415e-11
evaluation,BASE,PANIC_LEARNED_HALF,-1018.8259200000903,-13598.500000000036,14692.900000000001,538.7259200000003,1574.5000000000164,-3.865352482534945e-11
evaluation,BASE,BUY_HOLD,5309.661120000033,16942.299999999945,-4775.5,1728.8388800000002,5128.299999999919,8.185452315956354e-12
evaluation,STRESS,REARM_RIDGE,-22481.40172000008,-36355.00000000003,9767.099999999999,-1095.79828,-3010.7000000001117,-1.6279955161735415e-10
evaluation,STRESS,PANIC_LEARNED_HALF,-3423.9774799999723,-13896.10000000005,14387.099999999999,1048.5774800000004,2866.3999999998996,-2.1373125491663814e-11
evaluation,STRESS,BUY_HOLD,-1622.4794799999509,16230.199999999939,-5123.700000000004,3405.0794800000003,9323.899999999934,4.9112713895738125e-11
earlier_diagnostic,BASE,REARM_RIDGE,-64314.07221999994,-64477.69999999995,2714.0,624.9722200000001,1925.4000000000315,4.1382008930668235e-11
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,-6683.933379999973,-7121.899999999936,3676.5,822.93338,2415.600000000034,-3.183231456205249e-12
earlier_diagnostic,BASE,BUY_HOLD,-3213.375079999969,15001.400000000034,-12410.199999999997,1464.37508,4340.200000000006,0.0
earlier_diagnostic,STRESS,REARM_RIDGE,-66112.58072000011,-64032.99999999995,2677.2,1223.7807199999997,3533.0000000000764,-8.913048077374697e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,-9842.741440000042,-7245.09999999994,3639.7,1613.6414399999996,4623.700000000081,-2.091837814077735e-11
earlier_diagnostic,STRESS,BUY_HOLD,-8944.60804000008,14665.400000000027,-12446.999999999996,2888.5080399999997,8274.500000000085,-2.3646862246096134e-11
