period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,-1083.9842399998452,-1952.2999999999884,526.2999999999997,-52.31575999999984,-289.69999999999163,-0.02688158579496358
evaluation,BASE,VINTAGE_REFERENCE_RISK,10045.087880000152,15767.299999999981,-7537.199999999999,-405.5878799999999,-1409.4000000000306,0.5184845434443972
evaluation,BASE,BUY_HOLD,12067.024160000234,35881.89999999998,-20551.5,866.5758400000001,2396.7999999999497,0.9762107118648529
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,-852.8507200000458,-2033.1000000000058,514.0,-161.74928000000023,-504.50000000001546,-0.023224593428210483
evaluation,STRESS,VINTAGE_REFERENCE_RISK,11642.226839999697,15683.899999999965,-7405.299999999999,-882.32684,-2481.3000000000484,0.5215313049261301
evaluation,STRESS,BUY_HOLD,8925.25499999986,35517.09999999996,-20584.9,1633.845,4373.100000000018,0.9217157507744866
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,-7426.638660000055,-7363.099999999984,-189.00000000000006,90.63865999999996,-216.0999999999906,-0.05535880480067168
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,-10849.480299999996,-10541.199999999983,-189.00000000000006,151.4803,-32.19999999997094,-0.07863567774248881
earlier_diagnostic,BASE,BUY_HOLD,8925.639959999913,27195.39999999999,-16608.199999999997,552.46004,1109.1000000000422,0.6880418888893605
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,-7088.382920000004,-7313.299999999996,-189.00000000000006,-3.3170800000000327,-410.59999999998945,-0.048622152303895994
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,-9662.57944000006,-9441.599999999991,-189.00000000000006,117.77944000000002,-85.79999999997153,-0.06546443702328009
earlier_diagnostic,STRESS,BUY_HOLD,12115.889599999966,31841.499999999996,-16608.199999999997,914.9104,2202.5000000000236,0.7174599763482548
