period,cost,model,cycle_id,entry_date,exit_date,entry_origin_breadth_group,entry_origin_breadth,holding_intervals,net_profit_cny,cycle_profit_recomputation_error
evaluation,BASE,BREADTH_MAJORITY_TREND,1,2020-01-02,2020-01-22,多数上涨,0.9163879598662207,14,-1870.2631199999887,-1.2732925824820995e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,2,2020-03-03,2020-03-10,多数上涨,0.9166666666666666,5,-6317.856,-3.637978807091713e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,3,2020-04-17,2020-04-27,多数上涨,0.6073825503355704,6,-1381.564240000007,-1.0913936421275139e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,4,2020-05-19,2020-05-21,多数上涨,0.52,2,-1085.9344600000186,4.774847184307873e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,5,2020-06-02,2020-06-08,多数上涨,0.6254180602006689,4,2161.163759999996,1.318767317570746e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,6,2020-06-11,2020-06-16,多数上涨,0.5252525252525253,3,-2109.85434000002,8.185452315956354e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,7,2020-07-30,2020-07-31,多数上涨,0.8945578231292517,1,-1906.1015999999652,-9.094947017729282e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,8,2020-08-17,2020-08-21,多数上涨,0.6868686868686869,4,-1517.606999999989,-5.4569682106375694e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,9,2020-08-28,2020-09-01,多数上涨,0.5433333333333333,2,2518.1393399999943,-1.8189894035458565e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,10,2020-10-14,2020-10-15,多数上涨,0.5183946488294314,1,-919.7875199999544,2.5011104298755527e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,11,2020-11-06,2020-11-10,多数上涨,0.6013513513513513,2,3553.063919999986,4.547473508864641e-13
evaluation,BASE,BREADTH_MAJORITY_TREND,12,2020-11-13,2020-11-16,多数上涨,0.5186440677966102,1,-536.8012799999851,1.2960299500264227e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,13,2020-11-19,2020-12-10,多数上涨,0.5186440677966102,15,2150.737919999985,-6.366462912410498e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,14,2021-01-08,2021-01-29,多数上涨,0.5791245791245792,15,-4706.06289999999,-1.000444171950221e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,15,2021-04-08,2021-04-12,多数上涨,0.5933333333333334,2,-2319.1875200000068,-9.094947017729282e-13
evaluation,BASE,BREADTH_MAJORITY_TREND,16,2021-04-20,2021-04-21,多数上涨,0.5833333333333334,1,-1092.8735999999917,5.4569682106375694e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,17,2021-04-26,2021-04-27,多数上涨,0.5666666666666667,1,-2829.853959999949,-1.4551915228366852e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,18,2021-05-17,2021-05-21,多数上涨,0.5333333333333333,4,2334.134399999981,1.3642420526593924e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,19,2021-05-26,2021-06-15,多数上涨,0.5852842809364549,13,-3419.4399000000267,3.183231456205249e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,20,2021-09-07,2021-09-16,多数上涨,0.5704697986577181,7,-2267.604000000021,7.275957614183426e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,21,2021-09-28,2021-09-29,多数上涨,0.5418060200668896,1,-1471.0168600000034,1.5916157281026244e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,22,2021-10-26,2021-10-27,多数上涨,0.5084175084175084,1,-1361.65141999998,-3.183231456205249e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,23,2021-11-25,2021-11-29,多数上涨,0.5566666666666666,2,-3719.8839599999774,-4.092726157978177e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,24,2021-12-06,2021-12-21,多数上涨,0.5652173913043478,11,-1272.3528000000224,1.0913936421275139e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,25,2022-04-11,2022-04-12,多数上涨,0.5016722408026756,1,-4408.39632,-1.3642420526593924e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,26,2022-05-27,2022-07-12,多数上涨,0.6722972972972973,31,14515.551039999991,-1.8189894035458565e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,27,2022-08-15,2022-08-16,多数上涨,0.5016835016835017,1,12.787839999975404,2.4229507289419416e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,28,2022-11-07,2022-11-11,多数上涨,0.5933333333333334,4,1246.7181599999894,-1.3642420526593924e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,29,2022-11-30,2022-12-21,多数上涨,0.7433333333333333,15,-119.03070000000298,-1.0487610779819079e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,30,2023-01-16,2023-02-09,多数上涨,0.5451505016722408,13,-1122.6115199999767,4.547473508864641e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,31,2023-02-14,2023-02-16,多数上涨,0.7066666666666667,2,-1249.235919999977,6.366462912410498e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,32,2023-02-21,2023-02-23,多数上涨,0.55,2,-1673.4324200000265,-2.5011104298755527e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,33,2023-03-06,2023-03-07,多数上涨,0.5466666666666666,1,-1618.691999999981,8.86757334228605e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,34,2023-04-10,2023-04-24,多数上涨,0.55,10,-4542.497640000016,8.185452315956354e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,35,2023-07-03,2023-07-07,多数上涨,0.5304054054054054,4,-904.332000000024,1.0118128557223827e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,36,2023-07-12,2023-07-13,多数上涨,0.5993265993265994,1,-416.0688000000082,-1.9326762412674725e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,37,2023-07-20,2023-07-21,多数上涨,0.5286195286195287,1,-1756.3432599999942,1.432454155292362e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,38,2023-07-26,2023-08-14,多数上涨,0.7533783783783784,13,-2809.6675599999726,5.4569682106375694e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,39,2023-11-16,2023-11-20,多数上涨,0.5533333333333333,2,-1730.7630000000063,9.777068044058979e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,40,2024-01-26,2024-01-29,多数上涨,0.52,1,-114.4913799999922,1.1027623258996755e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,41,2024-02-08,2024-03-25,多数上涨,0.54,26,8424.031679999985,0.0
evaluation,BASE,BREADTH_MAJORITY_TREND,42,2024-04-29,2024-05-27,多数上涨,0.6020066889632107,17,1085.3091600000334,-1.3642420526593924e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,43,2024-07-19,2024-07-24,多数上涨,0.5201342281879194,3,-3649.94080000004,5.4569682106375694e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,44,2024-08-01,2024-08-02,多数上涨,0.5993265993265994,1,-2289.052919999988,1.1368683772161603e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,45,2024-09-25,2024-10-10,多数上涨,0.5757575757575758,6,27517.99436000001,0.0
evaluation,BASE,BREADTH_MAJORITY_TREND,46,2024-11-07,2024-11-18,多数上涨,0.59,7,-786.6084599999886,2.7284841053187847e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,47,2024-12-25,2024-12-31,多数上涨,0.68,4,350.72632000001613,-5.5706550483591855e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,48,2025-02-10,2025-03-03,多数上涨,0.5771812080536913,15,19.635840000002645,1.7124079931818414e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,49,2025-03-07,2025-03-10,多数上涨,0.6421404682274248,1,-509.5392000000284,1.432454155292362e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,50,2025-03-17,2025-03-24,多数上涨,0.5351170568561873,5,-5481.393800000049,1.2732925824820995e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,51,2025-05-09,2025-05-28,多数上涨,0.9033333333333333,13,-218.39921999999208,-8.213874025386758e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,52,2025-06-06,2025-06-11,多数上涨,0.5252525252525253,3,-877.5518400000001,1.318767317570746e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,53,2025-06-18,2025-06-19,多数上涨,0.5136054421768708,1,-495.2733800000278,1.0629719326971099e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,54,2025-06-25,2025-08-04,多数上涨,0.5714285714285714,28,8360.791199999949,1.2732925824820995e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,55,2025-10-10,2025-10-15,多数上涨,0.6287625418060201,3,-5948.923499999975,-9.094947017729282e-13
evaluation,BASE,BREADTH_MAJORITY_TREND,56,2025-10-22,2025-11-05,多数上涨,0.5033333333333333,10,-235.64364000002388,-1.1993961379630491e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,57,2025-11-11,2025-11-13,多数上涨,0.56,2,-2544.6366399999824,-7.73070496506989e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,58,2025-12-22,2025-12-30,多数上涨,0.587248322147651,6,1429.971840000013,5.6843418860808015e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,59,2026-01-30,2026-02-02,多数上涨,0.5217391304347826,1,-2516.9980799999903,1.4551915228366852e-11
evaluation,BASE,BREADTH_MAJORITY_TREND,60,2026-03-12,2026-03-13,多数上涨,0.5067114093959731,1,-1842.250380000012,9.322320693172514e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,61,2026-04-22,2026-04-28,多数上涨,0.6966666666666667,4,-73.15967999998247,-8.753886504564434e-12
evaluation,BASE,BREADTH_MAJORITY_TREND,62,2026-08-10,2026-08-14,多数上涨,0.6644067796610169,4,-997.0884000000078,-2.0463630789890885e-12
evaluation,BASE,PRICE20_ONLY,1,2020-01-02,2020-01-22,多数上涨,0.9163879598662207,14,-1870.2631199999887,-1.2732925824820995e-11
evaluation,BASE,PRICE20_ONLY,2,2020-02-18,2020-03-02,未过半,0.27666666666666667,9,-5629.778440000024,1.3642420526593924e-11
evaluation,BASE,PRICE20_ONLY,3,2020-03-11,2020-03-12,多数上涨,0.6433333333333333,1,-5256.84984000001,6.366462912410498e-12
evaluation,BASE,PRICE20_ONLY,4,2020-04-08,2020-05-25,未过半,0.174496644295302,30,1999.92935999998,6.821210263296962e-12
