cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,CALENDAR_MONTHLY_ACTIVATION,2020—2021,0.25804236769999955,0.12109521607155234,0.11823474125686115,0.08852903124339766,1.3355476683325718,-0.11459262912299971,486,0.2761388071031703,63,1541.4264600000001,4583.9000000000215,False,5.555023108172463e-11
BASE,CALENDAR_MONTHLY_ACTIVATION,2022—2023,-0.011268159772644655,-0.005650041370064046,-0.004806077302147604,0.04152253065407532,-0.11574625212964716,-0.05385380832655547,484,0.0890051357939253,25,781.66448,2502.9000000000333,False,3.888089850079268e-11
BASE,CALENDAR_MONTHLY_ACTIVATION,2024—终点,0.07325950958671316,0.027353980140547962,0.030035004705112972,0.07866577282605837,0.38180524548490485,-0.061357402810379075,634,0.21474868879533376,62,1983.7893800000002,6095.699999999828,False,9.276845958083868e-11
BASE,CALENDAR_LEARNED_HALF,2020—2021,0.2758475344000014,0.12896816669674863,0.12524631374287631,0.08863937988795324,1.412987251278122,-0.11454335773888258,486,0.28560596003976485,65,1598.69312,4755.2000000000235,False,7.707967597525567e-11
BASE,CALENDAR_LEARNED_HALF,2022—2023,0.00822061525159556,0.004101894855096645,0.005474796467550613,0.052635880032031304,0.10401263290779889,-0.064775893395421,484,0.18002294021060672,54,1373.14966,4320.300000000036,False,4.001776687800884e-11
BASE,CALENDAR_LEARNED_HALF,2024—终点,0.11225664702822558,0.04144565544950715,0.04465948983948022,0.09070428784930244,0.492363601527617,-0.07668981139736951,634,0.24507653812564836,88,2455.25154,7509.699999999813,False,8.185452315956354e-11
BASE,K2_MONTH_EDGE,2020—2021,0.38409580759999906,0.17568942336608986,0.1677467820220924,0.10827728972259487,1.5492332921507146,-0.1401066928773182,486,0.31172692882402625,49,2583.8384800000003,7711.20000000006,False,5.729816621169448e-11
BASE,K2_MONTH_EDGE,2022—2023,0.008885211437294881,0.004432780945193407,0.009339716545658516,0.09936242563631698,0.09399646280620638,-0.11969985735051021,484,0.3172892155084475,48,2604.50322,8101.300000000086,False,6.184563972055912e-11
BASE,K2_MONTH_EDGE,2024—终点,0.02062811498829297,0.007824161856937135,0.016405113947538963,0.13166917390531907,0.12459342958539092,-0.1676409746010793,634,0.3212782342959194,63,3627.10566,11207.299999999832,False,6.343725544866174e-11
BASE,REARM_RIDGE,2020—2021,0.1663198072000002,0.07962104264508806,0.08245522884674879,0.1086663946818792,0.7587923487121885,-0.10591213630792773,486,0.25676585593013096,16,729.43856,2141.999999999996,False,3.370814738445915e-11
BASE,REARM_RIDGE,2022—2023,0.005564228918978942,0.0027782551087647826,0.00329782320067995,0.032454496432216574,0.10161375350770512,-0.030540113727666924,484,0.04122834998925287,6,282.86591999999996,968.7999999999935,False,2.1827872842550278e-11
BASE,REARM_RIDGE,2024—终点,0.20707404360082232,0.0744794591835167,0.07471553416941837,0.0764354412650291,0.9774985652317071,-0.06698872331367774,634,0.1684463548693552,26,1365.41982,4075.8999999997973,False,5.3006488087703474e-11
BASE,PANIC_LEARNED_HALF,2020—2021,0.14339005880000066,0.06899940719231859,0.06854568955193548,0.0604872091891418,1.1332261889880724,-0.05388667659424196,486,0.14756746264439047,19,443.38824,1315.8000000000125,False,4.474998149817111e-11
BASE,PANIC_LEARNED_HALF,2022—2023,0.002938889379121317,0.0014683666392670022,0.0015992527955804858,0.016279330935921797,0.09823823852929925,-0.015408253967918019,484,0.020720453760739634,6,138.44062000000002,473.89999999999657,False,3.744560217455728e-11
BASE,PANIC_LEARNED_HALF,2024—终点,0.13180497389751084,0.048394673069243534,0.04804920910390732,0.039818332111038364,1.2067107424267831,-0.03388600456308931,634,0.09226087694246554,27,694.01986,2054.4999999999045,False,4.369127282188856e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,CALENDAR_MONTHLY_ACTIVATION,2020—2021,0.2303376547999996,0.10873286929234857,0.10714884738440936,0.0886038515750216,1.2093023664291338,-0.12234021366764,486,0.27622418308957186,63,3049.0690400000003,8315.700000000044,False,7.997869033715688e-11
STRESS,CALENDAR_MONTHLY_ACTIVATION,2022—2023,-0.022052564915125198,-0.011087751575057696,-0.010279057557446902,0.04176901770861109,-0.246092872692282,-0.061772997100535465,484,0.08901117866134683,25,1520.6202000000003,4359.900000000027,False,3.9108272176235914e-11
STRESS,CALENDAR_MONTHLY_ACTIVATION,2024—终点,0.04456107705841843,0.01678027375690614,0.019691707536022438,0.0786972824466724,0.2502209342408503,-0.06760084687368433,634,0.21484458085721522,62,3783.97292,10509.900000000005,False,4.8203219193965197e-11
STRESS,CALENDAR_LEARNED_HALF,2020—2021,0.24746040839999914,0.11638964493958588,0.11404032315727802,0.08866998320370773,1.2861209513853775,-0.12230613305013287,486,0.2855984225059908,65,3160.91832,8585.300000000036,False,1.0203393685515039e-10
STRESS,CALENDAR_LEARNED_HALF,2022—2023,-0.010576687092557489,-0.005302401275924205,-0.00391725760651318,0.05297309989766381,-0.07394805314547842,-0.06796080927216086,484,0.18006061464824352,54,2660.99968,7496.099999999973,False,4.2945202949340455e-11
STRESS,CALENDAR_LEARNED_HALF,2024—终点,0.07816225574833688,0.029142808355713378,0.03277142939467752,0.09066316835161672,0.36146353575005113,-0.08091645879109707,634,0.24514287511300475,88,4634.99064,12813.20000000004,False,8.003553375601768e-11
STRESS,K2_MONTH_EDGE,2020—2021,0.3382474527999994,0.15613313864467906,0.1510141106271696,0.10874433774876151,1.388707805422168,-0.14776043779486003,486,0.31181488541197877,49,5077.309440000001,13805.400000000061,False,6.900791049702093e-11
STRESS,K2_MONTH_EDGE,2022—2023,-0.024352808990454344,-0.012251453552299245,-0.007345218415886923,0.10000357462911652,-0.07344955860956122,-0.12459462425394738,484,0.3173684644911075,48,4955.51692,13891.99999999992,False,1.0339817890780978e-10
STRESS,K2_MONTH_EDGE,2024—终点,-0.023018321905869967,-0.008849484641365339,-0.0002443492629209248,0.1319118427137499,-0.0018523678988486678,-0.19159005435186213,634,0.3212957465299782,63,6629.008320000001,18438.700000000084,False,8.731149137020111e-11
STRESS,REARM_RIDGE,2020—2021,0.1534213118000006,0.0736591720527704,0.07691879291146698,0.10868793563756615,0.7077031361416465,-0.1097248154870254,486,0.25684944139663235,16,1451.2376400000003,3926.700000000021,False,2.6830093702301383e-11
STRESS,REARM_RIDGE,2022—2023,0.0014380906465230113,0.0007187869958887762,0.0012474833949147057,0.03262291547254834,0.038239482181304206,-0.03178963427920369,484,0.04123274715117678,6,558.4551200000001,1632.3000000000202,False,3.112177182629239e-11
STRESS,REARM_RIDGE,2024—终点,0.1853319343170907,0.06705051192757976,0.0677630496611302,0.07626356600168559,0.8885376492837024,-0.06812084099559303,634,0.1684121229304251,26,2662.6565200000005,7259.599999999994,False,7.51469997339882e-11
STRESS,PANIC_LEARNED_HALF,2020—2021,0.13556659860000086,0.06535095295359267,0.06512487484070988,0.060468865051977704,1.0769984649907016,-0.05455698002155782,486,0.14746783950190614,19,883.1802800000002,2407.0000000000023,False,4.274625098332763e-11
STRESS,PANIC_LEARNED_HALF,2022—2023,0.0008709398473143316,0.00043537514789746245,0.0005688389704401331,0.016376906503679234,0.034734213711993644,-0.01602247429107545,484,0.02073876410480043,6,274.89796,803.3000000000097,False,2.3362645151792094e-11
STRESS,PANIC_LEARNED_HALF,2024—终点,0.12081285115910316,0.04449642263492091,0.04431893937842966,0.03970703723661881,1.116148231214734,-0.034514592940440625,634,0.09236971517272499,27,1369.8952800000002,3731.2000000000116,False,3.709033080667723e-11
STRESS,BUY_HOLD,2020—2021,0.23071070000000127,0.10890025181464306,0.1246077146486007,0.20576243798683067,0.6055901935637831,-0.16959575054209083,486,0.992158791772791,1,79.86,241.99999999999483,False,6.184563972055912e-11
STRESS,BUY_HOLD,2022—2023,-0.2693890611335388,-0.14524217531135683,-0.14405982630438274,0.16031003120964557,-0.8986326383779963,-0.29495152678854586,484,0.9563537274336262,0,0.0,0.0,False,2.8194335754960775e-11
STRESS,BUY_HOLD,2024—终点,0.40669468255582664,0.13911716300186158,0.14523502063473265,0.1731458904840387,0.8388014305665603,-0.1526317349696486,634,0.9210856740052947,1,91.61152000000001,241.99999999999483,False,5.4569682106375694e-11
