period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,identity_error
evaluation,BASE,REARM_RIDGE,27546.785519999743,30404.100000000006,-1177.8999999999987,428.1144800000002,1251.300000000123,-1.4097167877480388e-10
evaluation,BASE,PANIC_LEARNED_HALF,51100.80993999989,53660.89999999999,3563.7,1529.99006,4593.799999999997,-9.913492249324918e-11
evaluation,BASE,BUY_HOLD,57429.296980000014,84201.69999999997,-15904.7,2720.10302,8147.5999999999,-5.275069270282984e-11
evaluation,STRESS,REARM_RIDGE,22961.987999999663,27587.99999999997,-1358.2999999999984,807.1119999999992,2460.5999999999876,-3.228706191293895e-10
evaluation,STRESS,PANIC_LEARNED_HALF,42019.41223999977,50046.89999999995,3261.7000000000007,2951.4877599999995,8337.699999999999,-1.800799509510398e-10
evaluation,STRESS,BUY_HOLD,43820.910239999794,80173.19999999994,-16249.100000000002,5307.9897599999995,14795.200000000033,-1.0913936421275139e-10
earlier_diagnostic,BASE,REARM_RIDGE,-94979.93299999999,-95983.70000000001,-1939.0000000000002,-762.6669999999999,-2180.0999999999517,7.003109203651547e-11
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,-37349.79416000002,-38627.899999999994,-976.5000000000001,-564.70584,-1689.8999999999492,2.546585164964199e-11
earlier_diagnostic,BASE,BUY_HOLD,-33879.235860000015,-16504.600000000028,-17063.199999999997,76.73586,234.7000000000234,3.291233952040784e-11
earlier_diagnostic,STRESS,REARM_RIDGE,-91393.90688000002,-95236.6,-1939.0000000000002,-1511.89312,-4269.800000000015,-3.2741809263825417e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,-35124.06759999995,-38448.69999999999,-976.5000000000001,-1122.0324,-3179.1000000000104,2.8194335754960775e-11
earlier_diagnostic,STRESS,BUY_HOLD,-34225.93419999999,-16538.200000000026,-17063.199999999997,152.8342,471.6999999999952,2.972910806420259e-11
