period,cost,origin,execution_date,rate_date,rate_age,shares_kept,source_state
evaluation,BASE,2020-02-03,2020-02-04,2020-01-23,11.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2020-10-09,2020-10-12,2020-09-30,9.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2021-02-18,2021-02-19,2021-02-10,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2021-10-08,2021-10-11,2021-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2022-02-07,2022-02-08,2022-01-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2024-10-08,2024-10-09,2024-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2025-02-05,2025-02-06,2025-01-27,9.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2025-10-09,2025-10-10,2025-09-30,9.0,63900,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,BASE,2026-02-24,2026-02-25,2026-02-14,10.0,63900,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2020-02-03,2020-02-04,2020-01-23,11.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2020-10-09,2020-10-12,2020-09-30,9.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2021-02-18,2021-02-19,2021-02-10,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2021-10-08,2021-10-11,2021-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2022-02-07,2022-02-08,2022-01-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2024-10-08,2024-10-09,2024-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2025-02-05,2025-02-06,2025-01-27,9.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2025-10-09,2025-10-10,2025-09-30,9.0,61100,NO_VIEW_FUNDING_MISSING_OR_STALE
evaluation,STRESS,2026-02-24,2026-02-25,2026-02-14,10.0,61100,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2014-12-31,2015-01-05,,,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2015-01-05,2015-01-06,,,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2015-02-25,2015-02-26,2015-02-17,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2015-10-08,2015-10-09,2015-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2017-02-03,2017-02-06,2017-01-26,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2017-10-09,2017-10-10,2017-09-30,9.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2018-02-22,2018-02-23,2018-02-14,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2018-10-08,2018-10-09,2018-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2019-02-11,2019-02-12,2019-02-03,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,BASE,2019-10-08,2019-10-09,2019-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2014-12-31,2015-01-05,,,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2015-01-05,2015-01-06,,,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2015-02-25,2015-02-26,2015-02-17,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2015-10-08,2015-10-09,2015-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2017-02-03,2017-02-06,2017-01-26,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2017-10-09,2017-10-10,2017-09-30,9.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2018-02-22,2018-02-23,2018-02-14,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2018-10-08,2018-10-09,2018-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2019-02-11,2019-02-12,2019-02-03,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
earlier_diagnostic,STRESS,2019-10-08,2019-10-09,2019-09-30,8.0,0,NO_VIEW_FUNDING_MISSING_OR_STALE
