cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,VOLUME_LOCATION_ENTRY,2020—2021,0.15191656530000083,0.07296148092138191,0.07619579941429436,0.10800993572650987,0.7054517614678381,-0.10796596954782298,486,0.25247083909621604,16,721.7869400000001,2117.9999999999964,False,3.484501576167531e-11
BASE,VOLUME_LOCATION_ENTRY,2022—2023,-0.008023224839719945,-0.00401969137925219,-0.003976800675776659,0.010097392615544862,-0.3938443147842349,-0.01626607647853595,484,0.0041247996244715614,2,91.61712,329.4000000000125,False,1.3130829756846651e-11
BASE,VOLUME_LOCATION_ENTRY,2024—终点,0.2109264297766393,0.07578711111404635,0.07575130352251797,0.07401971345642744,1.0233936337393394,-0.06696855321997032,634,0.12589911384558014,24,1243.9503200000004,3710.999999999861,False,7.224798537208699e-11
BASE,EQUAL_LOCATION_ENTRY,2020—2021,0.16511044750000042,0.07906347011900063,0.08205298510637964,0.10971843090960597,0.7478505154159638,-0.1055738098498565,486,0.25663803391071494,16,728.8105,2143.199999999996,False,2.7284841053187847e-11
BASE,EQUAL_LOCATION_ENTRY,2022—2023,-0.008033509973310905,-0.004024854714391433,-0.003981854293515663,0.010110301358079913,-0.39384130625675756,-0.016286754800909922,484,0.004130064558094546,2,92.78528,333.60000000001264,False,1.5575096767861396e-11
BASE,EQUAL_LOCATION_ENTRY,2024—终点,0.04488566784345868,0.016900864466747403,0.01808395079466022,0.051483104561928554,0.3512599123253572,-0.06698673970632207,634,0.11635201775167388,22,1036.8732,3059.5999999999653,False,2.9046987037872896e-11
BASE,REARM_RIDGE,2020—2021,0.1663198072000002,0.07962104264508806,0.08245522884674879,0.1086663946818792,0.7587923487121885,-0.10591213630792773,486,0.25676585593013096,16,729.43856,2141.999999999996,False,3.370814738445915e-11
BASE,REARM_RIDGE,2022—2023,0.005564228918978942,0.0027782551087647826,0.00329782320067995,0.032454496432216574,0.10161375350770512,-0.030540113727666924,484,0.04122834998925287,6,282.86591999999996,968.7999999999935,False,2.1827872842550278e-11
BASE,REARM_RIDGE,2024—终点,0.20707404360082232,0.0744794591835167,0.07471553416941837,0.0764354412650291,0.9774985652317071,-0.06698872331367774,634,0.1684463548693552,26,1365.41982,4075.8999999997973,False,5.3006488087703474e-11
BASE,PANIC_LEARNED_HALF,2020—2021,0.14339005880000066,0.06899940719231859,0.06854568955193548,0.0604872091891418,1.1332261889880724,-0.05388667659424196,486,0.14756746264439047,19,443.38824,1315.8000000000125,False,4.474998149817111e-11
