period,cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target,joint_point_pass
evaluation,BASE,BUY_STRENGTH_BAND00_R00,0个百分点调仓、当日涨幅至少达到0%才新增买入,0.9142478585999998,0.10292468907988708,0.10115628800695205,0.08066202172422897,1.254075782439347,-0.06942156008975196,1604,0.18736207180897424,207,3600.82828,9946.999999999874,False,9.458744898438454e-11,0.0666672174342701,True,True
evaluation,STRESS,BUY_STRENGTH_BAND00_R00,0个百分点调仓、当日涨幅至少达到0%才新增买入,0.8436240189999988,0.09668710558114725,0.09547266015997606,0.08052149554639772,1.1856791719046407,-0.07377453251112227,1604,0.18754380730218165,209,6573.896200000001,17406.60000000005,False,7.787548383930698e-11,0.060602161067404604,False,False
earlier_diagnostic,BASE,BUY_STRENGTH_BAND00_R00,0个百分点调仓、当日涨幅至少达到0%才新增买入,0.5287015945000031,0.08790849771377975,0.08809816547860366,0.08739014264288195,1.0081018615407809,-0.07471794195714991,1219,0.2608921363825438,116,1840.0810999999999,4710.800000000109,False,6.803801966270839e-11,0.04894726951713582,False,False
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND00_R00,0个百分点调仓、当日涨幅至少达到0%才新增买入,0.5385005918000012,0.08928935949881822,0.08943260520505723,0.08814381807001122,1.014621412632958,-0.07625760273235886,1219,0.2648809178626618,120,3391.28164,9038.00000000004,False,7.469225238310173e-11,0.05058908741313155,False,False
evaluation,BASE,BUY_STRENGTH_BAND00_R01,0个百分点调仓、当日涨幅至少达到1%才新增买入,0.7025633728000031,0.08359552798846596,0.08315564941897233,0.07666606158899732,1.0846474658469525,-0.05865897587666472,1604,0.141150937263467,150,2750.3254400000005,7660.099999999955,False,7.571543392259628e-11,0.04733805634284899,False,False
evaluation,STRESS,BUY_STRENGTH_BAND00_R01,0个百分点调仓、当日涨幅至少达到1%才新增买入,0.6517808320000007,0.07865632915745398,0.07857974072146882,0.07657248270721151,1.0262138296068108,-0.0635019519857806,1604,0.14146273415984176,151,5028.7336000000005,13422.800000000087,False,7.889866537880152e-11,0.04257138464371133,False,False
earlier_diagnostic,BASE,BUY_STRENGTH_BAND00_R01,0个百分点调仓、当日涨幅至少达到1%才新增买入,0.40258183339999837,0.06947019251837935,0.07026080315552845,0.07855658433090333,0.8943973793408504,-0.06536659498553428,1219,0.2095783464462445,99,1541.8333200000002,3995.89999999999,False,6.831157861597603e-11,0.03050896432173543,False,False
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND00_R01,0个百分点调仓、当日涨幅至少达到1%才新增买入,0.41267246539999963,0.07099327002174434,0.07174527114158083,0.0793359637017504,0.9043221736272664,-0.06551183359875981,1219,0.21338715189109078,93,2788.20692,7537.699999999988,False,6.389200279954821e-11,0.032292997936057666,False,False
evaluation,BASE,BUY_STRENGTH_BAND20_R00,20个百分点调仓、当日涨幅至少达到0%才新增买入,0.9219273598000022,0.10359111700808439,0.10193957972595241,0.08295133439392617,1.2289082565188558,-0.06713581015401549,1604,0.19255624878295965,120,3227.8280400000003,9611.499999999876,False,7.73070496506989e-11,0.06733364536246741,True,True
evaluation,STRESS,BUY_STRENGTH_BAND20_R00,20个百分点调仓、当日涨幅至少达到0%才新增买入,0.8539023356000051,0.0976073807838317,0.0964975317668571,0.08290008033776658,1.1640221743294978,-0.07110972053002762,1604,0.1928219018332753,120,6156.7328800000005,16806.400000000052,False,1.0857093002414331e-10,0.061522436270089055,False,False
earlier_diagnostic,BASE,BUY_STRENGTH_BAND20_R00,20个百分点调仓、当日涨幅至少达到0%才新增买入,0.5525762280000008,0.09126059639668806,0.09108787651617944,0.08649624520136286,1.0530847472526383,-0.07302820347947013,1219,0.26345296607392354,61,1590.3544000000002,4463.9000000001,False,6.957634468562901e-11,0.05229936820004413,False,False
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND20_R00,20个百分点调仓、当日涨幅至少达到0%才新增买入,0.5522563156000007,0.09121595331769056,0.09110027202016016,0.0871159598956709,1.0457357311939262,-0.07430672779539468,1219,0.26668084189054303,62,3100.33688,8630.500000000036,False,5.525180313270539e-11,0.05251568123200388,False,False
evaluation,BASE,BUY_STRENGTH_BAND20_R01,20个百分点调仓、当日涨幅至少达到1%才新增买入,0.7146424280000032,0.08475191571348185,0.08439794981158845,0.07902577463403267,1.0679800381892397,-0.05930319148090726,1604,0.1456245745600974,97,2549.6144000000004,7614.999999999945,False,7.226930165415979e-11,0.04849444406786488,False,False
evaluation,STRESS,BUY_STRENGTH_BAND20_R01,20个百分点调仓、当日涨幅至少达到1%才新增买入,0.6643207246000018,0.07988784487863046,0.07990134335073047,0.07899798061695563,1.0114352636196493,-0.06417179765325125,1604,0.14603953409553078,97,4857.65508,13329.50000000008,False,6.912159733474255e-11,0.04380290036488781,False,False
earlier_diagnostic,BASE,BUY_STRENGTH_BAND20_R01,20个百分点调仓、当日涨幅至少达到1%才新增买入,0.39738246999999843,0.06868197074592779,0.06947730007715486,0.0780595920972772,0.8900546135390105,-0.07286232545848481,1219,0.21244288660237137,48,1287.7060000000001,3744.399999999977,False,5.3660187404602766e-11,0.029720742549283863,False,False
earlier_diagnostic,STRESS,BUY_STRENGTH_BAND20_R01,20个百分点调仓、当日涨幅至少达到1%才新增买入,0.4017521430000009,0.06934456893521472,0.0701492309550858,0.07872861676629088,0.8910258281728315,-0.07396677648273517,1219,0.21553330181134236,49,2532.7714,7116.499999999984,False,7.73070496506989e-11,0.030644296849528047,False,False
