model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
BUY_STRENGTH_BAND00_R00,evaluation,BASE,INTENT_MIX_BAND_00,-3862.8835400001844,-4133.5,-252.89999999999964,-166.71645999999964,-356.7999999999538,0.013574400427412314
BUY_STRENGTH_BAND00_R00,evaluation,BASE,INTENT_MIX_BAND_20,-5018.520580000186,-5990.6999999999825,1228.0,259.0205799999999,-3.199999999953434,0.031149885580246783
BUY_STRENGTH_BAND00_R00,evaluation,BASE,TWO_CLOSE_ZERO_EXIT,-7122.836360000423,-6970.399999999965,-595.7000000000007,176.5363599999996,-619.7999999999374,0.02365181190710297
BUY_STRENGTH_BAND00_R00,evaluation,BASE,BUY_HOLD,129598.50747999988,153136.5,-10366.300000000001,3515.09252,9656.599999999864,0.9661763917841535
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,INTENT_MIX_BAND_00,-3420.495639999921,-4075.5,-219.49999999999818,-219.10435999999936,-655.3999999999833,0.012880570580103612
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,INTENT_MIX_BAND_20,-4774.513080000004,-5760.399999999994,1166.5000000000036,207.113080000001,-26.499999999992724,0.028128450757761048
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,TWO_CLOSE_ZERO_EXIT,-5891.0078799998155,-6557.699999999953,-551.7999999999993,-110.49211999999898,-1107.999999999989,0.024551008793578744
BUY_STRENGTH_BAND00_R00,evaluation,STRESS,BUY_HOLD,115753.07532000015,149690.60000000003,-10612.5,6402.424680000001,16922.60000000006,0.8987707415944131
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,INTENT_MIX_BAND_00,-29459.679880000185,-30448.099999999962,-137.39999999999964,-343.62012000000004,-782.1999999999689,-0.17590454416564105
BUY_STRENGTH_BAND00_R00,earlier_diagnostic,BASE,INTENT_MIX_BAND_20,-37020.51249999995,-37290.69999999994,12.000000000000455,84.41250000000014,-342.59999999998126,-0.24285403403188166
