period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,buy_allowed_origins,rebalance_band,return_floor
evaluation,BUY_STRENGTH_BAND00_R00,BASE,1604,615,989,0,815,0.0,0.0
evaluation,BUY_STRENGTH_BAND00_R01,BASE,1604,615,989,0,259,0.0,0.01
evaluation,BUY_STRENGTH_BAND20_R00,BASE,1604,615,989,0,815,0.2,0.0
evaluation,BUY_STRENGTH_BAND20_R01,BASE,1604,615,989,0,259,0.2,0.01
evaluation,BUY_STRENGTH_BAND00_R00,STRESS,1604,615,989,0,815,0.0,0.0
evaluation,BUY_STRENGTH_BAND00_R01,STRESS,1604,615,989,0,259,0.0,0.01
evaluation,BUY_STRENGTH_BAND20_R00,STRESS,1604,615,989,0,815,0.2,0.0
evaluation,BUY_STRENGTH_BAND20_R01,STRESS,1604,615,989,0,259,0.2,0.01
earlier_diagnostic,BUY_STRENGTH_BAND00_R00,BASE,1219,524,695,0,645,0.0,0.0
earlier_diagnostic,BUY_STRENGTH_BAND00_R01,BASE,1219,524,695,0,232,0.0,0.01
earlier_diagnostic,BUY_STRENGTH_BAND20_R00,BASE,1219,524,695,0,645,0.2,0.0
earlier_diagnostic,BUY_STRENGTH_BAND20_R01,BASE,1219,524,695,0,232,0.2,0.01
earlier_diagnostic,BUY_STRENGTH_BAND00_R00,STRESS,1219,530,689,0,645,0.0,0.0
earlier_diagnostic,BUY_STRENGTH_BAND00_R01,STRESS,1219,530,689,0,232,0.0,0.01
earlier_diagnostic,BUY_STRENGTH_BAND20_R00,STRESS,1219,530,689,0,645,0.2,0.0
earlier_diagnostic,BUY_STRENGTH_BAND20_R01,STRESS,1219,530,689,0,232,0.2,0.01
