cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,CONDITIONAL_VARIANCE_BUDGET,条件方差预测缩减原预算,0.06293473339999842,0.012190319777009158,0.012359700966921763,0.02202380219056139,0.5611974199540661,-0.03533787727057278,1219,0.04817884935600525,34,239.55332000000004,682.3999999999996,False,3.515765456540976e-11,-0.026770908419634767,False
BASE,ROLLING_VARIANCE_BUDGET_CONTROL,二十日普通波动同口径对照,0.10512526600000131,0.020042341049137203,0.02018221353986947,0.025975467424485334,0.7769721025633998,-0.039167611408223724,1219,0.05865488196662461,36,268.7468,771.0000000000041,False,3.9960923459148034e-11,-0.01891888714750672,False
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮未缩减目标,0.1568584352000007,0.0293488950560923,0.03162303621561269,0.0733779218584707,0.4309611857992698,-0.11074951407131403,1219,0.11458489947978016,35,786.8129600000001,2425.6999999999634,False,5.218225851422176e-11,-0.009612333140551623,False
BASE,REARM_RIDGE,原线性学习退出,0.5178144568999987,0.08636595201207783,0.09019308576833743,0.12062774821341546,0.747697665787205,-0.1379164435416316,1219,0.24447945524491668,18,924.4086199999999,2691.7999999999693,False,4.6270542952697724e-11,0.04740472381543391,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,CONDITIONAL_VARIANCE_BUDGET,条件方差预测缩减原预算,0.058657605600000794,0.011380439338557117,0.011558964340436621,0.022012293154531067,0.5251140469232436,-0.03655079969036875,1219,0.0481838260208501,34,450.37888,1292.799999999998,False,4.219202764943475e-11,-0.027319832747129555,False
STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,二十日普通波动同口径对照,0.10046692879999956,0.019187305595049012,0.01934306393762227,0.025956203562748734,0.7452193033877509,-0.04053133199029184,1219,0.05865874995771521,36,506.61424,1462.2999999999972,False,3.949196525354637e-11,-0.019512966490637662,False
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮未缩减目标,0.14153592399999956,0.026627814295249148,0.028969239118058602,0.0732794877947668,0.39532534942373626,-0.11216937802319174,1219,0.1146310833475733,35,1564.3152,4525.500000000001,False,4.160938260611147e-11,-0.012072457790437526,False
STRESS,REARM_RIDGE,原线性学习退出,0.4966178057999997,0.08333708256256431,0.08739686736938987,0.12059773783281692,0.724697402620827,-0.1391665613986051,1219,0.24443238994752556,18,1834.73884,5240.100000000004,False,7.003109203651547e-11,0.044636810476877634,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
