cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,CONDITIONAL_VARIANCE_BUDGET,条件方差预测缩减原预算,0.08511762190000112,0.012400817678319721,0.012399878522711726,0.01226892843470888,1.0106733109333645,-0.015393303739019981,1604,0.023468862906579985,45,388.17562,1106.499999999971,False,4.069988790433854e-11,-0.023856653967297255,False
BASE,ROLLING_VARIANCE_BUDGET_CONTROL,二十日普通波动同口径对照,0.10176778790000095,0.014729409635581598,0.014723731940071682,0.014264815698572445,1.0321712001890893,-0.01788089285904437,1604,0.02729891604604428,44,410.04242,1199.5999999999779,False,4.069988790433854e-11,-0.021528062010035376,False
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮未缩减目标,0.24479840689999874,0.03358895008381669,0.03340280679001166,0.02708670020680005,1.2331811012411902,-0.0230773650701304,1604,0.044585779150991024,45,761.1186200000001,2262.4999999999645,False,4.695266397902742e-11,-0.002668521561800287,True
BASE,REARM_RIDGE,原线性学习退出,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11,0.01758565786527904,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,CONDITIONAL_VARIANCE_BUDGET,条件方差预测缩减原预算,0.07847423800000145,0.011463239082465921,0.011472810698589816,0.012227751211213748,0.9382600692814558,-0.015661684805281788,1604,0.023464836241229477,45,731.9524000000001,1995.800000000009,False,3.296918293926865e-11,-0.024621705431276723,False
STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,二十日普通波动同口径对照,0.09478289159999939,0.013756207394839903,0.013763995059877172,0.014254370171390942,0.9655982617528783,-0.01829611250637479,1604,0.027332228310712685,44,788.22168,2158.40000000001,False,3.9818814911996014e-11,-0.022328737118902743,False
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮未缩减目标,0.23100648979999944,0.03185300250380885,0.03171986770924186,0.027020129920864125,1.173934685071545,-0.023569045524213978,1604,0.04460440927006789,45,1490.30204,4072.0000000000236,False,3.998934516857844e-11,-0.004231942009933799,False
STRESS,REARM_RIDGE,原线性学习退出,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11,0.012459653687316039,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
