period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,1,2020-02-05,2020-02-04,60922.47488000001,3070.0000000000027,29.550400000000003,77.60000000000247,0.0,18,2,2,2020-03-02,2020-02-28,False,2962.8496,0.04863311291663665
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,2,2021-07-29,2021-07-28,74525.30208000001,3024.7999999999884,30.390880000000003,91.20000000000346,0.0,9,1,1,2021-08-11,2021-08-10,False,2903.209119999985,0.03895601948561715
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,3,2021-10-29,2021-10-28,13367.3,75.60000000000218,10.0,16.200000000000614,0.0,16,1,1,2021-11-22,2021-11-19,False,49.40000000000157,0.0036955854959491875
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,4,2021-11-25,2021-11-24,15008.000000000002,240.0,10.0,18.000000000000682,0.0,10,1,1,2021-12-09,2021-12-08,False,211.99999999999932,0.014125799573560721
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,5,2022-05-13,2022-05-12,18359.0,418.59999999999854,10.0,22.999999999997467,0.0,6,1,1,2022-05-23,2022-05-20,False,385.6000000000011,0.021003322621057852
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,6,2022-06-08,2022-06-07,21363.8,-132.59999999999854,10.0,30.60000000000116,0.0,2,1,1,2022-06-10,2022-06-09,False,-173.1999999999997,-0.008107171945065939
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,7,2022-08-10,2022-08-09,39955.4895,-218.5,15.9239,57.00000000000216,0.0,12,1,1,2022-08-26,2022-08-25,False,-291.42390000000216,-0.007293713671058945
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,8,2024-02-19,2024-02-08,34104.419519999996,1020.0999999999985,13.834979999999998,40.400000000000034,0.0,4,1,1,2024-02-23,2024-02-22,False,965.8650199999986,0.028320816879278135
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,9,2024-06-18,2024-06-17,54696.337080000005,-123.19999999999709,21.837200000000003,61.60000000000005,0.0,22,1,1,2024-07-18,2024-07-17,False,-206.63719999999714,-0.00377789832064559
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,10,2024-08-02,2024-08-01,43283.655,-400.0,17.220000000000002,50.00000000000004,0.0,2,1,1,2024-08-06,2024-08-05,False,-467.2200000000001,-0.010794374920509834
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,11,2024-08-28,2024-08-27,54974.59272,-1809.300000000003,21.61054,65.19999999999283,0.0,11,1,1,2024-09-12,2024-09-11,False,-1896.1105399999956,-0.03449067007476314
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,12,2024-09-25,2024-09-24,32472.79326,4817.4000000000015,13.940700000000001,46.499999999994884,0.0,3,1,1,2024-09-30,2024-09-27,False,4756.959300000007,0.1464906102136779
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,13,2025-04-09,2025-04-08,93418.69025999999,3171.5,38.28466,99.1999999999944,0.0,10,3,1,2025-04-23,2025-04-22,False,3034.015340000006,0.032477605193948114
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,14,2025-06-03,2025-05-30,8690.6,-94.60000000000036,10.0,8.79999999999903,193.6,11,1,1,2025-06-18,2025-06-17,False,80.2000000000006,0.009228361678135065
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,15,2025-12-19,2025-12-18,106325.36081999999,4529.999999999993,43.400400000000005,136.19999999999584,0.0,18,1,2,2026-01-16,2026-01-15,False,4350.399599999996,0.040915916639726824
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,16,2026-05-06,2026-04-30,53569.7118,264.0000000000073,21.4632,65.99999999999272,0.0,2,1,1,2026-05-08,2026-05-07,False,176.53680000001455,0.003295459207604222
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,17,2026-05-13,2026-05-12,48451.08828,-833.0,19.1982,58.80000000000223,0.0,3,1,1,2026-05-18,2026-05-15,False,-910.9982000000023,-0.018802430086509548
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,18,2026-06-05,2026-06-04,48638.52576,1683.0,19.77624,59.399999999993454,0.0,11,1,1,2026-06-23,2026-06-22,False,1603.8237600000066,0.03297434975545621
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,19,2026-07-23,2026-07-22,34401.27888,-676.8000000000029,13.613760000000001,43.19999999999524,0.0,6,1,1,2026-07-31,2026-07-30,False,-733.6137599999981,-0.021325188594267696
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,20,2026-08-07,2026-08-06,45215.44128,297.59999999999854,18.130560000000003,57.60000000000218,0.0,5,1,1,2026-08-14,2026-08-13,True,221.86943999999636,0.004906939614412989
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,1,2020-02-05,2020-02-04,60965.57648,3070.0000000000027,52.71600000000001,140.80000000000314,0.0,18,2,2,2020-03-02,2020-02-28,False,2876.4839999999995,0.04718210121319268
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,2,2021-07-29,2021-07-28,74570.61632,3024.7999999999884,60.77568000000001,167.19999999998834,0.0,9,1,1,2021-08-11,2021-08-10,False,2796.8243199999997,0.03750571549520485
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,3,2021-10-29,2021-10-28,13373.04708,75.60000000000218,10.713600000000001,27.000000000001823,0.0,16,1,1,2021-11-22,2021-11-19,False,37.886400000000364,0.002833041697479791
