date,variance_status,variance_fit_index,next_variance_percent_squared,forecast_annual_volatility,realized_annual_volatility20
2012-05-28,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-05-29,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-05-30,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-05-31,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-01,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-04,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-05,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-06,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-07,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-08,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-11,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-12,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-13,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-14,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-15,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-18,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-19,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-20,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-21,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-25,NO_VIEW_NO_VARIANCE_MODEL,,,,
2012-06-26,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1619925117020019
2012-06-27,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14839363092794178
2012-06-28,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14860771875781248
2012-06-29,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1573549077221245
2012-07-02,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1573549077221245
2012-07-03,NO_VIEW_NO_VARIANCE_MODEL,,,,0.12948851827574556
2012-07-04,NO_VIEW_NO_VARIANCE_MODEL,,,,0.12926348372535687
2012-07-05,NO_VIEW_NO_VARIANCE_MODEL,,,,0.13368677102664694
2012-07-06,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14667844353723405
2012-07-09,NO_VIEW_NO_VARIANCE_MODEL,,,,0.16106571508744189
2012-07-10,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15347180607206273
2012-07-11,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15460305436766525
2012-07-12,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14818082952356046
2012-07-13,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14852503585440763
2012-07-16,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15486883048489375
2012-07-17,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15439915056891856
2012-07-18,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1538299435605707
2012-07-19,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15510622694371906
2012-07-20,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14866837131182137
2012-07-23,NO_VIEW_NO_VARIANCE_MODEL,,,,0.13924965002283332
2012-07-24,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1397295654868489
2012-07-25,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1405403124368576
2012-07-26,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14019166092596685
2012-07-27,NO_VIEW_NO_VARIANCE_MODEL,,,,0.13253076429102834
2012-07-30,NO_VIEW_NO_VARIANCE_MODEL,,,,0.13239411274191462
2012-07-31,NO_VIEW_NO_VARIANCE_MODEL,,,,0.13166401492742352
2012-08-01,NO_VIEW_NO_VARIANCE_MODEL,,,,0.13599727105946655
2012-08-02,NO_VIEW_NO_VARIANCE_MODEL,,,,0.13337185016178973
2012-08-03,NO_VIEW_NO_VARIANCE_MODEL,,,,0.11965673319070777
2012-08-06,NO_VIEW_NO_VARIANCE_MODEL,,,,0.11249541096014629
2012-08-07,NO_VIEW_NO_VARIANCE_MODEL,,,,0.11197714841640141
2012-08-08,NO_VIEW_NO_VARIANCE_MODEL,,,,0.11063547093521438
2012-08-09,NO_VIEW_NO_VARIANCE_MODEL,,,,0.11171686901795837
