fit_index,fit_origin,training_start_index,training_rows,latest_observed_return_index,solver_success,solver_message,iterations,objective,initial_objective,raw_gradient_maximum,status,omega,alpha,beta,initial_variance_percent_squared,variance_at_fit_percent_squared,next_variance_percent_squared
632,2014-12-31,1,632,632,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,0.7223380056577268,0.723233563194641,4.744636469528648e-07,FIT_COMPLETE,0.06159405894506996,0.05924679104918645,0.9068369274746816,1.687576607020965,4.345235753241375,4.434291222294826
633,2015-01-05,1,633,633,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,0.7241944844653245,0.7253078343008329,7.465457708491847e-07,FIT_COMPLETE,0.05935208276341223,0.05978157170012775,0.9080555219829642,1.7009836074306686,4.501484897811423,4.755180438398985
653,2015-02-02,1,653,653,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,0.7581019238709624,0.7648622701835438,3.0404790596545937e-07,FIT_COMPLETE,0.02790512894329883,0.05435163033769926,0.9354214212350066,1.8963365008592425,6.66844403904249,6.541062302671809
668,2015-03-02,1,668,668,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,0.7634038936064764,0.7680844207596367,3.4164869587709263e-07,FIT_COMPLETE,0.03741362900658926,0.0545069746163825,0.9283616827437269,1.8990217512530825,3.532703132058932,3.350777296338146
690,2015-04-01,1,690,690,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,0.7698971034855576,0.7745324287185889,6.615078629801566e-08,FIT_COMPLETE,0.039310055009033784,0.054043107015169005,0.9273456529027589,1.9159323752229738,2.5721693289481995,2.5694781481156928
711,2015-05-04,1,711,711,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,0.7759852666960608,0.7806599528549328,1.3151174083171605e-07,FIT_COMPLETE,0.03899777392841638,0.053390400744547935,0.9281127388687301,1.9337875525945938,2.447748724961227,2.326855308735024
731,2015-06-01,1,731,731,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,0.8012265220012745,0.8097250988910619,4.867151647049817e-07,FIT_COMPLETE,0.03152021773348751,0.060608272616319084,0.9287789848790285,2.078376962494634,5.608864243535438,6.898972227944249
752,2015-07-01,1,752,752,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,0.8296406188633362,0.8458500534241378,9.045128126450017e-07,FIT_COMPLETE,0.02898743306660444,0.0714660899148838,0.9228049063873884,2.3854029046442715,14.56012918997621,16.392886766628806
775,2015-08-03,20,756,775,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,0.8771359541168182,0.9077320117324219,1.1880135053157323e-07,FIT_COMPLETE,0.03304624473741118,0.0801943230686958,0.914538873433308,3.057607123213743,18.709501434013795,17.143666683706773
796,2015-09-01,41,756,796,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,0.9213855665527428,0.963614489857761,7.292557387453508e-07,FIT_COMPLETE,0.023329601336317812,0.07300584192625416,0.9259884686039581,3.5371625679517518,21.795360021428202,20.21628611018842
816,2015-10-08,61,756,816,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,0.9466230348800273,0.9885843326733846,3.4459662559074446e-08,FIT_COMPLETE,0.02831483759300366,0.07407447646552745,0.9208831687269297,3.664717617057707,7.4743389645881795,7.872041696829401
833,2015-11-02,78,756,833,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,0.9511661277557475,0.9932592501630598,6.051525507161007e-08,FIT_COMPLETE,0.03947090221904299,0.08451750603265033,0.9059219484817194,3.689451889263126,3.3453722677997395,3.3068566352377533
854,2015-12-01,99,756,854,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,0.966592086447298,1.0072007830316634,4.76100385391734e-07,FIT_COMPLETE,0.02774400703239659,0.07229855847340548,0.9226829495662816,3.7483792409572065,4.080246164469627,3.836035874527257
877,2016-01-04,122,756,877,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,0.986768593412197,1.028113849049692,2.6628019116305897e-08,FIT_COMPLETE,0.021833537867515882,0.06802602859195124,0.9292583704094695,3.849731042966995,2.7414637965198567,5.383618732900247
897,2016-02-01,142,756,897,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,25,0.9979169928157627,1.0419953077280601,6.791048654596528e-07,FIT_COMPLETE,0.021448036024090688,0.07211450986444018,0.9264523739589332,3.945382588284408,6.553994882506376,6.179429763944321
913,2016-03-01,158,756,913,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31,1.0086794881169059,1.0533197553916476,4.845336860130668e-07,FIT_COMPLETE,0.01990168673325764,0.0701911489121447,0.9288031443241022,4.004540084003223,5.962810027522931,5.807709008066494
936,2016-04-01,181,756,936,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,1.013333171143628,1.0580691447480373,5.935188055558489e-08,FIT_COMPLETE,0.022736502869737378,0.07054332078488158,0.9258849820760787,4.029375495621751,2.91062014481116,2.7244863919136413
956,2016-05-03,201,756,956,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,20,0.9994208098204478,1.045735413420297,2.3680962745829977e-08,FIT_COMPLETE,0.02375248915049562,0.07584268565496781,0.9205448752652201,3.9675633655798017,1.187630311483023,1.401073516453374
977,2016-06-01,222,756,977,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,0.9958876222957495,1.0418233590540251,4.968040361618381e-07,FIT_COMPLETE,0.02551254500175142,0.07093471162006354,0.9240644333845197,3.9522559069404304,1.6831812835975648,1.5928176646276868
997,2016-07-01,242,756,997,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,0.9910599054307114,1.0407774432772385,5.16665855650311e-07,FIT_COMPLETE,0.02156263702600372,0.06506501148676279,0.9293453795538407,3.952017043666198,1.175651045840015,1.11473456302517
1018,2016-08-01,263,756,1018,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,0.9698878868476373,1.0232343344217047,3.040420943641989e-07,FIT_COMPLETE,0.021203129817399875,0.06532604356234938,0.9287565063249498,3.8763692025900074,1.0510225445915742,1.0423229450355775
1041,2016-09-01,286,756,1041,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,0.947431653797356,1.0047318332195654,2.88039117533313e-07,FIT_COMPLETE,0.019635919778477215,0.0660930280986702,0.928807345297796,3.794644910929852,0.8355416447229843,0.8702723011962905
1061,2016-10-10,306,756,1061,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,0.9360707551351501,0.9982073289717113,1.0549584313467786e-06,FIT_COMPLETE,0.018139784890634093,0.0673989976544949,0.9281366125935128,3.772687829271368,0.7611741549518404,0.8128037993381775
1077,2016-11-01,322,756,1077,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21,0.9213066067729894,0.9899545231295787,6.109483619895386e-08,FIT_COMPLETE,0.01418400460210367,0.06877334201386913,0.9286089150205055,3.744623462410425,0.572876466477337,0.5724602370003448
1099,2016-12-01,344,756,1099,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,25,0.9052080671494573,0.9823447006882019,1.6492894817409826e-07,FIT_COMPLETE,0.011287283875916985,0.06951359993052583,0.9292363180890189,3.7220827213950627,0.5589837800021643,0.5928231982402523
