model,reused_198,name,main_base_net_sharpe,main_base_annualized_return,main_base_max_drawdown,main_stress_net_sharpe,main_stress_annualized_return,main_stress_max_drawdown,earlier_base_net_sharpe,earlier_base_annualized_return,earlier_base_max_drawdown,earlier_stress_net_sharpe,earlier_stress_annualized_return,earlier_stress_max_drawdown,minimum_joint_ratio
TWO_CLOSE_ZERO_EXIT,True,原198每日六十日10%预算、两次零确认,1.230423970532244,0.1059963743703196,-0.07808473542008036,1.161128163111062,0.09931285910499427,-0.08340941783287366,1.1826547969585695,0.1120663874925603,-0.07891815727851231,1.1867365818784206,0.11331503886373448,-0.08040760814108888,0.9676068025925516
CONFIRMED_RISK_DAILY_30_12,False,30日、12%预算、每日调整、两次零确认,1.1835000536209201,0.10371252881058785,-0.07914101344809076,1.1149558133813862,0.09698096145384104,-0.08492782571700552,1.1121649597965444,0.10298459623661002,-0.07812084980580619,1.1182276374491853,0.10448039086709197,-0.07978673021395374,0.9268041331637871
CONFIRMED_RISK_EPISODE_30_10,False,30日、10%预算、区间固定、两次零确认,1.1613659864315673,0.09804912218906987,-0.08510681953661786,1.1116412688446131,0.09339879677005751,-0.09083254067120453,1.188668399928944,0.09201997249466351,-0.06298643764915579,1.1931338845773396,0.09299097223295809,-0.06301593869368727,0.920199724946635
CONFIRMED_ACCOUNT_RISK_12,False,60日、12%预算、每日调整、两次零确认,1.1680019619374205,0.10974203455511315,-0.08028754886386229,1.1033376245639868,0.10303607300861195,-0.08603300720769935,1.17890730960954,0.11951405360626885,-0.08346326041707815,1.1889211430557414,0.12130936445131336,-0.08493014330532521,0.919448020469989
CONFIRMED_RISK_EPISODE_30_12,False,30日、12%预算、区间固定、两次零确认,1.1479758197807213,0.09757790990110114,-0.08476037202168026,1.097505106025418,0.09283539148909403,-0.0907548860046286,1.172559637709806,0.09114825347613706,-0.06298643764915579,1.1774524735702,0.09210238508257976,-0.06301593869368727,0.9114825347613705
CONFIRMED_RISK_DAILY_30_15,False,30日、15%预算、每日调整、两次零确认,1.1544326304536177,0.11103503629109175,-0.07910524414150392,1.087205730044173,0.1037924754093928,-0.08492112574531484,1.0944717611343397,0.11127119580490849,-0.081987377232777,1.1006416206762348,0.112758569120583,-0.08286009809805557,0.906004775036811
CONFIRMED_RISK_DAILY_30_10,False,30日、10%预算、每日调整、两次零确认,1.2107991269812035,0.09961085017137157,-0.0762555112964021,1.1361864841573572,0.09280386103055041,-0.08197335447169823,1.0824304360927268,0.09447501194543442,-0.07722420897422679,1.083190036471804,0.09525901173129005,-0.0790128343397348,0.9020253634106057
CONFIRMED_RISK_EPISODE_30_15,False,30日、15%预算、区间固定、两次零确认,1.1520413626795125,0.09851030646762798,-0.08049551630768642,1.1014102714196607,0.09374729635477695,-0.08647937751483609,1.1465396571903446,0.08976127300715969,-0.06298643764915579,1.1515004282372245,0.09074853233975426,-0.06301593869368727,0.8976127300715969
CONFIRMED_RISK_DAILY_120_15,False,120日、15%预算、每日调整、两次零确认,1.1369741612346944,0.09844944280391857,-0.06578448609700782,1.0741163746061337,0.09231981062606615,-0.07089773443847007,1.158591171519718,0.12290555886494885,-0.08563681193769636,1.1689250627811834,0.12495949973505217,-0.0870032634715093,0.8950969788384449
CONFIRMED_RISK_DAILY_120_12,False,120日、12%预算、每日调整、两次零确认,1.205537675253752,0.095355182161338,-0.06127607617607818,1.1345124908709654,0.08920430733414395,-0.06432737140539806,1.1525260719204857,0.11672585649000466,-0.08337763295770856,1.1641194735395881,0.11890473642753777,-0.08472300312608498,0.8920430733414394
