model,period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,1,2020-01-02,2019-12-31,191090.83844000002,-1174.0999999999767,77.48020000000001,277.8000000000105,0.0,14,2,2,2020-01-22,2020-01-21,False,-1529.3801999999873,-0.008003419800160604
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,2,2020-02-05,2020-02-04,121554.90612,9317.100000000022,53.551120000000004,160.50000000001083,0.0,19,1,3,2020-03-03,2020-03-02,False,9103.048880000011,0.0748883707829399
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,3,2020-07-01,2020-06-30,207471.9861,25156.199999999983,87.94452000000001,294.60000000001116,0.0,5,2,1,2020-07-08,2020-07-07,False,24773.655479999972,0.11940723152888337
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,4,2020-08-19,2020-08-18,231579.3066,-3864.199999999997,91.78252,289.20000000001096,0.0,31,2,3,2020-10-09,2020-09-30,False,-4245.1825200000085,-0.018331441536495248
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,5,2020-12-15,2020-12-14,253974.28470000002,24537.300000000017,106.41638000000002,302.40000000001146,1303.1999999999998,25,3,5,2021-01-20,2021-01-19,False,25431.683620000007,0.10013487645034799
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,6,2021-02-03,2021-02-02,32421.082919999997,1480.900000000005,13.254940000000001,35.40000000000134,0.0,7,1,1,2021-02-19,2021-02-18,False,1432.2450600000038,0.04417634856719968
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,7,2021-06-08,2021-06-07,553078.02374,-4099.6999999999825,222.17078,630.6000000000195,0.0,31,4,5,2021-07-22,2021-07-21,False,-4952.470780000002,-0.008954379974294805
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,8,2021-07-29,2021-07-28,249561.70236000002,8194.899999999965,101.38262000000002,305.3999999999663,0.0,10,1,1,2021-08-12,2021-08-11,False,7788.117379999999,0.031207181656283993
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,9,2021-10-29,2021-10-28,407957.27514000004,8665.399999999965,164.78496,491.9999999999727,0.0,32,3,2,2021-12-14,2021-12-13,False,8008.6150399999915,0.019631014147870385
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,10,2022-05-13,2022-05-12,518195.21832,7507.099999999977,208.59930000000003,693.7999999999581,0.0,20,3,2,2022-06-13,2022-06-10,False,6604.7007000000185,0.012745584031849232
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,11,2022-08-10,2022-08-09,272140.01712,-1329.0,108.49055999999999,389.40000000001476,0.0,18,2,2,2022-09-05,2022-09-02,False,-1826.8905600000148,-0.006713053740988223
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,12,2023-01-17,2023-01-16,199877.16744,-1060.399999999965,79.66496000000001,289.20000000001096,0.0,2,1,1,2023-01-19,2023-01-18,False,-1429.264959999976,-0.007150716504070027
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,13,2023-04-03,2023-03-31,269121.71358,1568.7000000000116,107.86134000000001,397.7999999999562,0.0,7,2,1,2023-04-13,2023-04-12,False,1063.0386600000556,0.003950029322639748
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,14,2024-02-19,2024-02-08,269946.57852,7651.799999999988,109.42356000000001,319.1999999999889,0.0,5,2,1,2024-02-26,2024-02-23,False,7223.176439999999,0.02675779956020018
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,15,2024-03-05,2024-03-04,332453.87748,4262.900000000023,133.73250000000002,375.1999999999654,0.0,54,2,3,2024-05-27,2024-05-24,False,3753.967500000058,0.011291694139515312
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,16,2024-06-18,2024-06-17,265312.75194,1195.2000000000116,106.28316000000001,298.8000000000003,0.0,23,1,1,2024-07-19,2024-07-18,False,790.1168400000114,0.0029780582886520844
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,17,2024-08-02,2024-08-01,280131.81516,-4773.100000000035,111.01097999999999,323.6000000000003,0.0,3,1,1,2024-08-07,2024-08-06,False,-5207.710980000035,-0.018590216098894732
