period,fit_index,fit_origin,fit_time,status,prediction_status,eligible_by_count,fit_attempted,training_rows,training_start_index,training_end_index,latest_maturity_index,missing_training_rows,prediction,selected_parent,failure
evaluation,1852,2020-01-02,2020-01-02 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,0,,,,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,1868,2020-02-03,2020-02-03 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,0,,,,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,1888,2020-03-02,2020-03-02 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,18,1851.0,1868.0,1888.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,1910,2020-04-01,2020-04-01 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,40,1851.0,1890.0,1910.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,1931,2020-05-06,2020-05-06 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,61,1851.0,1911.0,1931.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,1949,2020-06-01,2020-06-01 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,79,1851.0,1929.0,1949.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,1969,2020-07-01,2020-07-01 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,99,1851.0,1949.0,1969.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,1992,2020-08-03,2020-08-03 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,122,1851.0,1972.0,1992.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,2013,2020-09-01,2020-09-01 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,143,1851.0,1993.0,2013.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,2035,2020-10-09,2020-10-09 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,165,1851.0,2015.0,2035.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,2051,2020-11-02,2020-11-02 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,181,1851.0,2031.0,2051.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,2072,2020-12-01,2020-12-01 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,202,1851.0,2052.0,2072.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,2095,2021-01-04,2021-01-04 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,225,1851.0,2075.0,2095.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,2115,2021-02-01,2021-02-01 15:05:00,NO_VIEW_INSUFFICIENT_MATURE_ROWS,NO_VIEW_INSUFFICIENT_MATURE_ROWS,False,False,245,1851.0,2095.0,2115.0,0,,TWO_POLICY_MIN_VARIANCE,
evaluation,2130,2021-03-01,2021-03-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,260,1851.0,2110.0,2130.0,0,0.003507689612915266,THREE_POLICY_MIN_VARIANCE,
evaluation,2153,2021-04-01,2021-04-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,283,1851.0,2133.0,2153.0,0,-0.0008689070867103502,TWO_POLICY_MIN_VARIANCE,
evaluation,2174,2021-05-06,2021-05-06 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,304,1851.0,2154.0,2174.0,0,-0.003555598933942741,TWO_POLICY_MIN_VARIANCE,
evaluation,2192,2021-06-01,2021-06-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,322,1851.0,2172.0,2192.0,0,-0.0036599203336184468,TWO_POLICY_MIN_VARIANCE,
evaluation,2213,2021-07-01,2021-07-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,343,1851.0,2193.0,2213.0,0,-0.0022476326547074864,TWO_POLICY_MIN_VARIANCE,
evaluation,2235,2021-08-02,2021-08-02 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,365,1851.0,2215.0,2235.0,0,-0.0019503164543385894,TWO_POLICY_MIN_VARIANCE,
evaluation,2257,2021-09-01,2021-09-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,387,1851.0,2237.0,2257.0,0,-0.0024902300358975154,TWO_POLICY_MIN_VARIANCE,
evaluation,2277,2021-10-08,2021-10-08 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,407,1851.0,2257.0,2277.0,0,-0.003314999101511307,TWO_POLICY_MIN_VARIANCE,
evaluation,2293,2021-11-01,2021-11-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,423,1851.0,2273.0,2293.0,0,-0.0028722732545457524,TWO_POLICY_MIN_VARIANCE,
evaluation,2315,2021-12-01,2021-12-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,445,1851.0,2295.0,2315.0,0,-0.003215964438783442,TWO_POLICY_MIN_VARIANCE,
evaluation,2338,2022-01-04,2022-01-04 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,468,1851.0,2318.0,2338.0,0,-0.0023598230053851975,TWO_POLICY_MIN_VARIANCE,
evaluation,2357,2022-02-07,2022-02-07 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,487,1851.0,2337.0,2357.0,0,-0.0006476694198869341,TWO_POLICY_MIN_VARIANCE,
evaluation,2373,2022-03-01,2022-03-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,503,1851.0,2353.0,2373.0,0,-0.0026433228415163783,TWO_POLICY_MIN_VARIANCE,
evaluation,2396,2022-04-01,2022-04-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,504,1873.0,2376.0,2396.0,0,-0.0024938410265466387,TWO_POLICY_MIN_VARIANCE,
evaluation,2415,2022-05-05,2022-05-05 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,504,1892.0,2395.0,2415.0,0,-0.0033186911170136097,TWO_POLICY_MIN_VARIANCE,
evaluation,2434,2022-06-01,2022-06-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,504,1911.0,2414.0,2434.0,0,-0.004000803205193543,TWO_POLICY_MIN_VARIANCE,
evaluation,2455,2022-07-01,2022-07-01 15:05:00,FIT_COMPLETE,PREDICTION_AVAILABLE,True,True,504,1932.0,2435.0,2455.0,0,-0.0036674196807463645,TWO_POLICY_MIN_VARIANCE,
