origin,training_start,training_end,observations,state_error,objective_error
2014-07-01T00:00:00,2012-06-01T00:00:00,2014-07-01T00:00:00,504,0.0,0.0
2014-10-08T00:00:00,2012-09-03T00:00:00,2014-10-08T00:00:00,504,0.0,0.0
2015-01-05T00:00:00,2012-12-04T00:00:00,2015-01-05T00:00:00,504,0.0,0.0
2015-04-01T00:00:00,2013-03-05T00:00:00,2015-04-01T00:00:00,504,0.0,0.0
2015-07-01T00:00:00,2013-06-06T00:00:00,2015-07-01T00:00:00,504,0.0,0.0
2015-10-08T00:00:00,2013-09-09T00:00:00,2015-10-08T00:00:00,504,0.0,0.0
2016-01-04T00:00:00,2013-12-12T00:00:00,2016-01-04T00:00:00,504,0.0,0.0
2016-04-01T00:00:00,2014-03-13T00:00:00,2016-04-01T00:00:00,504,0.0,0.0
2016-07-01T00:00:00,2014-06-12T00:00:00,2016-07-01T00:00:00,504,0.0,0.0
2016-10-10T00:00:00,2014-09-11T00:00:00,2016-10-10T00:00:00,504,0.0,0.0
2017-01-03T00:00:00,2014-12-11T00:00:00,2017-01-03T00:00:00,504,0.0,0.0
2017-04-05T00:00:00,2015-03-13T00:00:00,2017-04-05T00:00:00,504,0.0,0.0
2017-07-03T00:00:00,2015-06-09T00:00:00,2017-07-03T00:00:00,504,0.0,0.0
2017-10-09T00:00:00,2015-09-11T00:00:00,2017-10-09T00:00:00,504,0.0,0.0
2018-01-02T00:00:00,2015-12-11T00:00:00,2018-01-02T00:00:00,504,0.0,0.0
2018-04-02T00:00:00,2016-03-11T00:00:00,2018-04-02T00:00:00,504,0.0,0.0
2018-07-02T00:00:00,2016-06-07T00:00:00,2018-07-02T00:00:00,504,0.0,0.0
2018-10-08T00:00:00,2016-09-07T00:00:00,2018-10-08T00:00:00,504,0.0,0.0
2019-01-02T00:00:00,2016-12-09T00:00:00,2019-01-02T00:00:00,504,0.0,0.0
2019-04-01T00:00:00,2017-03-09T00:00:00,2019-04-01T00:00:00,504,0.0,0.0
2019-07-01T00:00:00,2017-06-08T00:00:00,2019-07-01T00:00:00,504,0.0,0.0
2019-10-08T00:00:00,2017-09-07T00:00:00,2019-10-08T00:00:00,504,0.0,0.0
2020-01-02T00:00:00,2017-12-08T00:00:00,2020-01-02T00:00:00,504,0.0,0.0
2020-04-01T00:00:00,2018-03-08T00:00:00,2020-04-01T00:00:00,504,0.0,0.0
2020-07-01T00:00:00,2018-06-05T00:00:00,2020-07-01T00:00:00,504,0.0,0.0
2020-10-09T00:00:00,2018-09-06T00:00:00,2020-10-09T00:00:00,504,0.0,0.0
2021-01-04T00:00:00,2018-12-07T00:00:00,2021-01-04T00:00:00,504,0.0,0.0
2021-04-01T00:00:00,2019-03-08T00:00:00,2021-04-01T00:00:00,504,0.0,0.0
2021-07-01T00:00:00,2019-06-06T00:00:00,2021-07-01T00:00:00,504,0.0,0.0
2021-10-08T00:00:00,2019-09-05T00:00:00,2021-10-08T00:00:00,504,0.0,0.0
2022-01-04T00:00:00,2019-12-09T00:00:00,2022-01-04T00:00:00,504,0.0,0.0
2022-04-01T00:00:00,2020-03-09T00:00:00,2022-04-01T00:00:00,504,0.0,0.0
2022-07-01T00:00:00,2020-06-04T00:00:00,2022-07-01T00:00:00,504,0.0,0.0
2022-10-10T00:00:00,2020-09-07T00:00:00,2022-10-10T00:00:00,504,0.0,0.0
2023-01-03T00:00:00,2020-12-08T00:00:00,2023-01-03T00:00:00,504,0.0,0.0
2023-04-03T00:00:00,2021-03-09T00:00:00,2023-04-03T00:00:00,504,0.0,0.0
2023-07-03T00:00:00,2021-06-04T00:00:00,2023-07-03T00:00:00,504,0.0,0.0
2023-10-09T00:00:00,2021-09-03T00:00:00,2023-10-09T00:00:00,504,0.0,0.0
2024-01-02T00:00:00,2021-12-07T00:00:00,2024-01-02T00:00:00,504,0.0,0.0
2024-04-01T00:00:00,2022-03-07T00:00:00,2024-04-01T00:00:00,504,0.0,0.0
2024-07-01T00:00:00,2022-06-06T00:00:00,2024-07-01T00:00:00,504,0.0,0.0
2024-10-08T00:00:00,2022-09-02T00:00:00,2024-10-08T00:00:00,504,0.0,0.0
2025-01-02T00:00:00,2022-12-06T00:00:00,2025-01-02T00:00:00,504,0.0,0.0
2025-04-01T00:00:00,2023-03-03T00:00:00,2025-04-01T00:00:00,504,0.0,0.0
2025-07-01T00:00:00,2023-06-01T00:00:00,2025-07-01T00:00:00,504,0.0,0.0
2025-10-09T00:00:00,2023-09-05T00:00:00,2025-10-09T00:00:00,504,0.0,0.0
2026-01-05T00:00:00,2023-12-06T00:00:00,2026-01-05T00:00:00,504,0.0,0.0
2026-04-01T00:00:00,2024-03-04T00:00:00,2026-04-01T00:00:00,504,0.0,0.0
2026-07-01T00:00:00,2024-06-03T00:00:00,2026-07-01T00:00:00,504,0.0,0.0
