date,static_profit,mechanical_increment,state_policy_increment,full_profit
2020-01-02,186.29795999999624,0.0,32.728020000009565,219.0259800000058
2020-01-03,112.29795999999624,0.0,19.728020000009565,132.0259800000058
2020-01-06,-6.102039999997942,0.0,-1.0719800000078976,-7.174020000005839
2020-01-07,230.69795999999042,0.0,40.52801999999792,271.22597999998834
2020-01-08,-72.70204000000376,0.0,-12.771979999990435,-85.4740199999942
2020-01-09,252.89796000000206,0.0,44.4280199999921,297.32597999999416
2020-01-10,245.49795999997878,0.0,43.12802000003285,288.6259800000116
2020-01-13,578.4979599999788,0.0,101.62802000003285,680.1259800000116
2020-01-14,445.29795999999624,0.0,78.22802000000956,523.5259800000058
2020-01-15,208.49795999997878,0.0,36.62802000003285,245.12598000001162
2020-01-16,164.0979599999846,0.0,28.828020000015385,192.92597999999998
2020-01-17,201.0979599999846,0.0,35.328020000015385,236.42597999999998
2020-01-20,423.0979599999846,0.0,74.32802000001539,497.42598
2020-01-21,-139.30204000000958,0.0,-24.471980000002077,-163.77402000001166
2020-01-22,-35.70204000000376,0.0,-6.271979999990435,-41.9740199999942
2020-01-23,-945.9020400000154,0.0,-166.17197999998461,-1112.07402
2020-02-03,-3439.7020400000038,0.0,-604.2719799999904,-4043.974019999994
2020-02-04,-2618.3020400000096,0.0,-459.9719800000021,-3078.2740200000117
2020-02-05,-2344.502040000021,0.0,-411.87197999996715,-2756.3740199999884
2020-02-06,-1678.5020400000212,0.0,-294.87197999996715,-1973.3740199999884
2020-02-07,-1745.102039999998,0.0,-306.5719800000079,-2051.674020000006
2020-02-10,-1648.9020400000154,0.0,-289.6719799999846,-1938.57402
2020-02-11,-1338.102039999998,0.0,-235.0719800000079,-1573.1740200000058
2020-02-12,-1130.9020400000154,0.0,-198.67197999998461,-1329.57402
2020-02-13,-1286.3020400000096,0.0,-225.97198000000208,-1512.2740200000117
2020-02-14,-1086.5020400000212,0.0,-190.87197999996715,-1277.3740199999884
2020-02-17,-442.70204000000376,0.0,-77.77197999999044,-520.4740199999942
2020-02-18,-627.7020400000038,0.0,-110.27197999999044,-737.9740199999942
2020-02-19,-620.3020400000096,0.0,-108.97198000000208,-729.2740200000117
2020-02-20,53.097959999984596,0.0,9.328020000015385,62.42597999999998
2020-02-21,156.69795999999042,0.0,27.528019999997923,184.22597999998834
2020-02-24,-87.50204000002122,0.0,-15.371979999967152,-102.87401999998838
2020-02-25,-146.70204000000376,0.0,-25.771979999990435,-172.4740199999942
2020-02-26,-398.3020400000096,0.0,-69.97198000000208,-468.27402000001166
2020-02-27,-390.9020400000154,0.0,-68.67197999998461,-459.57402
2020-02-28,-1412.102040000027,0.0,-248.0719799999788,-1660.1740200000058
2020-03-02,-353.9020400000154,0.0,-62.171979999984615,-416.07402
2020-03-03,-376.10203999999794,0.0,-66.0719800000079,-442.17402000000584
2020-03-04,-161.50203999999212,0.0,-28.371979999996256,-189.87401999998838
2020-03-05,563.6979599999904,0.0,99.02801999999792,662.7259799999883
2020-03-06,-20.902040000015404,0.0,-3.6719799999846146,-24.57402000000002
2020-03-09,-990.3020400000096,0.0,-173.97198000000208,-1164.2740200000117
2020-03-10,-339.10203999999794,0.0,-59.5719800000079,-398.67402000000584
2020-03-11,-834.9020400000154,0.0,-146.67197999998461,-981.57402
2020-03-12,-1301.102039999998,0.0,-228.5719800000079,-1529.6740200000058
2020-03-13,-1737.7020400000038,0.0,-305.27197999999044,-2042.9740199999942
2020-03-16,-2943.9020400000154,0.0,-517.1719799999846,-3461.07402
2020-03-17,-3188.102039999998,0.0,-560.0719800000079,-3748.174020000006
2020-03-18,-3646.9020400000154,0.0,-640.6719799999846,-4287.57402
2020-03-19,-3905.9020400000154,0.0,-686.1719799999846,-4592.07402
2020-03-20,-3550.7020400000038,0.0,-623.7719799999904,-4174.474019999994
2020-03-23,-4423.902040000015,0.0,-777.1719799999846,-5201.07402
2020-03-24,-3794.9020400000154,0.0,-666.6719799999846,-4461.57402
2020-03-25,-3091.9020400000154,0.0,-543.1719799999846,-3635.07402
2020-03-26,-3262.102040000027,0.0,-573.0719799999788,-3835.174020000006
2020-03-27,-3136.3020400000096,0.0,-550.9719800000021,-3687.2740200000117
2020-03-30,-3387.9020400000154,0.0,-595.1719799999846,-3983.07402
2020-03-31,-3365.7020400000038,0.0,-591.2719799999904,-3956.974019999994
2020-04-01,-3336.102039999998,0.0,-586.0719800000079,-3922.174020000006
2020-04-02,-2966.102039999998,0.0,-521.0719800000079,-3487.174020000006
2020-04-03,-3158.502040000021,0.0,-554.8719799999672,-3713.3740199999884
2020-04-07,-2544.3020400000096,0.0,-446.9719800000021,-2991.2740200000117
2020-04-08,-2655.3020400000096,0.0,-466.4719800000021,-3121.7740200000117
2020-04-09,-2573.9020400000154,0.0,-452.1719799999846,-3026.07402
2020-04-10,-2662.7020400000038,0.0,-467.77197999999044,-3130.474019999994
2020-04-13,-2818.102039999998,0.0,-495.0719800000079,-3313.174020000006
2020-04-14,-2359.3020400000096,0.0,-414.4719800000021,-2773.7740200000117
2020-04-15,-2522.102039999998,0.0,-443.0719800000079,-2965.174020000006
2020-04-16,-2507.3020400000096,0.0,-440.4719800000021,-2947.7740200000117
2020-04-17,-2255.7020400000038,0.0,-396.27197999999044,-2651.974019999994
2020-04-20,-2137.3020400000096,0.0,-375.4719800000021,-2512.7740200000117
2020-04-21,-2433.3020400000096,0.0,-427.4719800000021,-2860.7740200000117
2020-04-22,-2181.7020400000038,0.0,-383.27197999999044,-2564.974019999994
2020-04-23,-2233.502040000021,0.0,-392.37197999996715,-2625.8740199999884
2020-04-24,-2470.3020400000096,0.0,-433.9719800000021,-2904.2740200000117
2020-04-27,-2344.502040000021,0.0,-411.87197999996715,-2756.3740199999884
2020-04-28,-2166.9020400000154,0.0,-380.6719799999846,-2547.57402
2020-04-29,-2018.9020400000154,0.0,-354.6719799999846,-2373.57402
2020-04-30,-1597.102039999998,0.0,-280.5719800000079,-1877.6740200000058
2020-05-06,-1523.102039999998,0.0,-267.5719800000079,-1790.6740200000058
2020-05-07,-1574.9020400000154,0.0,-276.6719799999846,-1851.57402
2020-05-08,-1264.102040000027,0.0,-222.0719799999788,-1486.1740200000058
2020-05-11,-1315.9020400000154,0.0,-231.17197999998461,-1547.07402
2020-05-12,-1323.3020400000096,0.0,-232.47198000000208,-1555.7740200000117
2020-05-13,-1256.7020400000038,0.0,-220.77197999999044,-1477.4740199999942
2020-05-14,-1500.9020400000154,0.0,-263.6719799999846,-1764.57402
2020-05-15,-1641.5020400000212,0.0,-288.37197999996715,-1929.8740199999884
2020-05-18,-1552.7020400000038,0.0,-272.77197999999044,-1825.4740199999942
2020-05-19,-1338.102039999998,0.0,-235.0719800000079,-1573.1740200000058
2020-05-20,-1456.5020400000212,0.0,-255.87197999996715,-1712.3740199999884
2020-05-21,-1648.9020400000154,0.0,-289.6719799999846,-1938.57402
2020-05-22,-2285.3020400000096,0.0,-401.4719800000021,-2686.7740200000117
2020-05-25,-2270.502039999992,0.0,-398.87197999999626,-2669.3740199999884
2020-05-26,-1930.102039999998,0.0,-339.0719800000079,-2269.174020000006
2020-05-27,-2063.3020400000096,0.0,-362.4719800000021,-2425.7740200000117
2020-05-28,-2026.3020400000096,0.0,-355.9719800000021,-2382.2740200000117
2020-05-29,-1907.9020400000154,0.0,-335.1719799999846,-2243.07402
2020-06-01,-1153.102039999998,0.0,-202.5719800000079,-1355.6740200000058
2020-06-02,-1071.7020400000038,0.0,-188.27197999999044,-1259.9740199999942
2020-06-03,-1079.102039999998,0.0,-189.5719800000079,-1268.6740200000058
2020-06-04,-1064.3020400000096,0.0,-186.97198000000208,-1251.2740200000117
2020-06-05,-894.1020399999979,0.0,-157.0719800000079,-1051.1740200000058
2020-06-08,-753.5020399999921,0.0,-132.37197999999626,-885.8740199999884
2020-06-09,-553.7020400000038,0.0,-97.27197999999044,-650.9740199999942
2020-06-10,-620.3020400000096,0.0,-108.97198000000208,-729.2740200000117
2020-06-11,-894.1020399999979,0.0,-157.0719800000079,-1051.1740200000058
2020-06-12,-820.1020399999979,0.0,-144.0719800000079,-964.1740200000058
2020-06-15,-1241.9020400000154,0.0,-218.17197999998461,-1460.07402
2020-06-16,-783.102040000027,0.0,-137.5719799999788,-920.6740200000058
2020-06-17,-753.5020399999921,0.0,-132.37197999999626,-885.8740199999884
2020-06-18,-524.1020399999979,0.0,-92.0719800000079,-616.1740200000058
2020-06-19,-139.30204000000958,0.0,-24.471980000002077,-163.77402000001166
2020-06-22,-109.70204000000376,0.0,-19.271979999990435,-128.9740199999942
