period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,199940.78016,11449.600000000035,82.20288000000001,236.80000000000874,0.0,18,1,2,2020-03-02,2020-02-28,False,11130.597120000026,0.05566946928531994
evaluation,BASE,2,2020-07-01,2020-06-30,108542.70420000001,17430.70000000001,46.86346,155.4000000000059,0.0,10,1,1,2020-07-15,2020-07-14,False,17228.436540000006,0.1587249614516238
evaluation,BASE,3,2020-08-19,2020-08-18,119338.863,-5806.5,46.5353,147.00000000000557,0.0,17,1,1,2020-09-11,2020-09-10,False,-6000.035300000005,-0.05027729567022945
evaluation,BASE,4,2021-01-05,2021-01-04,115021.39967999999,3499.199999999997,46.673280000000005,129.59999999998573,1555.1999999999998,12,1,1,2021-01-21,2021-01-20,False,4878.126720000011,0.04241060127568786
evaluation,BASE,5,2021-02-03,2021-02-02,119793.15384,-2223.5999999999767,47.436800000000005,130.80000000000496,0.0,12,1,1,2021-02-26,2021-02-25,False,-2401.836799999982,-0.020049866983283208
evaluation,BASE,6,2021-06-08,2021-06-07,119623.11984,-2463.399999999994,47.319880000000005,135.59999999998507,0.0,30,1,1,2021-07-21,2021-07-20,False,-2646.319879999979,-0.02212214397634439
evaluation,BASE,7,2021-07-29,2021-07-28,105414.0786,4278.5,42.9871,129.0000000000049,0.0,9,1,1,2021-08-11,2021-08-10,False,4106.512899999995,0.03895601948561732
evaluation,BASE,8,2021-10-29,2021-10-28,118304.75622,669.2000000000116,47.41760000000001,143.40000000000543,0.0,16,1,1,2021-11-22,2021-11-19,False,478.3824000000062,0.004043644695995184
evaluation,BASE,9,2021-11-25,2021-11-24,118547.40474000001,1896.0,47.76024000000001,142.2000000000054,0.0,10,1,1,2021-12-09,2021-12-08,False,1706.0397599999947,0.014391202943174565
evaluation,BASE,10,2022-05-13,2022-05-12,123315.6582,2811.899999999994,49.84788,154.499999999983,0.0,6,1,1,2022-05-23,2022-05-20,False,2607.552120000011,0.02114534486586401
evaluation,BASE,11,2022-06-08,2022-06-07,124827.36047999999,-774.7999999999884,49.730239999999995,178.80000000000678,0.0,2,1,1,2022-06-10,2022-06-09,False,-1003.3302399999951,-0.008037742976715029
evaluation,BASE,12,2022-08-10,2022-08-09,125334.0618,-685.3999999999942,49.95076,178.80000000000678,0.0,12,1,1,2022-08-26,2022-08-25,False,-914.1507600000009,-0.007293713671058899
evaluation,BASE,13,2024-02-19,2024-02-08,126625.32,3787.5,51.36750000000001,150.00000000000014,0.0,4,1,1,2024-02-23,2024-02-22,False,3586.1325,0.028320816879278173
evaluation,BASE,14,2024-06-18,2024-06-17,129637.4223,-292.0,51.757000000000005,146.0000000000001,0.0,22,1,1,2024-07-18,2024-07-17,False,-489.7570000000001,-0.0037778983206456433
evaluation,BASE,15,2024-08-02,2024-08-01,128465.88804,-1187.199999999997,51.10896000000001,148.40000000000015,0.0,2,1,1,2024-08-06,2024-08-05,False,-1386.7089599999972,-0.01079437492050981
evaluation,BASE,16,2024-08-28,2024-08-27,128161.6272,-4218.0,50.3804,151.99999999998326,0.0,11,1,1,2024-09-12,2024-09-11,False,-4420.380399999984,-0.03449067007476309
evaluation,BASE,17,2024-09-25,2024-09-24,129192.8334,19166.0,55.46300000000001,184.99999999997965,0.0,3,1,1,2024-09-30,2024-09-27,False,18925.537000000022,0.14649061021367785
evaluation,BASE,18,2025-04-09,2025-04-08,245176.72554,8371.699999999983,99.67334000000001,260.399999999984,0.0,10,2,1,2025-04-23,2025-04-22,False,8011.626659999999,0.03267694615936503
evaluation,BASE,19,2025-06-03,2025-05-30,140971.78872,-1535.1000000000058,56.04186000000001,142.79999999998427,3141.6,11,1,1,2025-06-18,2025-06-17,False,1407.6581400000098,0.00998538894044906
evaluation,BASE,20,2025-12-19,2025-12-18,143796.85362,6907.5,58.8519,184.20000000000698,0.0,18,1,1,2026-01-16,2026-01-15,False,6664.448099999993,0.04634627206525378
evaluation,BASE,21,2026-05-06,2026-04-30,149508.19566,736.8000000000175,59.90184000000001,184.1999999999797,0.0,2,1,1,2026-05-08,2026-05-07,False,492.6981600000378,0.003295459207604203
evaluation,BASE,22,2026-05-13,2026-05-12,147825.25914,-2541.5,58.57410000000001,179.4000000000068,0.0,3,1,1,2026-05-18,2026-05-15,False,-2779.4741000000067,-0.018802430086509548
evaluation,BASE,23,2026-06-05,2026-06-04,147880.77024,5117.0,60.12776000000001,180.59999999998013,0.0,11,1,1,2026-06-23,2026-06-22,False,4876.272240000019,0.032974349755456205
evaluation,BASE,24,2026-07-23,2026-07-22,151461.18618,-2979.7999999999884,59.93836,190.19999999997907,0.0,6,1,1,2026-07-31,2026-07-30,False,-3229.9383599999674,-0.021325188594267536
