fit_index,fit_origin,source_input_identity,first_fit_index,reused,rho,coefficient_joint_solution_max_error
1157,2017-03-01,731601ab82451ea2f35a29c63e40dcb59f54969643e46ecebfe258973fb831a5,1157,False,0.8479399692481128,1.6653345369377348e-16
1180,2017-04-05,731601ab82451ea2f35a29c63e40dcb59f54969643e46ecebfe258973fb831a5,1157,True,0.8479399692481128,1.6653345369377348e-16
1198,2017-05-02,731601ab82451ea2f35a29c63e40dcb59f54969643e46ecebfe258973fb831a5,1157,True,0.8479399692481128,1.6653345369377348e-16
1218,2017-06-01,7d622ebf76018f63a2ccd11e5b8617a8297698df3f5e8b63b60445762a5be67f,1218,False,0.834929162337421,8.326672684688674e-17
1240,2017-07-03,7d622ebf76018f63a2ccd11e5b8617a8297698df3f5e8b63b60445762a5be67f,1218,True,0.834929162337421,8.326672684688674e-17
1261,2017-08-01,7d622ebf76018f63a2ccd11e5b8617a8297698df3f5e8b63b60445762a5be67f,1218,True,0.834929162337421,8.326672684688674e-17
1284,2017-09-01,8baa65a733e713d8a2a1ceba1a9083d2418e191d787b313530b316002bb2e70f,1284,False,0.8223919574337227,1.3877787807814457e-16
1305,2017-10-09,8baa65a733e713d8a2a1ceba1a9083d2418e191d787b313530b316002bb2e70f,1284,True,0.8223919574337227,1.3877787807814457e-16
1322,2017-11-01,8baa65a733e713d8a2a1ceba1a9083d2418e191d787b313530b316002bb2e70f,1284,True,0.8223919574337227,1.3877787807814457e-16
1344,2017-12-01,c3a2785e37ab070b29b35e01f8fba11dedf8c4e3d7339af036e42fc9964bfc4a,1344,False,0.806669212208615,4.163336342344337e-17
1365,2018-01-02,c3a2785e37ab070b29b35e01f8fba11dedf8c4e3d7339af036e42fc9964bfc4a,1344,True,0.806669212208615,4.163336342344337e-17
1387,2018-02-01,c3a2785e37ab070b29b35e01f8fba11dedf8c4e3d7339af036e42fc9964bfc4a,1344,True,0.806669212208615,4.163336342344337e-17
1402,2018-03-01,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,False,0.7936283845730275,7.632783294297951e-17
1424,2018-04-02,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,True,0.7936283845730275,7.632783294297951e-17
1442,2018-05-02,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,True,0.7936283845730275,7.632783294297951e-17
1464,2018-06-01,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,True,0.7936283845730275,7.632783294297951e-17
1484,2018-07-02,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,True,0.7936283845730275,7.632783294297951e-17
1506,2018-08-01,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,True,0.7936283845730275,7.632783294297951e-17
1529,2018-09-03,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,True,0.7936283845730275,7.632783294297951e-17
1548,2018-10-08,af70c58b435b2ac04fb0e23928012ddb7223bebb9de2ff9d93f85701b842e96f,1402,True,0.7936283845730275,7.632783294297951e-17
1566,2018-11-01,e3630645a69ee9efdfc6991e9238f8289da0cb5bb557b4d7987c549e7131dca2,1566,False,0.7211216473576569,1.3877787807814457e-16
1588,2018-12-03,e3630645a69ee9efdfc6991e9238f8289da0cb5bb557b4d7987c549e7131dca2,1566,True,0.7211216473576569,1.3877787807814457e-16
1608,2019-01-02,e3630645a69ee9efdfc6991e9238f8289da0cb5bb557b4d7987c549e7131dca2,1566,True,0.7211216473576569,1.3877787807814457e-16
1630,2019-02-01,e3630645a69ee9efdfc6991e9238f8289da0cb5bb557b4d7987c549e7131dca2,1566,True,0.7211216473576569,1.3877787807814457e-16
1645,2019-03-01,e3630645a69ee9efdfc6991e9238f8289da0cb5bb557b4d7987c549e7131dca2,1566,True,0.7211216473576569,1.3877787807814457e-16
1666,2019-04-01,e3630645a69ee9efdfc6991e9238f8289da0cb5bb557b4d7987c549e7131dca2,1566,True,0.7211216473576569,1.3877787807814457e-16
