period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2021-06-21,2021-06-18,198857.66358,6651.900000000023,80.81085999999999,233.40000000000884,0.0,6,1,1,2021-06-29,2021-06-28,False,6337.689140000015,0.03187047974869913
evaluation,BASE,2,2022-03-17,2022-03-16,206270.04575999998,-3367.2000000000116,81.75952,292.8000000000111,0.0,9,1,1,2022-03-30,2022-03-29,False,-3741.759520000023,-0.018140101274586654
evaluation,BASE,3,2022-07-27,2022-07-26,201811.3542,-7097.0,79.23259999999999,282.0000000000107,0.0,6,1,1,2022-08-04,2022-08-03,False,-7458.232600000011,-0.03695645683348777
evaluation,BASE,4,2022-10-13,2022-10-12,193229.43816000002,-3896.2000000000116,76.45660000000001,202.40000000000018,0.0,10,1,1,2022-10-27,2022-10-26,False,-4175.056600000012,-0.021606731560969164
evaluation,BASE,5,2023-08-29,2023-08-28,189991.39067999998,695.8000000000175,76.08076,198.80000000000018,0.0,10,1,1,2023-09-12,2023-09-11,False,420.9192400000172,0.002215464808660546
evaluation,BASE,6,2023-10-25,2023-10-24,191026.1976,5053.999999999971,77.36344,212.79999999997656,0.0,10,1,1,2023-11-08,2023-11-07,False,4763.836559999994,0.024938132150728598
evaluation,BASE,7,2023-12-13,2023-12-12,195491.49048,-4824.600000000006,77.17116,224.39999999997528,0.0,10,1,1,2023-12-27,2023-12-26,False,-5126.171159999981,-0.02622196571018737
evaluation,BASE,8,2024-06-14,2024-06-13,190604.1132,-2862.0,75.6108,216.00000000000017,0.0,10,1,1,2024-06-28,2024-06-27,False,-3153.6108,-0.016545344940646328
evaluation,BASE,9,2025-04-09,2025-04-08,185996.29182,7494.6999999999825,75.84234000000001,201.2000000000002,0.0,4,1,1,2025-04-15,2025-04-14,False,7217.657659999983,0.03880538471694345
evaluation,BASE,10,2025-11-20,2025-11-19,194791.35048000002,-3131.2000000000407,77.22528000000001,247.19999999997276,0.0,10,1,1,2025-12-04,2025-12-03,False,-3455.625280000014,-0.017740137185171454
evaluation,BASE,11,2026-04-02,2026-04-01,190950.98255999997,8904.200000000012,78.09532000000002,253.2000000000096,0.0,8,1,1,2026-04-15,2026-04-14,False,8572.904680000001,0.04489583957655862
evaluation,STRESS,1,2021-06-21,2021-06-18,199014.17384,6651.900000000023,161.62171999999998,466.8000000000177,0.0,6,1,1,2021-06-29,2021-06-28,False,6023.478280000006,0.03026657932837818
evaluation,STRESS,2,2022-03-17,2022-03-16,205985.96143999998,-3360.3000000000175,163.18395999999998,486.9999999999896,0.0,9,1,1,2022-03-30,2022-03-29,False,-4010.483960000007,-0.01946969556548245
evaluation,STRESS,3,2022-07-27,2022-07-26,201516.0742,-7081.899999999994,158.12804,468.99999999999,0.0,6,1,1,2022-08-04,2022-08-03,False,-7709.028039999984,-0.03825515195551573
evaluation,STRESS,4,2022-10-13,2022-10-12,192605.0112,-3880.7999999999884,152.30880000000002,403.2000000000228,0.0,10,1,1,2022-10-27,2022-10-26,False,-4436.308800000011,-0.023033195098923837
evaluation,STRESS,5,2023-08-29,2023-08-28,188981.16224,691.6000000000058,151.24304,395.20000000002227,0.0,10,1,1,2023-09-12,2023-09-11,False,145.15695999998348,0.0007681028007206285
evaluation,STRESS,6,2023-10-25,2023-10-24,189733.46304,5016.0,153.56352000000004,422.3999999999769,0.0,10,1,1,2023-11-08,2023-11-07,False,4440.036480000023,0.023401441205255214
evaluation,STRESS,7,2023-12-13,2023-12-12,193550.3892,-4773.0,152.6916,444.0000000000004,0.0,10,1,1,2023-12-27,2023-12-26,False,-5369.6916,-0.02774311961962203
evaluation,STRESS,8,2024-06-14,2024-06-13,188630.82215999998,-2830.2000000000116,149.54136,427.2000000000004,0.0,10,1,1,2024-06-28,2024-06-27,False,-3406.941360000012,-0.018061424538086276
evaluation,STRESS,9,2025-04-09,2025-04-08,183913.83612000002,7405.299999999988,149.87532000000002,397.6000000000224,0.0,4,1,1,2025-04-15,2025-04-14,False,6857.824679999966,0.03728824771794426
evaluation,STRESS,10,2025-11-20,2025-11-19,192074.19895999998,-3085.600000000006,152.20128,405.99999999999136,0.0,10,1,1,2025-12-04,2025-12-03,False,-3643.8012799999974,-0.01897080034554162
evaluation,STRESS,11,2026-04-02,2026-04-01,187904.1316,8756.5,153.59980000000002,414.99999999999113,0.0,8,1,1,2026-04-15,2026-04-14,False,8187.900200000009,0.04357488113901594
earlier_diagnostic,BASE,1,2016-02-03,2016-02-02,197949.582,11610.0,81.432,269.99999999997027,0.0,9,1,1,2016-02-23,2016-02-22,False,11258.568000000028,0.056875937227288655
earlier_diagnostic,BASE,2,2017-01-03,2016-12-30,210964.98455999998,3573.899999999994,85.03374,250.79999999997239,0.0,5,1,1,2017-01-10,2017-01-09,False,3238.066260000022,0.015348832730481357
earlier_diagnostic,BASE,3,2017-12-14,2017-12-13,214263.64416000003,1307.500000000029,85.88706,313.8000000000119,0.0,6,1,1,2017-12-22,2017-12-21,False,907.8129400000172,0.004236896761272826
earlier_diagnostic,BASE,4,2018-02-13,2018-02-12,215196.13062,6862.5,87.37884,274.50000000001853,0.0,10,1,1,2018-03-06,2018-03-05,False,6500.6211599999815,0.030207890547432656
