cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,DOWNSIDE_REFERENCE_RISK,零目标下行风险与固定参考,0.3907917501999969,0.05102817323539364,0.05162166560127468,0.06131918495959104,0.8418517897015924,-0.07705222299235799,1604,0.13881668316555051,59,1574.8499600000002,4776.699999999952,False,6.332356861094013e-11,0.014770701589776662,False
BASE,SECOND_MOMENT_RISK_CONTROL,全部平方幅度与固定参考对照,0.26256723110000135,0.035801543303993905,0.036405654841748014,0.0496871074313905,0.7326982133548038,-0.07492721369515719,1604,0.13355981731807964,62,1322.75378,3983.600000000006,False,4.8203219193965197e-11,-0.0004559283416230714,False
BASE,ENTRY_VINTAGE_EXIT,第128轮固定入场模型参考,0.5627663853000027,0.06967868864425397,0.0705080202613379,0.07977124985533804,0.883877592355659,-0.11444223426810142,1604,0.19447826891732978,40,2152.52294,6483.999999999963,False,5.638867150992155e-11,0.033421216998636996,False
BASE,VINTAGE_REFERENCE_RISK,第131轮普通波动组合,0.27636500260000035,0.03750149195351425,0.03811459151898277,0.051117603272926124,0.7456255590756491,-0.07296043914247852,1604,0.1325651133409446,62,1357.89948,4096.599999999991,False,4.808953235624358e-11,0.0012440203078972756,False
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,第91轮连续两策略预算,0.24479840689999874,0.03358895008381669,0.03340280679001166,0.02708670020680005,1.2331811012411902,-0.0230773650701304,1604,0.044585779150991024,45,761.1186200000001,2262.4999999999645,False,4.695266397902742e-11,-0.002668521561800287,True
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,DOWNSIDE_REFERENCE_RISK,零目标下行风险与固定参考,0.36105835139999937,0.0476069277784669,0.048359699715783924,0.061301936917669546,0.7888771896511613,-0.07924719819706565,1604,0.1388847909037552,59,3114.7297200000003,8522.90000000006,False,7.86855025580735e-11,0.011521983264724256,False
STRESS,SECOND_MOMENT_RISK_CONTROL,全部平方幅度与固定参考对照,0.2381353519999996,0.03275234146703647,0.03345876506981624,0.049719100440995735,0.6729559620557397,-0.07705583871133087,1604,0.13364268487894987,62,2618.1296,7150.100000000042,False,4.2518877307884395e-11,-0.003332603046706177,False
STRESS,ENTRY_VINTAGE_EXIT,第128轮固定入场模型参考,0.5198364216000002,0.06519275214818776,0.06630223164583206,0.07973989985607459,0.8314812504844292,-0.11682680250818454,1604,0.1944044267722347,40,4238.91568,11532.70000000007,False,6.207301339600235e-11,0.029107807634445114,False
STRESS,VINTAGE_REFERENCE_RISK,第131轮普通波动组合,0.2512737831999997,0.03439835845745139,0.035118465139679506,0.05111167115575509,0.6870928761585842,-0.07487853452486062,1604,0.13253375295758188,62,2687.64336,7338.400000000056,False,5.496758603840135e-11,-0.0016865860562912532,False
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,第91轮连续两策略预算,0.23100648979999944,0.03185300250380885,0.03171986770924186,0.027020129920864125,1.173934685071545,-0.023569045524213978,1604,0.04460440927006789,45,1490.30204,4072.0000000000236,False,3.998934516857844e-11,-0.004231942009933799,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
