period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,1,2020-02-05,2020-02-04,43926.383519999996,3932.4000000000087,18.341920000000002,58.000000000003915,0.0,13,1,1,2020-02-24,2020-02-21,False,3856.058080000005,0.08778455613684459
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,2,2020-07-01,2020-06-30,203674.72680000003,30812.399999999965,87.55776,291.59999999996785,0.0,4,1,1,2020-07-07,2020-07-06,False,30433.242239999996,0.14942080796251248
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,3,2020-08-19,2020-08-18,183512.29511999997,-5558.399999999994,72.23308,227.40000000000862,0.0,30,2,2,2020-09-30,2020-09-29,False,-5858.033080000003,-0.03192174712963725
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,4,2021-01-05,2021-01-04,227935.67802,11627.5,93.43066,254.40000000000964,0.0,7,2,1,2021-01-14,2021-01-13,False,11279.66933999999,0.04948619469309349
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,5,2021-02-03,2021-02-02,114298.05503999999,5220.8000000000175,46.72928,124.80000000000473,0.0,7,1,1,2021-02-19,2021-02-18,False,5049.270720000013,0.04417634856719967
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,6,2021-06-08,2021-06-07,244539.29808,-14782.299999999988,94.78426000000002,277.20000000000545,0.0,35,1,5,2021-07-28,2021-07-27,False,-15154.284259999995,-0.06197075226347601
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,7,2021-10-29,2021-10-28,229290.54894,10126.300000000017,93.66758,277.8000000000105,0.0,31,2,1,2021-12-13,2021-12-10,False,9754.832420000008,0.04254354339983119
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,8,2022-05-13,2022-05-12,190778.24802,6494.6999999999825,77.54246,262.5999999999711,0.0,17,3,1,2022-06-08,2022-06-07,False,6154.557540000012,0.032260268683014674
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,9,2022-08-10,2022-08-09,196156.42343999998,-3020.399999999965,77.78664,280.80000000001064,0.0,21,2,1,2022-09-08,2022-09-07,False,-3378.9866399999755,-0.017225980066023862
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,10,2024-02-19,2024-02-08,158539.30152,3915.0,64.14868000000001,186.79999999997943,0.0,5,2,1,2024-02-26,2024-02-23,False,3664.0513200000205,0.023111312367790356
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,11,2024-06-18,2024-06-17,240095.60952,-540.7999999999884,95.8568,270.4000000000002,0.0,22,1,1,2024-07-18,2024-07-17,False,-907.0567999999886,-0.003777898320645595
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,12,2024-08-02,2024-08-01,242532.69684000002,-12016.400000000023,94.53400000000002,281.9999999999968,0.0,29,3,3,2024-09-12,2024-09-11,False,-12392.93400000002,-0.051097992812802875
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,13,2024-09-25,2024-09-24,184012.49514,27298.600000000006,78.99730000000001,263.499999999971,0.0,3,1,1,2024-09-30,2024-09-27,False,26956.102700000036,0.14649061021367787
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,14,2025-04-10,2025-04-09,76013.29962,2009.8999999999942,30.7853,79.60000000000008,0.0,17,1,1,2025-05-08,2025-05-07,False,1899.514699999994,0.024989241481371098
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,15,2025-06-03,2025-05-30,260620.1136,3234.0,104.8212,264.0000000000002,5808.0,17,1,1,2025-06-26,2025-06-25,False,8673.1788,0.03327900782558787
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,16,2025-12-19,2025-12-18,269718.03282,13408.400000000023,110.47832000000001,345.0000000000131,0.0,11,2,1,2026-01-07,2026-01-06,False,12952.92168000001,0.04802393649609746
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,17,2026-01-16,2026-01-15,282757.34016,-14773.199999999983,110.05656000000002,345.59999999999826,7084.8,13,1,2,2026-02-04,2026-02-03,False,-8144.056559999981,-0.02880228168574374
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,18,2026-05-06,2026-04-30,274666.52232,4173.600000000035,110.61168,338.4000000000128,0.0,5,1,1,2026-05-13,2026-05-12,False,3724.588320000022,0.013560401495383897
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,19,2026-06-05,2026-06-04,191115.01536,754.2999999999884,76.53490000000001,233.39999999998292,0.0,10,1,2,2026-06-22,2026-06-18,False,444.36510000000544,0.0023251187205932653
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,20,2026-07-23,2026-07-22,90303.35706000001,-699.3000000000029,35.95158000000001,113.4000000000043,0.0,16,1,1,2026-08-14,2026-08-13,True,-848.6515800000072,-0.009397785504653387
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,1,2020-02-05,2020-02-04,56801.358,5085.0,23.718000000000004,75.00000000000506,0.0,13,1,1,2020-02-24,2020-02-21,False,4986.281999999995,0.08778455613684438
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,2,2020-07-01,2020-06-30,135783.1512,18924.599999999977,58.07204,194.3999999999835,0.0,4,1,2,2020-07-07,2020-07-06,False,18672.127959999994,0.1375143218800183
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,3,2020-08-19,2020-08-18,122401.27536,-4541.599999999991,48.01216,151.20000000000573,0.0,30,2,1,2020-09-30,2020-09-29,False,-4740.812159999998,-0.03873172192084255
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,4,2021-01-05,2021-01-04,147504.29496,8835.300000000003,60.79134,166.20000000000238,0.0,7,1,2,2021-01-14,2021-01-13,False,8608.30866,0.05835971530411633
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,5,2021-02-03,2021-02-02,101659.3278,4643.5,41.5621,111.0000000000042,0.0,7,1,1,2021-02-19,2021-02-18,False,4490.937899999995,0.044176348567199514
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,6,2021-06-08,2021-06-07,231742.72052,-13636.799999999988,90.17946,264.60000000001,0.0,35,3,4,2021-07-28,2021-07-27,False,-13991.579459999997,-0.06037548635229941
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,7,2021-10-29,2021-10-28,237816.7665,9953.00000000003,97.28018,288.60000000001094,0.0,31,3,2,2021-12-13,2021-12-10,False,9567.119820000018,0.040228954252474955
evaluation,BASE,SECOND_MOMENT_RISK_CONTROL,8,2022-05-13,2022-05-12,118845.96444,5540.099999999991,48.605520000000006,156.89999999998273,0.0,17,2,1,2022-06-08,2022-06-07,False,5334.594480000009,0.04488662703135542
