period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-01-02,2019-12-31,191090.83844000002,1845.100000000035,78.08404,277.8000000000105,0.0,13,2,2,2020-01-21,2020-01-20,False,1489.2159600000246,0.007793235783345095
evaluation,BASE,2,2020-02-05,2020-02-04,123448.28472000001,9130.600000000013,54.58496000000001,161.00000000001035,0.0,18,1,3,2020-03-02,2020-02-28,False,8915.015040000002,0.0722165970974862
evaluation,BASE,3,2020-07-01,2020-06-30,121534.30200000001,18385.999999999985,52.24640000000001,173.99999999998084,0.0,4,1,1,2020-07-07,2020-07-06,False,18159.753600000004,0.14942080796251253
evaluation,BASE,4,2020-08-19,2020-08-18,108644.7246,-3814.600000000006,42.659400000000005,134.4000000000051,0.0,30,2,2,2020-09-30,2020-09-29,False,-3991.659400000011,-0.03674048063259586
evaluation,BASE,5,2020-12-15,2020-12-14,259696.02882,20442.800000000017,107.88512,305.4000000000116,1771.1999999999998,25,3,4,2021-01-20,2021-01-19,False,21800.714880000007,0.08394704755039005
evaluation,BASE,6,2021-02-03,2021-02-02,45609.32004,2083.300000000003,18.64678,49.80000000000189,0.0,7,1,1,2021-02-19,2021-02-18,False,2014.8532200000009,0.044176348567199576
evaluation,BASE,7,2021-06-08,2021-06-07,14822.6,-305.1999999999989,10.0,16.79999999999815,0.0,30,1,1,2021-07-21,2021-07-20,False,-331.99999999999704,-0.02239822973027654
evaluation,BASE,8,2021-07-29,2021-07-28,247600.5102,10049.5,100.96970000000002,303.0000000000115,0.0,9,1,1,2021-08-11,2021-08-10,False,9645.53029999999,0.03895601948561732
evaluation,BASE,9,2021-10-29,2021-10-28,73154.12789999999,1825.5,29.6035,87.0000000000033,0.0,31,2,1,2021-12-13,2021-12-10,False,1708.8964999999966,0.02336021970402024
evaluation,BASE,10,2022-05-13,2022-05-12,102288.05351999999,1088.2000000000044,41.09744,136.19999999999513,0.0,19,2,2,2022-06-10,2022-06-09,False,910.9025600000092,0.008905268295303947
evaluation,BASE,11,2022-08-10,2022-08-09,87481.4928,-616.3999999999942,38.19456,124.80000000000473,0.0,17,1,2,2022-09-02,2022-09-01,False,-779.3945599999989,-0.008909250803273889
evaluation,BASE,12,2023-01-10,2023-01-09,209291.24988,4009.2000000000116,84.43992,308.4000000000117,3289.6,6,1,1,2023-01-18,2023-01-17,False,6905.960080000001,0.032996888708723505
evaluation,BASE,13,2023-03-30,2023-03-29,266421.2736,4352.799999999988,107.34976,339.99999999999557,0.0,10,2,1,2023-04-14,2023-04-13,False,3905.450239999993,0.014658927897265306
evaluation,BASE,14,2024-02-19,2024-02-08,86442.88511999999,2585.5999999999913,35.06688,102.40000000000009,0.0,4,1,1,2024-02-23,2024-02-22,False,2448.1331199999913,0.028320816879278076
