period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,122312.25756,9059.600000000017,54.195640000000004,159.60000000001028,0.0,18,1,3,2020-03-02,2020-02-28,False,8845.804360000007,0.07232148712209582
evaluation,BASE,2,2020-07-01,2020-06-30,120696.13440000001,18259.199999999983,51.88608000000001,172.79999999998097,0.0,4,1,1,2020-07-07,2020-07-06,False,18034.51392,0.1494208079625125
evaluation,BASE,3,2020-08-19,2020-08-18,108157.6272,-3795.2000000000116,42.4686,133.80000000000507,0.0,30,2,2,2020-09-30,2020-09-29,False,-3971.468600000017,-0.0367192652318099
evaluation,BASE,4,2021-01-05,2021-01-04,75083.41368,4582.500000000015,30.926940000000002,84.6000000000032,0.0,7,1,1,2021-01-14,2021-01-13,False,4466.973060000011,0.05949347320618536
evaluation,BASE,5,2021-02-03,2021-02-02,42312.26076,1932.7000000000044,17.29882,46.20000000000175,0.0,7,1,1,2021-02-19,2021-02-18,False,1869.2011800000028,0.044176348567199625
evaluation,BASE,6,2021-06-08,2021-06-07,13764.199999999999,-296.39999999999964,10.0,15.600000000000591,0.0,5,1,1,2021-06-16,2021-06-15,False,-322.0000000000002,-0.023394022173464514
evaluation,BASE,7,2021-06-28,2021-06-25,11095.099999999999,-109.19999999999891,10.0,12.600000000000477,0.0,2,1,1,2021-06-30,2021-06-29,False,-131.7999999999994,-0.011879117808762373
evaluation,BASE,8,2021-07-01,2021-06-30,2115.4,-63.999999999999545,10.0,2.400000000000091,0.0,2,1,1,2021-07-05,2021-07-02,False,-76.39999999999964,-0.036116100973810926
evaluation,BASE,9,2021-07-29,2021-07-28,228478.88664,9273.399999999994,93.17204000000001,279.6000000000106,0.0,9,1,1,2021-08-11,2021-08-10,False,8900.627959999983,0.038956019485617284
evaluation,BASE,10,2021-12-09,2021-12-08,67974.39216,800.1999999999971,27.328400000000002,79.80000000000302,0.0,2,2,1,2021-12-13,2021-12-10,False,693.0715999999941,0.010196069107445978
evaluation,BASE,11,2022-05-13,2022-05-12,52678.5336,1250.3999999999955,25.805120000000002,65.99999999999272,0.0,16,1,2,2022-06-07,2022-06-06,False,1158.5948800000028,0.021993681312343947
evaluation,BASE,12,2022-08-10,2022-08-09,80331.5631,-570.3999999999933,35.42854,114.60000000000434,0.0,17,1,2,2022-09-02,2022-09-01,False,-720.4285399999976,-0.008968187748359618
evaluation,BASE,13,2024-02-19,2024-02-08,76312.85952,316.3999999999942,30.564239999999998,90.39999999999004,0.0,2,1,1,2024-02-21,2024-02-20,False,195.43576000000417,0.002560980694856344
evaluation,BASE,14,2024-06-18,2024-06-17,134609.81657999998,-999.0000000000146,53.60304,151.60000000000448,0.0,22,1,2,2024-07-18,2024-07-17,False,-1204.203040000019,-0.008945878321469584
evaluation,BASE,15,2024-08-02,2024-08-01,75140.42508000002,-694.3999999999942,29.89392,86.80000000000007,0.0,2,1,1,2024-08-06,2024-08-05,False,-811.0939199999942,-0.010794374920509752
evaluation,BASE,16,2024-08-28,2024-08-27,75210.63911999999,-2475.300000000003,29.56534,89.19999999999018,0.0,11,1,1,2024-09-12,2024-09-11,False,-2594.0653399999933,-0.034490670074763134
evaluation,BASE,17,2024-09-27,2024-09-26,79238.64456,6569.799999999988,32.981680000000004,106.99999999997871,0.0,1,1,1,2024-09-30,2024-09-27,False,6429.818320000009,0.0811449811604401
evaluation,BASE,18,2024-10-09,2024-10-08,51466.2912,-3396.0,19.8888,71.9999999999974,0.0,9,1,1,2024-10-22,2024-10-21,False,-3487.8887999999974,-0.06777035451118726
evaluation,BASE,19,2025-04-09,2025-04-08,237271.34478,10045.099999999977,96.84778000000001,253.99999999999125,0.0,10,2,1,2025-04-23,2025-04-22,False,9694.252219999986,0.04085723975218574
evaluation,BASE,20,2025-06-05,2025-06-04,45116.28,-1329.8000000000102,19.026200000000003,45.19999999999502,994.4,11,2,1,2025-06-20,2025-06-19,False,-399.62620000000527,-0.008857693941078592
evaluation,BASE,21,2025-06-23,2025-06-20,55555.89834000001,817.5999999999985,27.0586,56.40000000000614,0.0,3,2,1,2025-06-26,2025-06-25,False,734.1413999999925,0.013214463665173313
evaluation,BASE,22,2025-09-12,2025-09-11,120381.0714,-1032.0,47.90544,154.80000000000587,0.0,1,1,1,2025-09-15,2025-09-12,False,-1234.7054400000059,-0.010256641061926999
evaluation,BASE,23,2025-12-19,2025-12-18,219104.71217999997,4940.3999999999905,88.81442,280.19999999999067,1574.4,31,2,4,2026-02-04,2026-02-03,False,6145.78558,0.02804953631006842
evaluation,BASE,24,2026-05-06,2026-04-30,147978.0897,86.60000000002037,59.16048,181.1999999999985,0.0,8,2,3,2026-05-18,2026-05-15,False,-153.76047999997814,-0.0010390759896394184
evaluation,BASE,25,2026-06-05,2026-06-04,111524.70048,2783.7999999999956,45.130480000000006,136.19999999998498,0.0,11,1,2,2026-06-23,2026-06-22,False,2602.469520000011,0.023335364352462154
evaluation,BASE,26,2026-07-23,2026-07-22,86480.99274,-1701.3999999999942,34.22348000000001,108.59999999998804,0.0,6,1,1,2026-07-31,2026-07-30,False,-1844.2234799999824,-0.021325188594267543
evaluation,BASE,27,2026-08-07,2026-08-06,85720.94076,564.1999999999971,34.37252,109.20000000000414,0.0,5,1,1,2026-08-14,2026-08-13,True,420.62747999999294,0.004906939614412987
evaluation,STRESS,1,2020-02-05,2020-02-04,122401.34096000002,9059.600000000017,103.39280000000001,288.8000000000112,0.0,18,1,3,2020-03-02,2020-02-28,False,8667.407200000005,0.07081137454884959
evaluation,STRESS,2,2020-07-01,2020-06-30,120777.89184000001,18259.199999999983,103.77216000000001,287.99999999999386,0.0,4,1,1,2020-07-07,2020-07-06,False,17867.42783999999,0.14793624534918848
evaluation,STRESS,3,2020-08-19,2020-08-18,107742.67984,-3783.100000000006,84.55764,222.00000000000185,0.0,30,2,2,2020-09-30,2020-09-29,False,-4089.6576400000076,-0.03795763801376789
evaluation,STRESS,4,2021-01-05,2021-01-04,74607.8312,4550.0,61.415200000000006,168.00000000000637,0.0,7,1,1,2021-01-14,2021-01-13,False,4320.584799999993,0.05791060711063791
evaluation,STRESS,5,2021-02-03,2021-02-02,42343.830760000004,1932.7000000000044,34.59764,92.4000000000035,0.0,7,1,1,2021-02-19,2021-02-18,False,1805.702360000001,0.04264381204040125
evaluation,STRESS,6,2021-06-08,2021-06-07,13772.5068,-296.39999999999964,10.882560000000002,31.199999999998873,0.0,5,1,1,2021-06-16,2021-06-15,False,-338.4825599999985,-0.024576684906773727
evaluation,STRESS,7,2021-06-28,2021-06-25,11101.4,-109.19999999999891,10.0,25.200000000000955,0.0,2,1,1,2021-06-30,2021-06-29,False,-144.39999999999986,-0.013007368440016563
evaluation,STRESS,8,2021-07-01,2021-06-30,2116.6,-63.999999999999545,10.0,4.800000000000182,0.0,2,1,1,2021-07-05,2021-07-02,False,-78.79999999999973,-0.037229519039969634
evaluation,STRESS,9,2021-07-29,2021-07-28,227636.61824,9233.599999999977,185.52576000000002,510.3999999999644,0.0,9,1,1,2021-08-11,2021-08-10,False,8537.674240000011,0.0375057154952049
evaluation,STRESS,10,2021-12-09,2021-12-08,68027.90028,800.1999999999971,54.656800000000004,159.59999999999422,0.0,2,2,1,2021-12-13,2021-12-10,False,585.9432000000029,0.008613277752044162
