period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-13,2020-02-12,199831.55832,5432.400000000023,80.95282,251.49999999999466,0.0,19,1,1,2020-03-11,2020-03-10,False,5099.947180000028,0.025521230094363946
evaluation,BASE,2,2020-04-10,2020-04-09,204808.55352000002,1951.2000000000116,82.25392000000001,216.80000000000018,0.0,28,1,1,2020-05-25,2020-05-22,False,1652.1460800000114,0.00806678262018327
evaluation,BASE,3,2020-06-02,2020-06-01,206481.288,31980.0,88.92000000000002,260.00000000001756,0.0,37,1,1,2020-07-27,2020-07-24,False,31631.079999999984,0.15319102426366105
evaluation,BASE,4,2020-08-07,2020-08-06,237463.88327999998,-3458.0,94.21568,296.39999999996735,0.0,1,1,1,2020-08-10,2020-08-07,False,-3848.615679999967,-0.01620716222964299
evaluation,BASE,5,2020-08-14,2020-08-13,234127.71618,3942.100000000035,94.36090000000002,299.40000000001135,0.0,5,1,1,2020-08-21,2020-08-20,False,3548.3391000000233,0.01515557046339623
evaluation,BASE,6,2020-08-26,2020-08-25,237772.14492,-3894.7000000000116,94.25174000000001,295.8000000000112,0.0,9,1,1,2020-09-08,2020-09-07,False,-4284.751740000023,-0.018020410849393886
evaluation,BASE,7,2020-09-30,2020-09-29,233379.06648,2395.1999999999825,93.75212,299.40000000001135,0.0,1,1,1,2020-10-09,2020-09-30,False,2002.047879999971,0.00857852381619472
evaluation,BASE,8,2020-10-12,2020-10-09,235586.30784,-296.3999999999651,94.09712,296.40000000001123,0.0,15,1,1,2020-11-02,2020-10-30,False,-686.8971199999763,-0.0029156920293792587
evaluation,BASE,9,2020-11-06,2020-11-05,234702.23106000002,47.299999999959255,93.81482,283.79999999996875,0.0,26,1,1,2020-12-14,2020-12-11,False,-330.3148200000095,-0.001407378270364915
evaluation,BASE,10,2020-12-16,2020-12-15,234621.01481999998,1961.4000000000524,94.16588,280.2000000000106,0.0,3,1,1,2020-12-21,2020-12-18,False,1587.0341200000416,0.006764245398979311
evaluation,BASE,11,2020-12-30,2020-12-29,235756.44186000002,13691.699999999983,96.96674000000002,276.6000000000105,3319.2,21,1,1,2021-01-29,2021-01-28,False,16637.333259999974,0.07057000491159335
evaluation,BASE,12,2021-02-04,2021-02-03,251348.2596,2759.999999999971,101.016,275.9999999999696,0.0,2,1,1,2021-02-08,2021-02-05,False,2382.9840000000013,0.009480805651060896
evaluation,BASE,13,2021-02-09,2021-02-08,254965.58292000002,-22758.600000000006,97.35928000000001,274.2000000000104,0.0,15,1,1,2021-03-09,2021-03-08,False,-23130.159280000018,-0.09071875119418575
evaluation,BASE,14,2021-04-06,2021-04-02,231931.17696,-4121.599999999977,91.87584000000001,268.8000000000102,0.0,2,1,1,2021-04-08,2021-04-07,False,-4482.275839999987,-0.01932588752728583
evaluation,BASE,15,2021-04-29,2021-04-28,227348.76066000003,-4961.600000000006,89.87584000000001,265.8000000000101,0.0,7,1,1,2021-05-13,2021-05-12,False,-5317.275840000016,-0.023388189249696413
evaluation,BASE,16,2021-05-18,2021-05-17,222169.82507999998,-1537.1999999999825,88.49148,256.2000000000097,0.0,5,1,1,2021-05-25,2021-05-24,False,-1881.891479999992,-0.00847050889706715
evaluation,BASE,17,2021-05-26,2021-05-25,220338.25884000002,-3386.600000000035,87.39080000000001,247.79999999997273,0.0,11,1,1,2021-06-10,2021-06-09,False,-3721.790800000008,-0.016891259918245107
evaluation,BASE,18,2021-06-11,2021-06-10,216649.72128000003,-4826.200000000012,85.62824,245.4000000000093,0.0,2,1,1,2021-06-16,2021-06-15,False,-5157.228240000021,-0.023804453610788513
evaluation,BASE,19,2021-07-23,2021-07-22,211690.12956000003,-9378.600000000006,82.73468000000001,243.60000000000923,0.0,2,1,1,2021-07-27,2021-07-26,False,-9704.934680000015,-0.045845003261001424
evaluation,BASE,20,2021-08-16,2021-08-13,201683.52864,-6834.0,79.24224000000001,241.20000000000914,0.0,5,1,1,2021-08-23,2021-08-20,False,-7154.4422400000085,-0.03547360703297941
evaluation,BASE,21,2021-09-08,2021-09-07,194803.75295999998,-4761.600000000006,76.90752,230.40000000000873,0.0,11,1,1,2021-09-27,2021-09-24,False,-5068.907520000014,-0.026020584526627873
evaluation,BASE,22,2021-10-15,2021-10-14,189353.8632,-1254.0,75.43,227.99999999997488,0.0,10,1,1,2021-10-29,2021-10-28,False,-1557.4299999999748,-0.0082249708227763
evaluation,BASE,23,2021-11-02,2021-11-01,187714.5354,-1965.5999999999767,74.63232,226.8000000000086,0.0,1,1,1,2021-11-03,2021-11-02,False,-2267.0323199999852,-0.01207702064823684
evaluation,BASE,24,2021-11-18,2021-11-17,185167.026,-1383.7999999999884,73.73036,224.4000000000085,0.0,1,1,1,2021-11-19,2021-11-18,False,-1681.9303599999969,-0.009083314650201256
evaluation,BASE,25,2021-11-23,2021-11-22,183761.84502,-2066.399999999994,73.03248,221.4000000000084,0.0,7,1,1,2021-12-02,2021-12-01,False,-2360.8324800000023,-0.01284723975068414
evaluation,BASE,26,2021-12-07,2021-12-06,181463.68548,-1270.5,72.2733,217.80000000000825,0.0,17,1,1,2021-12-30,2021-12-29,False,-1560.5733000000082,-0.008599920672128124
evaluation,BASE,27,2022-04-07,2022-04-06,179387.8704,-1353.6000000000058,71.41932,253.80000000000962,0.0,2,1,1,2022-04-11,2022-04-08,False,-1678.8193200000155,-0.00935859997811767
evaluation,BASE,28,2022-05-17,2022-05-16,178325.658,1035.0,71.487,180.00000000002015,0.0,7,1,1,2022-05-26,2022-05-25,False,783.5129999999799,0.004393719943542728
evaluation,BASE,29,2022-05-27,2022-05-26,179148.32250000004,14595.99999999997,74.51080000000002,266.99999999997056,0.0,34,1,1,2022-07-15,2022-07-14,False,14254.4892,0.07956808638272343
evaluation,BASE,30,2022-08-22,2022-08-19,192956.28354,-963.8999999999942,76.91922000000001,275.40000000001044,0.0,4,1,1,2022-08-26,2022-08-25,False,-1316.2192200000045,-0.0068213338060439535
evaluation,BASE,31,2022-11-14,2022-11-11,192308.454,-6211.8000000000175,75.62620000000001,197.19999999997827,0.0,10,1,1,2022-11-28,2022-11-25,False,-6484.626199999995,-0.03371992268213021
evaluation,BASE,32,2022-11-30,2022-11-29,185287.05,855.0,74.233,189.99999999997908,0.0,16,1,1,2022-12-22,2022-12-21,False,590.767000000021,0.0031883879634330677
evaluation,BASE,33,2023-01-10,2023-01-09,186081.90894,1005.4000000000233,74.56412,274.2000000000104,2924.8,19,1,1,2023-02-13,2023-02-10,False,3581.435880000013,0.019246555994622813
evaluation,BASE,34,2023-02-15,2023-02-14,189833.15904,-2564.7999999999884,75.35016,274.8000000000104,0.0,2,1,1,2023-02-17,2023-02-16,False,-2914.9501599999985,-0.015355326618074061
evaluation,BASE,35,2023-04-03,2023-03-31,186880.66866,-3227.0,74.04582,230.49999999999508,0.0,15,1,1,2023-04-25,2023-04-24,False,-3531.545819999995,-0.018897330822510525
evaluation,BASE,36,2023-05-18,2023-05-17,183384.6696,-2592.7999999999884,72.7836,185.20000000000016,0.0,4,1,1,2023-05-24,2023-05-23,False,-2850.783599999989,-0.015545375773330122
evaluation,BASE,37,2023-06-15,2023-06-14,180439.28063999998,-2041.5999999999767,71.71584,185.60000000000016,0.0,6,1,1,2023-06-27,2023-06-26,False,-2298.915839999977,-0.012740661744194245
evaluation,BASE,38,2023-06-29,2023-06-28,178469.6868,414.0,71.4196,184.00000000002058,0.0,7,1,1,2023-07-10,2023-07-07,False,158.58039999997942,0.000888556498548074
evaluation,BASE,39,2023-07-14,2023-07-13,178325.658,-4050.0,70.47,180.00000000002015,0.0,6,1,1,2023-07-24,2023-07-21,False,-4300.47000000002,-0.024115822973719354
evaluation,BASE,40,2023-07-27,2023-07-26,174266.74638,-2534.600000000006,69.15088,174.80000000000015,0.0,13,1,1,2023-08-15,2023-08-14,False,-2778.550880000006,-0.015944240296661045
