cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,ECONOMIC_REGRET_EXIT,经济错判损失退出,0.08994446099999916,0.013078975504697044,0.015751068109586343,0.07450616530685396,0.21140623792293567,-0.17763857456253987,1604,0.14165713203187427,54,2415.2078,7223.600000000017,False,3.069544618483633e-11,-0.023178496140919932,False
BASE,REARM_RIDGE,原平均继续收益学习退出,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11,0.01758565786527904,False
BASE,DIRECTIONAL_CONTINUATION_EXIT,第79轮纯方向概率退出,0.17013544969999836,0.02398826172544532,0.024996395302073957,0.05132598660221744,0.4870124659424284,-0.08436526236190317,1604,0.04477347877829627,62,2946.31006,8725.800000000025,False,3.8340886021615006e-11,-0.012269209920171657,False
BASE,PANIC_LEARNED_HALF,原急跌与学习退出各半,0.29789775640000093,0.04012350448601946,0.0402434177351489,0.042613102103358176,0.944390709635229,-0.05388667659424196,1604,0.08743134815891201,52,1275.84872,3844.1999999999134,False,4.474998149817111e-11,0.003866032840402482,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,ECONOMIC_REGRET_EXIT,经济错判损失退出,0.050520896999999475,0.007463653092428189,0.01019588890211079,0.07454626602726974,0.1367726305484038,-0.18554052306222535,1604,0.1416639204549596,54,4739.820600000001,12812.000000000033,False,3.328182174300309e-11,-0.028621291421314456,False
STRESS,REARM_RIDGE,原平均继续收益学习退出,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11,0.012459653687316039,False
STRESS,DIRECTIONAL_CONTINUATION_EXIT,第79轮纯方向概率退出,0.1209174728000004,0.01737090777853058,0.01851676582257678,0.05140101985707059,0.36024121455305447,-0.08839598812017828,1604,0.044772608674523796,62,5764.005440000001,15642.700000000004,False,3.3026026358129457e-11,-0.018714036735212065,False
STRESS,PANIC_LEARNED_HALF,原急跌与学习退出各半,0.2738661323999994,0.03719478062376239,0.037421580299378074,0.04257273335175791,0.8790034689617331,-0.05455698002155782,1604,0.08744970775820289,52,2527.97352,6941.500000000024,False,4.274625098332763e-11,0.0011098361100197462,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
