fit_origin,cycles,maximum_coefficient_gradient,intercept_gradient,within_model_unchanged
2017-03-01,10,2.480654570646834e-16,-2.7755575615628914e-17,True
2017-04-05,10,2.480654570646834e-16,-2.7755575615628914e-17,True
2017-05-02,10,2.480654570646834e-16,-2.7755575615628914e-17,True
2017-06-01,11,8.326672684688674e-17,1.6653345369377348e-16,True
2017-07-03,11,8.326672684688674e-17,1.6653345369377348e-16,True
2017-08-01,11,8.326672684688674e-17,1.6653345369377348e-16,True
2017-09-01,12,1.7867651802561113e-16,2.7755575615628914e-17,True
2017-10-09,12,1.7867651802561113e-16,2.7755575615628914e-17,True
2017-11-01,12,1.7867651802561113e-16,2.7755575615628914e-17,True
2017-12-01,13,9.71445146547012e-17,-3.122502256758253e-17,True
2018-01-02,13,9.71445146547012e-17,-3.122502256758253e-17,True
2018-02-01,13,9.71445146547012e-17,-3.122502256758253e-17,True
2018-03-01,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-04-02,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-05-02,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-06-01,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-07-02,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-08-01,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-09-03,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-10-08,14,1.1102230246251565e-15,6.938893903907228e-17,True
2018-11-01,15,2.636779683484747e-16,0.0,True
2018-12-03,15,2.636779683484747e-16,0.0,True
2019-01-02,15,2.636779683484747e-16,0.0,True
2019-02-01,15,2.636779683484747e-16,0.0,True
2019-03-01,15,2.636779683484747e-16,0.0,True
2019-04-01,15,2.636779683484747e-16,0.0,True
2019-05-06,15,2.636779683484747e-16,0.0,True
2019-06-03,16,6.088879400678593e-16,5.551115123125783e-17,True
2019-07-01,16,6.088879400678593e-16,5.551115123125783e-17,True
2019-08-01,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2019-09-02,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2019-10-08,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2019-11-01,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2019-12-02,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2020-01-02,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2020-02-03,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2020-03-02,17,1.3357370765021415e-16,1.3877787807814457e-17,True
2020-04-01,18,3.0531133177191805e-16,4.163336342344337e-17,True
2020-05-06,18,3.0531133177191805e-16,4.163336342344337e-17,True
2020-06-01,19,2.914335439641036e-16,-2.7755575615628914e-17,True
2020-07-01,19,2.914335439641036e-16,-2.7755575615628914e-17,True
2020-08-03,19,2.914335439641036e-16,-2.7755575615628914e-17,True
2020-09-01,19,2.914335439641036e-16,-2.7755575615628914e-17,True
2020-10-09,20,4.510281037539698e-16,-6.938893903907228e-17,True
2020-11-02,20,4.510281037539698e-16,-6.938893903907228e-17,True
2020-12-01,20,4.510281037539698e-16,-6.938893903907228e-17,True
2021-01-04,20,4.510281037539698e-16,-6.938893903907228e-17,True
2021-02-01,20,4.510281037539698e-16,-6.938893903907228e-17,True
2021-03-01,20,1.8561541192951836e-16,-7.28583859910259e-17,True
2021-04-01,20,1.8561541192951836e-16,-7.28583859910259e-17,True
2021-05-06,20,1.8561541192951836e-16,-7.28583859910259e-17,True
2021-06-01,20,1.8561541192951836e-16,-7.28583859910259e-17,True
2021-07-01,20,1.8561541192951836e-16,-7.28583859910259e-17,True
2021-08-02,20,2.2898349882893854e-16,4.163336342344337e-17,True
2021-09-01,20,2.2898349882893854e-16,4.163336342344337e-17,True
2021-10-08,20,2.2898349882893854e-16,4.163336342344337e-17,True
2021-11-01,20,2.2898349882893854e-16,4.163336342344337e-17,True
2021-12-01,20,2.2898349882893854e-16,4.163336342344337e-17,True
2022-01-04,20,2.2898349882893854e-16,4.163336342344337e-17,True
2022-02-07,20,6.730727086790012e-16,9.71445146547012e-17,True
2022-03-01,20,6.730727086790012e-16,9.71445146547012e-17,True
