cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,ENTRY_PAYOFF_RIDGE_NATURAL_EXIT,九因子完整交易收益筛选进入,0.09472670680000045,0.013748357843600598,0.020128969190311284,0.11402368761111349,0.1765332240346644,-0.23039099788573014,1604,0.280017030233195,26,1089.65864,3364.1000000000213,False,2.7284841053187847e-11,-0.022509113802016378,False
BASE,REARM_NONE,原条件进入及自然退出,0.2501249610999971,0.03425501805736697,0.0412741582275692,0.12342721970189682,0.3344007774561813,-0.19375714002627298,1604,0.35552797112040824,28,1250.30778,3874.400000000092,False,7.02584657119587e-11,-0.0020024535882500055,False
BASE,REARM_RIDGE,原条件进入及线性提前退出,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11,0.01758565786527904,False
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮局部候选,0.24479840689999874,0.03358895008381669,0.03340280679001166,0.02708670020680005,1.2331811012411902,-0.0230773650701304,1604,0.044585779150991024,45,761.1186200000001,2262.4999999999645,False,4.695266397902742e-11,-0.002668521561800287,True
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,ENTRY_PAYOFF_RIDGE_NATURAL_EXIT,九因子完整交易收益筛选进入,0.07545321879999885,0.01103526063250186,0.017452013817501572,0.11404945580213344,0.1530214563038284,-0.23350180980904178,1604,0.28006139907236366,26,2159.85624,5970.999999999965,False,3.657874003692996e-11,-0.025049683881240785,False
STRESS,REARM_NONE,原条件进入及自然退出,0.22616494060000222,0.031239693719222895,0.03834995624636715,0.1233933330399318,0.31079439465304476,-0.19715402862965317,1604,0.35560328227316906,28,2475.6118800000004,6862.400000000101,False,8.776623872108757e-11,-0.004845250794519751,False
STRESS,REARM_RIDGE,原条件进入及线性提前退出,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11,0.012459653687316039,False
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,原第91轮局部候选,0.23100648979999944,0.03185300250380885,0.03171986770924186,0.027020129920864125,1.173934685071545,-0.023569045524213978,1604,0.04460440927006789,45,1490.30204,4072.0000000000236,False,3.998934516857844e-11,-0.004231942009933799,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
