fit_index,fit_origin,fit_time,status,training_group_count,training_rows,eligible,latest_mature_group_date,iterations,scalar_action_regressions,matrix_factorizations
632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,0,0,False,,0,0,0
633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,0,0,False,,0,0,0
653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,False,2015-01-20,0,0,0
668,2015-03-02,2015-03-02 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,False,2015-01-20,0,0,0
690,2015-04-01,2015-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,False,2015-01-20,0,0,0
711,2015-05-04,2015-05-04 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,3,66,False,2015-01-20,0,0,0
731,2015-06-01,2015-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,5,128,False,2015-05-28,0,0,0
752,2015-07-01,2015-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,False,2015-06-23,0,0,0
775,2015-08-03,2015-08-03 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,False,2015-06-23,0,0,0
796,2015-09-01,2015-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,False,2015-06-23,0,0,0
816,2015-10-08,2015-10-08 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,False,2015-06-23,0,0,0
833,2015-11-02,2015-11-02 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,False,2015-06-23,0,0,0
854,2015-12-01,2015-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,False,2015-06-23,0,0,0
877,2016-01-04,2016-01-04 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,7,146,False,2015-06-23,0,0,0
897,2016-02-01,2016-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,False,2016-01-12,0,0,0
913,2016-03-01,2016-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,False,2016-01-12,0,0,0
936,2016-04-01,2016-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,False,2016-01-12,0,0,0
956,2016-05-03,2016-05-03 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,False,2016-01-12,0,0,0
977,2016-06-01,2016-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,False,2016-01-12,0,0,0
997,2016-07-01,2016-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,False,2016-01-12,0,0,0
1018,2016-08-01,2016-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,8,214,False,2016-01-12,0,0,0
1041,2016-09-01,2016-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_GROUPS_OR_ROWS,9,218,False,2016-08-02,0,0,0
1061,2016-10-10,2016-10-10 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1077,2016-11-01,2016-11-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1099,2016-12-01,2016-12-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1121,2017-01-03,2017-01-03 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1139,2017-02-03,2017-02-03 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1157,2017-03-01,2017-03-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1180,2017-04-05,2017-04-05 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1198,2017-05-02,2017-05-02 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1218,2017-06-01,2017-06-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1240,2017-07-03,2017-07-03 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1261,2017-08-01,2017-08-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,10,229,True,2016-09-02,7,14,1
1284,2017-09-01,2017-09-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,True,2017-08-14,10,20,1
1305,2017-10-09,2017-10-09 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,True,2017-08-14,10,20,1
1322,2017-11-01,2017-11-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,True,2017-08-14,10,20,1
1344,2017-12-01,2017-12-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,True,2017-08-14,10,20,1
1365,2018-01-02,2018-01-02 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,True,2017-08-14,10,20,1
1387,2018-02-01,2018-02-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,12,430,True,2017-08-14,10,20,1
1402,2018-03-01,2018-03-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
1424,2018-04-02,2018-04-02 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
1442,2018-05-02,2018-05-02 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
1464,2018-06-01,2018-06-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
1484,2018-07-02,2018-07-02 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
1506,2018-08-01,2018-08-01 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
1529,2018-09-03,2018-09-03 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
1548,2018-10-08,2018-10-08 15:05:00,NO_VIEW_REPEATED_TRAINING_POLICY,13,607,True,2018-02-12,7,14,1
