period,cost,signal_episode,first_positive_origin,first_zero_origin,last_positive_origin,positive_target_origins,entry_trend_deviation200,admission,right_censored_positive_signal
evaluation,BASE,1,2020-02-04,2020-02-28,2020-02-27,18,-0.020355546726308238,REJECTED,False
evaluation,BASE,2,2020-06-30,2020-07-06,2020-07-03,4,0.06340071849942053,ADMITTED,False
evaluation,BASE,3,2020-08-18,2020-09-29,2020-09-28,30,0.19549903838392835,ADMITTED,False
evaluation,BASE,4,2021-01-04,2021-01-20,2021-01-19,12,0.1867653635386699,ADMITTED,False
evaluation,BASE,5,2021-02-02,2021-02-25,2021-02-24,12,0.18642359456980895,ADMITTED,False
evaluation,BASE,6,2021-06-07,2021-07-20,2021-07-19,30,0.04761677664688646,ADMITTED,False
evaluation,BASE,7,2021-07-28,2021-08-10,2021-08-09,9,-0.0607174286508575,REJECTED,False
evaluation,BASE,8,2021-10-28,2021-12-10,2021-12-09,31,-0.03993710533531447,REJECTED,False
evaluation,BASE,9,2022-05-12,2022-06-09,2022-06-08,19,-0.15826199430324805,REJECTED,False
evaluation,BASE,10,2022-08-09,2022-09-01,2022-08-31,17,-0.061116754422620434,REJECTED,False
evaluation,BASE,11,2024-02-08,2024-02-22,2024-02-21,4,-0.07940723905505465,REJECTED,False
evaluation,BASE,12,2024-06-17,2024-07-17,2024-07-16,22,0.003187941658424842,ADMITTED,False
evaluation,BASE,13,2024-08-01,2024-08-05,2024-08-02,2,-0.002964107229077695,REJECTED,False
evaluation,BASE,14,2024-08-27,2024-09-11,2024-09-10,11,-0.02896400282152911,REJECTED,False
evaluation,BASE,15,2024-09-24,2024-09-27,2024-09-26,3,-0.007743090429546573,REJECTED,False
evaluation,BASE,16,2025-04-08,2025-04-22,2025-04-21,10,-0.01665232068734157,REJECTED,False
evaluation,BASE,17,2025-05-30,2025-06-19,2025-06-18,13,0.024106202839767166,ADMITTED,False
evaluation,BASE,18,2025-06-20,2025-06-25,2025-06-24,3,0.015375081107153576,ADMITTED,False
evaluation,BASE,19,2025-12-18,2026-02-03,2026-02-02,31,0.09935688741580617,ADMITTED,False
evaluation,BASE,20,2026-04-30,2026-05-15,2026-05-14,8,0.06719807458321192,ADMITTED,False
evaluation,BASE,21,2026-06-04,2026-06-22,2026-06-18,11,0.06669048802268707,ADMITTED,False
evaluation,BASE,22,2026-07-22,2026-07-30,2026-07-29,6,0.01279355509322766,ADMITTED,False
evaluation,BASE,23,2026-08-06,,2026-08-13,6,-0.0003949873301160034,REJECTED,True
evaluation,STRESS,1,2020-02-04,2020-02-28,2020-02-27,18,-0.020355546726308238,REJECTED,False
evaluation,STRESS,2,2020-06-30,2020-07-06,2020-07-03,4,0.06340071849942053,ADMITTED,False
evaluation,STRESS,3,2020-08-18,2020-09-29,2020-09-28,30,0.19549903838392835,ADMITTED,False
evaluation,STRESS,4,2021-01-04,2021-01-20,2021-01-19,12,0.1867653635386699,ADMITTED,False
evaluation,STRESS,5,2021-02-02,2021-02-25,2021-02-24,12,0.18642359456980895,ADMITTED,False
evaluation,STRESS,6,2021-06-07,2021-07-20,2021-07-19,30,0.04761677664688646,ADMITTED,False
evaluation,STRESS,7,2021-07-28,2021-08-10,2021-08-09,9,-0.0607174286508575,REJECTED,False
evaluation,STRESS,8,2021-10-28,2021-12-10,2021-12-09,31,-0.03993710533531447,REJECTED,False
evaluation,STRESS,9,2022-05-12,2022-06-09,2022-06-08,19,-0.15826199430324805,REJECTED,False
evaluation,STRESS,10,2022-08-09,2022-09-01,2022-08-31,17,-0.061116754422620434,REJECTED,False
evaluation,STRESS,11,2024-02-08,2024-02-22,2024-02-21,4,-0.07940723905505465,REJECTED,False
evaluation,STRESS,12,2024-06-17,2024-07-17,2024-07-16,22,0.003187941658424842,ADMITTED,False
evaluation,STRESS,13,2024-08-01,2024-08-05,2024-08-02,2,-0.002964107229077695,REJECTED,False
evaluation,STRESS,14,2024-08-27,2024-09-11,2024-09-10,11,-0.02896400282152911,REJECTED,False
evaluation,STRESS,15,2024-09-24,2024-09-27,2024-09-26,3,-0.007743090429546573,REJECTED,False
evaluation,STRESS,16,2025-04-08,2025-04-22,2025-04-21,10,-0.01665232068734157,REJECTED,False
