origin,company_universe,paired_company_count,missing_pair_count,median_absolute_growth_disagreement,old_common_sources_valid,eligible_for_next_protocol
2015-01-30,300,0,300,,False,False
2015-02-27,300,0,300,,False,False
2015-03-31,300,0,300,,False,False
2015-04-30,300,0,300,,False,False
2015-05-29,300,0,300,,False,False
2015-06-30,300,0,300,,False,False
2015-07-31,300,0,300,,False,False
2015-08-31,300,0,300,,False,False
2015-09-30,300,0,300,,False,False
2015-10-30,300,0,300,,False,False
2015-11-30,300,0,300,,False,False
2015-12-31,300,0,300,,False,False
2016-01-29,300,0,300,,False,False
2016-02-29,300,0,300,,False,False
2016-03-31,300,0,300,,False,False
2016-04-29,300,0,300,,False,False
2016-05-31,300,0,300,,False,False
2016-06-30,300,0,300,,False,False
2016-07-29,300,0,300,,False,False
2016-08-31,300,0,300,,False,False
2016-09-30,300,0,300,,False,False
2016-10-31,300,0,300,,False,False
2016-11-30,300,0,300,,False,False
2016-12-30,300,0,300,,False,False
2017-01-26,300,0,300,,False,False
2017-02-28,300,0,300,,False,False
2017-03-31,300,0,300,,False,False
2017-04-28,300,0,300,,False,False
2017-05-31,300,0,300,,False,False
2017-06-30,300,0,300,,False,False
2017-07-31,300,0,300,,False,False
2017-08-31,300,2,298,0.011809744010333828,False,False
2017-09-29,300,4,296,0.01760636268966838,False,False
2017-10-31,300,4,296,0.023977557018895757,False,False
2017-11-30,300,5,295,0.030849400729546672,True,False
2017-12-29,300,5,295,0.030849400729546672,True,False
2018-01-31,300,5,295,0.05780256027644691,True,False
2018-02-28,300,2,298,0.060713389002458595,True,False
2018-03-30,300,2,298,0.06945997236833121,True,False
2018-04-27,300,2,298,0.02103773233508402,True,False
2018-05-31,300,0,300,,True,False
2018-06-29,300,0,300,,True,False
2018-07-31,300,0,300,,True,False
2018-08-31,300,0,300,,True,False
2018-09-28,300,0,300,,True,False
2018-10-31,300,0,300,,True,False
2018-11-30,300,0,300,,True,False
2018-12-28,300,0,300,,True,False
2019-01-31,300,0,300,,True,False
2019-02-28,300,0,300,,True,False
2019-03-29,300,1,299,0.03298085049368214,True,False
2019-04-30,300,0,300,,True,False
2019-05-31,300,0,300,,True,False
2019-06-28,300,0,300,,True,False
2019-07-31,300,0,300,,True,False
2019-08-30,300,1,299,0.09640035435989219,True,False
2019-09-30,300,1,299,0.0020443417730575952,True,False
2019-10-31,300,1,299,0.0020443417730575952,True,False
2019-11-29,300,1,299,0.0020443417730575952,True,False
2019-12-31,300,1,299,0.0020443417730575952,True,False
2020-01-23,300,1,299,0.01178249118145594,True,False
2020-02-28,300,0,300,,True,False
2020-03-31,300,1,299,0.017707321985099833,True,False
2020-04-30,300,1,299,0.017707321985099833,True,False
2020-05-29,300,0,300,,True,False
2020-06-30,300,0,300,,True,False
2020-07-31,300,0,300,,True,False
2020-08-31,300,2,298,0.05391620177258523,True,False
2020-09-30,300,2,298,0.05040961995408773,True,False
2020-10-30,300,3,297,0.03485183466136513,True,False
2020-11-30,300,7,293,0.015127408551367516,True,False
2020-12-31,300,6,294,0.013863488920607347,True,False
2021-01-29,300,5,295,0.019013933919355602,True,False
2021-02-26,300,5,295,0.019013933919355602,True,False
2021-03-31,300,4,296,0.018589388951004704,True,False
2021-04-30,300,4,296,0.05580372912451122,True,False
2021-05-31,300,4,296,0.05580372912451122,True,False
2021-06-30,300,3,297,0.07785642062689596,True,False
2021-07-30,300,3,297,0.07785642062689596,True,False
2021-08-31,300,3,297,0.05401350337584407,True,False
2021-09-30,300,3,297,0.05401350337584407,True,False
2021-10-29,300,0,300,,True,False
2021-11-30,300,0,300,,True,False
2021-12-31,300,0,300,,True,False
2022-01-28,300,0,300,,True,False
2022-02-28,300,0,300,,True,False
2022-03-31,300,14,286,0.046201704593736556,True,False
2022-04-29,300,34,266,0.028440494487723525,True,True
2022-05-31,300,42,258,0.03253074251768001,True,True
2022-06-30,300,39,261,0.02918403811792719,True,True
2022-07-29,300,38,262,0.032724871913040236,True,True
2022-08-31,300,53,247,0.03954629781837826,True,True
2022-09-30,300,52,248,0.03373637662257874,True,True
2022-10-31,300,54,246,0.04317894069938388,True,True
2022-11-30,300,47,253,0.0384721583064887,True,True
2022-12-30,300,45,255,0.04351204351204363,True,True
2023-01-31,300,40,260,0.03477280193478498,True,True
2023-02-28,300,22,278,0.02092190359498905,True,False
2023-03-31,300,32,268,0.030350764442364425,True,True
2023-04-28,300,54,246,0.02893335058266748,True,True
2023-05-31,300,59,241,0.03374385077179115,True,True
2023-06-30,300,57,243,0.03374385077179115,True,True
2023-07-31,300,58,242,0.037500195211713536,True,True
2023-08-31,300,65,235,0.036311213227012695,True,True
2023-09-28,300,64,236,0.03510304089778625,True,True
2023-10-31,300,63,237,0.04198541184842544,True,True
2023-11-30,300,59,241,0.034925526450950095,True,True
2023-12-29,300,59,241,0.03762507338887991,True,True
2024-01-31,300,58,242,0.03017781528664054,True,True
2024-02-29,300,41,259,0.027179977682129902,True,True
2024-03-29,300,40,260,0.036015677814828645,True,True
2024-04-30,300,56,244,0.0352695873252101,True,True
2024-05-31,300,71,229,0.0325795734647949,True,True
2024-06-28,300,71,229,0.03333333333333344,True,True
2024-07-31,300,61,239,0.0425937169149562,True,True
2024-08-30,300,69,231,0.029024543867105818,True,True
2024-09-30,300,65,235,0.031563074507859695,True,True
2024-10-31,300,65,235,0.03231055969734062,True,True
2024-11-29,300,64,236,0.032928339611822635,True,True
2024-12-31,300,60,240,0.032928339611822635,True,True
2025-01-27,300,62,238,0.02328589027592791,True,True
2025-02-28,300,43,257,0.018752190676480818,True,True
2025-03-31,300,49,251,0.0266230385959694,True,True
2025-04-30,300,58,242,0.0377130755657982,True,True
2025-05-30,300,75,225,0.03660593792172742,True,True
