cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,FINAL_TARGET_VOLATILITY_CAP,合成目标的普通波动上限,0.21324287360000196,0.02959264968123598,0.029525899226870204,0.027017606819249106,1.0928391779627953,-0.023722103474762234,1604,0.04370689791537385,55,693.0252800000001,2015.099999999946,False,3.774403012357652e-11,-0.0066648219643809965,False
BASE,JOINT_DOWNSIDE_REFERENCE_PAIR,第137轮合成下行预算,0.29643060929999937,0.03994602930994225,0.039644552039771,0.030917509107509716,1.2822686297888573,-0.02370661194737582,1604,0.05272219810160838,56,868.07814,2529.4999999999422,False,5.056222107668873e-11,0.0036885576643252774,True
BASE,COVARIANCE_REFERENCE_PAIR,第136轮共同方差预算,0.29827373759999815,0.04016895807213759,0.03986965493482937,0.03126288835735846,1.2753029879737618,-0.025098419148467634,1604,0.05716985309957222,58,866.65248,2584.2999999999374,False,4.0813574742060155e-11,0.003911486426520616,True
BASE,DOWNSIDE_REFERENCE_RISK,第132轮下行风险组合,0.3907917501999969,0.05102817323539364,0.05162166560127468,0.06131918495959104,0.8418517897015924,-0.07705222299235799,1604,0.13881668316555051,59,1574.8499600000002,4776.699999999952,False,6.332356861094013e-11,0.014770701589776662,False
BASE,VINTAGE_REFERENCE_RISK,第131轮普通波动乘数,0.27636500260000035,0.03750149195351425,0.03811459151898277,0.051117603272926124,0.7456255590756491,-0.07296043914247852,1604,0.1325651133409446,62,1357.89948,4096.599999999991,False,4.808953235624358e-11,0.0012440203078972756,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,FINAL_TARGET_VOLATILITY_CAP,合成目标的普通波动上限,0.2013814879999993,0.028067635305220332,0.028041797782509773,0.026955874133832727,1.040285232201544,-0.024052445056011913,1604,0.04371580275755323,55,1323.5024000000003,3575.100000000015,False,3.795719294430455e-11,-0.008017309208522314,False
STRESS,JOINT_DOWNSIDE_REFERENCE_PAIR,第137轮合成下行预算,0.2810226259999972,0.0380718103191522,0.03783835069419777,0.03084993494555922,1.2265293512278383,-0.024716599462461172,1604,0.05274122350684998,56,1671.5748000000003,4521.100000000015,False,4.0472514228895307e-11,0.001986865805409556,True
STRESS,COVARIANCE_REFERENCE_PAIR,第136轮共同方差预算,0.28246957759999947,0.038248628708262095,0.0380194367861757,0.031196465505853394,1.2187097534828781,-0.026585503512020565,1604,0.057168852349265054,58,1689.98448,4610.100000000007,False,4.843059286940843e-11,0.002163684194519448,True
STRESS,DOWNSIDE_REFERENCE_RISK,第132轮下行风险组合,0.36105835139999937,0.0476069277784669,0.048359699715783924,0.061301936917669546,0.7888771896511613,-0.07924719819706565,1604,0.1388847909037552,59,3114.7297200000003,8522.90000000006,False,7.86855025580735e-11,0.011521983264724256,False
STRESS,VINTAGE_REFERENCE_RISK,第131轮普通波动乘数,0.2512737831999997,0.03439835845745139,0.035118465139679506,0.05111167115575509,0.6870928761585842,-0.07487853452486062,1604,0.13253375295758188,62,2687.64336,7338.400000000056,False,5.496758603840135e-11,-0.0016865860562912532,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
