period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,JOINT_DOWNSIDE_REFERENCE_PAIR,-16637.547139999806,-17293.40000000001,-33.599999999999966,-175.0528599999999,-514.3999999999962,-0.18942945182606197
evaluation,BASE,COVARIANCE_REFERENCE_PAIR,-17006.17279999997,-15936.399999999994,-1812.6,-173.6271999999999,-569.1999999999914,-0.18246381001096657
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,-35509.7753199999,-26662.000000000044,-12491.199999999999,-881.8246800000002,-2761.600000000006,0.2509873882612029
evaluation,BASE,VINTAGE_REFERENCE_RISK,-12624.425799999997,-5022.300000000039,-10348.499999999998,-664.8742,-2081.5000000000455,0.3472136188871462
evaluation,STRESS,JOINT_DOWNSIDE_REFERENCE_PAIR,-15928.227599999926,-17204.70000000001,-17.59999999999991,-348.0724,-946.0,-0.18624411902629445
evaluation,STRESS,COVARIANCE_REFERENCE_PAIR,-16217.617920000106,-15827.599999999999,-1791.5,-366.48207999999977,-1034.9999999999918,-0.17842452128133424
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,-31935.372679999797,-26406.50000000003,-12267.9,-1791.22732,-4947.800000000045,0.2514080425503826
evaluation,STRESS,VINTAGE_REFERENCE_RISK,-9978.459040000133,-4922.700000000041,-10183.199999999999,-1364.1409599999997,-3763.300000000041,0.35319235604295973
earlier_diagnostic,BASE,JOINT_DOWNSIDE_REFERENCE_PAIR,-9142.361259999918,-9851.399999999987,-143.5,-213.6387400000001,-638.8999999999987,0.01233934375534318
earlier_diagnostic,BASE,COVARIANCE_REFERENCE_PAIR,-7105.847099999955,-8070.099999999984,-143.5,-279.4529,-828.2999999999997,0.058555242790160666
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,-31057.037299999996,-31503.6,-262.5,-192.56270000000006,-516.5000000000264,-0.14149461172491096
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,-20186.118479999976,-20015.699999999975,0.0,35.5184799999999,134.90000000000623,-0.25631525628633267
earlier_diagnostic,STRESS,JOINT_DOWNSIDE_REFERENCE_PAIR,-10860.880359999894,-12342.0,-143.5,-426.9196400000001,-1197.7000000000066,0.001186576715425658
earlier_diagnostic,STRESS,COVARIANCE_REFERENCE_PAIR,-8748.254479999887,-10676.5,-143.5,-537.0455200000001,-1534.7000000000112,0.04712743971235156
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,-33422.416079999995,-34608.0,-262.5,-385.68391999999994,-1062.4,-0.15208948064592764
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,-20549.89247999998,-20294.29999999999,0.0,69.69248000000016,185.90000000001646,-0.2588486883124811
