cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,ZERO_CONFIRM_BAND_00,2020—2021,0.34311921609999946,0.15822696355757973,0.15039412888253023,0.0841746253473342,1.7866919901567841,-0.040125720802052484,486,0.2055007041126314,103,1199.95678,2783.1000000000076,False,5.283595783112105e-11
BASE,ZERO_CONFIRM_BAND_00,2022—2023,0.016620701820365145,0.008276103961789398,0.008889169536151487,0.03607675005733838,0.24639607287307017,-0.03278758951654021,484,0.0644696147794047,23,558.2832000000001,1804.2999999999415,False,6.821210263296962e-11
BASE,ZERO_CONFIRM_BAND_00,2024—终点,0.42573924162727667,0.14497931775115533,0.14106917112202863,0.10775500631991142,1.3091658192029754,-0.07867548521173315,634,0.29969238135763926,144,2428.38356,6352.299999999861,False,9.467271411267575e-11
BASE,ZERO_CONFIRM_BAND_05,2020—2021,0.34219854310000186,0.1578315620124304,0.15005387930532757,0.08419223698786772,1.7822769019304079,-0.039879892913130224,486,0.2057541663914125,48,925.59138,2731.60000000001,False,4.8771653382573277e-11
BASE,ZERO_CONFIRM_BAND_05,2022—2023,0.016715300664969675,0.008323014051037948,0.008935251963372082,0.03606444494242895,0.24775792273070515,-0.032728763927488566,484,0.06424475189852956,14,515.5495599999999,1797.0999999999417,False,8.640199666842818e-11
BASE,ZERO_CONFIRM_BAND_05,2024—终点,0.42657499668035603,0.14523546162470918,0.14131074482117373,0.10791990469251973,1.309403906756493,-0.07845690962825623,634,0.30002453703021825,73,2091.6686600000003,6244.699999999859,False,9.663381206337363e-11
BASE,ZERO_CONFIRM_BAND_15,2020—2021,0.34294840489999867,0.1581536155342794,0.15037979926229153,0.08475325340634386,1.7743247983803705,-0.038712336784103935,486,0.21217497250198655,36,879.8190199999999,2678.1000000000076,False,5.283595783112105e-11
BASE,ZERO_CONFIRM_BAND_15,2022—2023,0.014721331458354728,0.007333773611485108,0.00794974704816076,0.03595515450658249,0.22110173512688872,-0.031985101096104064,484,0.06304526268147508,12,505.80228000000005,1773.6999999999405,False,6.821210263296962e-11
BASE,ZERO_CONFIRM_BAND_15,2024—终点,0.43425209575407403,0.1475840256178816,0.14339094105481082,0.10820121301258237,1.3252248940881683,-0.0773255322031562,634,0.30023907527132676,52,1966.13634,5937.199999999884,False,5.807976322103059e-11
BASE,ZERO_CONFIRM_BAND_20,2020—2021,0.3203624198999995,0.14841336386844567,0.14188177736289545,0.08419193897097794,1.685218075471619,-0.05489855840910143,486,0.20620701219743723,33,863.8160200000001,2616.3000000000134,False,4.1382008930668235e-11
BASE,ZERO_CONFIRM_BAND_20,2022—2023,0.014754684930730106,0.007350328798640989,0.00796633614721487,0.035959511772723204,0.22153627105854282,-0.03196734702086811,484,0.06304936050786465,12,497.3937,1744.1999999999416,False,5.906031219637953e-11
BASE,ZERO_CONFIRM_BAND_20,2024—终点,0.48819453348767045,0.1638708966477293,0.15882687508371582,0.12080550506412681,1.3147320976755674,-0.07828561180235585,634,0.30496530549775785,46,1988.50144,6006.199999999866,False,9.481482265982777e-11
BASE,INTENT_MIX_BAND_00,2020—2021,0.3366714861999979,0.15545498832146076,0.14772120859095916,0.08069165853104068,1.8306874747670898,-0.03718574227609321,486,0.1985088129305959,66,940.30276,2536.0000000000095,False,4.8544279707130045e-11
BASE,INTENT_MIX_BAND_00,2022—2023,0.00951771570751984,0.004747588057577693,0.005246641035075494,0.0320300222545263,0.16380385231652683,-0.02994343734438463,484,0.06226755988994395,50,640.48816,1713.299999999949,False,7.418066161335446e-11
BASE,INTENT_MIX_BAND_00,2024—终点,0.4329120536343119,0.14717464333279764,0.14297863325344354,0.10767975952846574,1.327813452403247,-0.07884983281915135,634,0.30161801474532873,109,2186.75382,6054.499999999867,False,8.526512829121202e-11
BASE,INTENT_MIX_BAND_05,2020—2021,0.33017850650000047,0.15265676718794288,0.14527141733494728,0.08038848901306601,1.8071171521999307,-0.0379606557435744,486,0.19836639272809006,46,846.0987,2493.700000000005,False,3.956301952712238e-11
BASE,INTENT_MIX_BAND_05,2022—2023,0.009611783634695463,0.004794398687958185,0.0052945402670723785,0.03207153865115997,0.16508532143283636,-0.030041850154699845,484,0.06241538296109621,35,567.5224000000001,1694.9999999999486,False,7.51469997339882e-11
BASE,INTENT_MIX_BAND_05,2024—终点,0.43941230342585463,0.14915826185799577,0.1449093998032677,0.10967146909478359,1.3213044468113189,-0.07964244868828978,634,0.30326204726673106,72,2032.32834,5997.599999999875,False,8.374456683668541e-11
BASE,INTENT_MIX_BAND_15,2020—2021,0.32177399679999935,0.14902454820684805,0.14218768026278733,0.08130730137829345,1.748768903314593,-0.04096512118395759,486,0.20279451932389367,37,803.6006400000001,2388.7000000000094,False,4.865796654485166e-11
BASE,INTENT_MIX_BAND_15,2022—2023,0.00959822332010903,0.00478765085967743,0.0052961525540502485,0.032332330281421406,0.1638036141519156,-0.030112533077317122,484,0.06236233051481277,33,562.3636,1684.199999999949,False,4.746425474877469e-11
BASE,INTENT_MIX_BAND_15,2024—终点,0.4450525033334531,0.1508749441986302,0.14644591897179862,0.11006111301789188,1.3305872978768796,-0.08044316327502792,634,0.3052158063940853,59,1940.1868600000003,5755.0999999998785,False,8.549250196665525e-11
BASE,INTENT_MIX_BAND_20,2020—2021,0.32968163000000217,0.1524423506095368,0.14505536940453265,0.0800148769632967,1.812854995341309,-0.040823217656372236,486,0.19491049450589434,37,819.2740000000001,2438.5000000000105,False,4.092726157978177e-11
BASE,INTENT_MIX_BAND_20,2022—2023,0.009628101051528878,0.004802518434109458,0.0053101127510055135,0.032306255481930085,0.16436794273405125,-0.03005208226471282,484,0.062290198722311396,33,564.83818,1693.2999999999488,False,7.37543359718984e-11
BASE,INTENT_MIX_BAND_20,2024—终点,0.444591182819018,0.15073468987723707,0.14644614284751678,0.1112276436728544,1.3166344086030262,-0.07687237572528878,634,0.30874351210276796,56,1957.6955200000002,5818.399999999869,False,7.078426733642118e-11
BASE,TWO_CLOSE_ZERO_EXIT,2020—2021,0.3437712706000006,0.15850691917375448,0.15065536089303078,0.08440764610640815,1.7848544277980187,-0.04035369917955439,486,0.20679969580151789,41,893.2458800000002,2694.3000000000084,False,4.8771653382573277e-11
BASE,TWO_CLOSE_ZERO_EXIT,2022—2023,0.015392021657647819,0.00766662228023005,0.008281033282342365,0.035980488155602695,0.23015344445939334,-0.03199078188720934,484,0.0632908527832167,13,506.42870000000005,1776.0999999999408,False,8.640199666842818e-11
BASE,TWO_CLOSE_ZERO_EXIT,2024—终点,0.42904131927363887,0.145990804620472,0.14199628314156174,0.10815842037296107,1.312854631677479,-0.07808473542008028,634,0.3014390416450062,59,2024.6173400000002,6096.399999999862,False,8.031264542296412e-11
BASE,INTENT_MIX_80_15_05,2020—2021,0.32683578709999994,0.15121351135205333,0.14402860918385596,0.08052113290838618,1.7887056972698847,-0.03837196438227506,486,0.19839199276748695,44,840.84258,2494.900000000008,False,5.093170329928398e-11
BASE,INTENT_MIX_80_15_05,2022—2023,0.010204040569022773,0.0050890709628787795,0.0055960040130806354,0.03232945096278889,0.17309307292355877,-0.030051920423673707,484,0.06250528536914478,34,563.9827600000001,1690.3999999999487,False,8.469669410260394e-11
BASE,INTENT_MIX_80_15_05,2024—终点,0.4437017260968077,0.15046419199963268,0.14607799948563474,0.10996628495711178,1.3283889652415464,-0.08044085653883461,634,0.3056700296924812,67,2018.1710200000002,5968.799999999876,False,8.374456683668541e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2020—2021,0.39602643430000034,0.1807248016481908,0.16953775905385926,0.08289754534005311,2.0451481205915116,-0.04035974893668246,486,0.19755624656504853,41,915.1131399999999,2753.0000000000573,False,5.016431714466307e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2022—2023,0.012196962522803521,0.006079998073117206,0.006646062893251592,0.03428362103304844,0.19385533654233827,-0.030587599670722443,484,0.05734885168859578,13,523.04358,1834.6999999999996,False,7.275957614183426e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2024—终点,0.304293220214906,0.10672349096379523,0.10495305447736393,0.08453277380708875,1.2415664333560859,-0.06718111998958122,634,0.2827575293702513,61,2032.5668600000004,6078.499999999871,False,1.0400214023320586e-10
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,ZERO_CONFIRM_BAND_00,2020—2021,0.32584999659999914,0.15078753700343928,0.14394964454891573,0.0842125492986543,1.709360965174059,-0.044122248402956143,486,0.2054813763325004,108,2076.70068,5019.599999999972,False,3.8198777474462986e-11
STRESS,ZERO_CONFIRM_BAND_00,2022—2023,0.009993605486274912,0.004984380717568622,0.00562859953600614,0.03633752904673085,0.1548976962293622,-0.0345015906384446,484,0.06447083337257128,26,1063.99564,3005.700000000057,False,5.3660187404602766e-11
STRESS,ZERO_CONFIRM_BAND_00,2024—终点,0.3945071354947861,0.13533989241746128,0.1325612797819953,0.10726427967889683,1.2358380644407143,-0.08414550471061158,634,0.2998533393143301,143,4332.09752,11151.5,False,9.936229616869241e-11
STRESS,ZERO_CONFIRM_BAND_05,2020—2021,0.3251639813999994,0.15049100606434027,0.14369260201989945,0.08422296277643963,1.7060976874123424,-0.04440158772020328,486,0.20577499998429732,48,1783.10372,4926.499999999974,False,4.6213699533836916e-11
STRESS,ZERO_CONFIRM_BAND_05,2022—2023,0.010212399212437247,0.005093229114810646,0.005736239763802997,0.036319259103341744,0.15793933867101392,-0.03440898741710633,484,0.06424126014048323,14,1007.97928,2991.800000000055,False,6.349409886752255e-11
STRESS,ZERO_CONFIRM_BAND_05,2024—终点,0.39603101593367646,0.13581330032066943,0.13300656277421488,0.10753164256871688,1.2369062686754604,-0.08391969736826575,634,0.30038538246538055,73,4032.5866800000003,10970.699999999999,False,1.0038547770818695e-10
STRESS,ZERO_CONFIRM_BAND_15,2020—2021,0.3189679456000012,0.14780926241660203,0.14141460567132047,0.0848947946245599,1.6657629751825738,-0.04850756098300883,486,0.20893073075272245,36,1743.1108800000002,4826.09999999998,False,5.002220859751105e-11
STRESS,ZERO_CONFIRM_BAND_15,2022—2023,0.00827923243808012,0.004131083294447229,0.004774438952287519,0.036207026350878434,0.1318649840508563,-0.033615853511710966,484,0.06304650015838509,12,991.4915599999999,2941.1000000000595,False,1.0368239600211382e-10
STRESS,ZERO_CONFIRM_BAND_15,2024—终点,0.4052922441172233,0.13868353994089885,0.13556169339171464,0.10780965045102346,1.2574170570499956,-0.08268758076904864,634,0.3006696814152196,52,3795.7426000000005,10350.700000000008,False,9.936229616869241e-11
STRESS,ZERO_CONFIRM_BAND_20,2020—2021,0.3044132776000011,0.1414847809565935,0.1358318178960833,0.08425048925537638,1.612237734125862,-0.05932736436071123,486,0.2062190352394029,33,1705.44448,4727.699999999975,False,4.411049303598702e-11
STRESS,ZERO_CONFIRM_BAND_20,2022—2023,0.008278723764502517,0.004130830003990326,0.004773505373303288,0.036187989351161284,0.1319085547136126,-0.033619576988199985,484,0.06303401576659905,12,979.62456,2905.900000000059,False,6.713207767461427e-11
STRESS,ZERO_CONFIRM_BAND_20,2024—终点,0.40138254202819007,0.13747327598099096,0.1345513681436617,0.10830694954150553,1.2423151858053092,-0.08339200332085367,634,0.3037193859893971,48,3754.4604000000004,10224.800000000008,False,6.133404895081185e-11
STRESS,INTENT_MIX_BAND_00,2020—2021,0.3210556254000009,0.1487135488452281,0.14186581731140965,0.08068250013831184,1.7583220285466228,-0.04118676290369713,486,0.19857503195780432,64,1715.7749200000003,4570.199999999973,False,5.610445441561751e-11
STRESS,INTENT_MIX_BAND_00,2022—2023,0.003379812563644004,0.001688480798119193,0.0022043750447711674,0.03224749105229949,0.06835803260464751,-0.03152138523461485,484,0.06230247772278805,51,1088.5159199999998,2870.300000000054,False,6.110667527536862e-11
STRESS,INTENT_MIX_BAND_00,2024—终点,0.40377039276821164,0.13821269252289567,0.13509630347736534,0.10732337150627398,1.2587780422968522,-0.08416974266692653,634,0.30206437102943107,103,3988.7097200000007,10621.500000000002,False,7.465672524631373e-11
STRESS,INTENT_MIX_BAND_05,2020—2021,0.3145562825999999,0.14589596705450605,0.1393866910994015,0.0804048715902843,1.7335602724380728,-0.04196596302559565,486,0.1983390020028068,46,1633.0434800000003,4491.299999999975,False,3.9335645851679146e-11
STRESS,INTENT_MIX_BAND_05,2022—2023,0.003414982880095844,0.0017060361603576982,0.0022228810805831056,0.03227841250540348,0.06886587375419996,-0.03169019610908779,484,0.06239042177813294,35,1012.36256,2838.4000000000565,False,6.818368092353921e-11
STRESS,INTENT_MIX_BAND_05,2024—终点,0.4098936298852373,0.14010525342928004,0.13695859543981073,0.10929926958965244,1.2530604820508044,-0.08498816645767618,634,0.3036260355291399,73,3888.6328799999997,10529.0,False,8.503775461576879e-11
STRESS,INTENT_MIX_BAND_15,2020—2021,0.3070005640000004,0.14261162142965747,0.13659038810525756,0.08134052323557844,1.6792415719980611,-0.044996319587121546,486,0.20280032772670575,37,1568.0872,4318.699999999988,False,4.8771653382573277e-11
STRESS,INTENT_MIX_BAND_15,2022—2023,0.003440516801491078,0.0017187812961735013,0.0022442160628241004,0.03254626743643529,0.06895463718557533,-0.031717115002869854,484,0.0623267012246792,33,1007.04852,2821.7000000000553,False,5.32054400537163e-11
STRESS,INTENT_MIX_BAND_15,2024—终点,0.4155751107582863,0.14185673695408754,0.13854164320413012,0.1097314498793224,1.2625518331935999,-0.08572344533619382,634,0.3054804977135701,59,3721.7710800000004,10096.500000000002,False,7.867129170335829e-11
STRESS,INTENT_MIX_BAND_20,2020—2021,0.3143089867999994,0.14578862192271502,0.13926146536802472,0.08001127353665803,1.7405230439710546,-0.04492887245715927,486,0.19481694307261788,37,1598.60264,4401.59999999998,False,5.3660187404602766e-11
STRESS,INTENT_MIX_BAND_20,2022—2023,0.003475763496924691,0.00173637425069311,0.00226145719998172,0.032536317840686675,0.0695056278665242,-0.0316941230355333,484,0.06229416981365853,33,1012.15456,2837.400000000056,False,5.793054924652097e-11
STRESS,INTENT_MIX_BAND_20,2024—终点,0.415974561222497,0.14197971564243825,0.13877029904352187,0.1108895426735007,1.2514281842798496,-0.08185429812595872,634,0.30906901701299583,56,3756.0259200000005,10194.100000000008,False,6.546230224557803e-11
STRESS,TWO_CLOSE_ZERO_EXIT,2020—2021,0.32683927300000165,0.15121501737793785,0.14433816433307314,0.08441213108669698,1.7099220511898705,-0.04492292883366449,486,0.20690417356459656,41,1756.1453999999999,4860.399999999975,False,5.132960723130964e-11
STRESS,TWO_CLOSE_ZERO_EXIT,2022—2023,0.008966535918928395,0.0044732629188934244,0.005116395883124014,0.03624132903316471,0.14117572450066504,-0.03361965857738094,484,0.06329978653995175,13,997.3696,2958.8000000000598,False,6.349409886752255e-11
STRESS,TWO_CLOSE_ZERO_EXIT,2024—终点,0.3991395344307612,0.13677800135712254,0.13387976371611274,0.1077503564965873,1.2424994966986769,-0.08340941783287376,634,0.30180790950968456,59,3930.87332,10695.400000000003,False,9.515588317299262e-11
STRESS,INTENT_MIX_80_15_05,2020—2021,0.31113888440000026,0.14441165784643387,0.13810218802469204,0.08055716401575543,1.7143377589320539,-0.04246856817126847,486,0.1984389374629907,44,1633.62312,4493.199999999973,False,3.8198777474462986e-11
STRESS,INTENT_MIX_80_15_05,2022—2023,0.003478865781703478,0.0017379227031906065,0.0022627702746062517,0.03252917516909445,0.0695612557909578,-0.03168136413825261,484,0.06228646750517461,33,1009.8447600000001,2830.5000000000555,False,6.093614501878619e-11
STRESS,INTENT_MIX_80_15_05,2024—终点,0.41503701569130874,0.141691039871171,0.13838218736667382,0.10960341729519159,1.262571831989264,-0.0857490577907262,634,0.30589415387704094,66,3842.0463600000003,10406.599999999995,False,8.58193516251049e-11
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,2020—2021,0.37835601519999995,0.17325915324093377,0.1631882753427216,0.08287132313299929,1.9691766605538867,-0.044919572397062006,486,0.1975489987024101,41,1799.7969600000001,4968.699999999973,False,7.5203843152849e-11
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,2022—2023,0.0057523656534044475,0.0028720584667839113,0.0034601208049445664,0.03450628449437257,0.10027509062903767,-0.03182244753720151,484,0.057375812549155934,13,1029.9384400000001,3056.2000000000185,False,9.112000043387525e-11
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,2024—终点,0.27658044727796927,0.09768811364242709,0.0967423174863515,0.08440655556961978,1.1461469649304312,-0.07154080545080109,634,0.28320733607774984,61,3946.9447200000004,10791.100000000006,False,8.077449820120819e-11
STRESS,BUY_HOLD,2020—2021,0.23071070000000127,0.10890025181464306,0.1246077146486007,0.20576243798683067,0.6055901935637831,-0.16959575054209083,486,0.992158791772791,1,79.86,241.99999999999483,False,6.184563972055912e-11
STRESS,BUY_HOLD,2022—2023,-0.2693890611335388,-0.14524217531135683,-0.14405982630438274,0.16031003120964557,-0.8986326383779963,-0.29495152678854586,484,0.9563537274336262,0,0.0,0.0,False,2.8194335754960775e-11
STRESS,BUY_HOLD,2024—终点,0.40669468255582664,0.13911716300186158,0.14523502063473265,0.1731458904840387,0.8388014305665603,-0.1526317349696486,634,0.9210856740052947,1,91.61152000000001,241.99999999999483,False,5.4569682106375694e-11
