model,period,cost,band,waiting_held_origins,fills
ZERO_CONFIRM_BAND_00,evaluation,BASE,0.0,27,270
ZERO_CONFIRM_BAND_00,evaluation,STRESS,0.0,27,277
ZERO_CONFIRM_BAND_00,earlier_diagnostic,BASE,0.0,15,288
ZERO_CONFIRM_BAND_00,earlier_diagnostic,STRESS,0.0,15,291
ZERO_CONFIRM_BAND_05,evaluation,BASE,0.05,27,135
ZERO_CONFIRM_BAND_05,evaluation,STRESS,0.05,27,135
ZERO_CONFIRM_BAND_05,earlier_diagnostic,BASE,0.05,15,87
ZERO_CONFIRM_BAND_05,earlier_diagnostic,STRESS,0.05,15,87
ZERO_CONFIRM_BAND_15,evaluation,BASE,0.15,27,100
ZERO_CONFIRM_BAND_15,evaluation,STRESS,0.15,27,100
ZERO_CONFIRM_BAND_15,earlier_diagnostic,BASE,0.15,15,57
ZERO_CONFIRM_BAND_15,earlier_diagnostic,STRESS,0.15,15,58
ZERO_CONFIRM_BAND_20,evaluation,BASE,0.2,28,91
ZERO_CONFIRM_BAND_20,evaluation,STRESS,0.2,28,93
ZERO_CONFIRM_BAND_20,earlier_diagnostic,BASE,0.2,15,53
ZERO_CONFIRM_BAND_20,earlier_diagnostic,STRESS,0.2,15,54
INTENT_MIX_BAND_00,evaluation,BASE,0.0,0,225
INTENT_MIX_BAND_00,evaluation,STRESS,0.0,0,218
INTENT_MIX_BAND_00,earlier_diagnostic,BASE,0.0,0,146
INTENT_MIX_BAND_00,earlier_diagnostic,STRESS,0.0,0,134
INTENT_MIX_BAND_05,evaluation,BASE,0.05,0,153
INTENT_MIX_BAND_05,evaluation,STRESS,0.05,0,154
INTENT_MIX_BAND_05,earlier_diagnostic,BASE,0.05,0,83
INTENT_MIX_BAND_05,earlier_diagnostic,STRESS,0.05,0,85
INTENT_MIX_BAND_15,evaluation,BASE,0.15,0,129
INTENT_MIX_BAND_15,evaluation,STRESS,0.15,0,129
INTENT_MIX_BAND_15,earlier_diagnostic,BASE,0.15,0,70
INTENT_MIX_BAND_15,earlier_diagnostic,STRESS,0.15,0,71
INTENT_MIX_BAND_20,evaluation,BASE,0.2,0,126
INTENT_MIX_BAND_20,evaluation,STRESS,0.2,0,126
INTENT_MIX_BAND_20,earlier_diagnostic,BASE,0.2,0,62
INTENT_MIX_BAND_20,earlier_diagnostic,STRESS,0.2,0,63
