model,group,known_forecasts,positive_forecasts,positive_actuals,direction_correct_count,mean_absolute_error,mean_squared_error,training_mean_baseline_squared_error,mean_predicted_return,mean_actual_return
E1_PRICE_FORWARD_EPS,全部已兑现预测,33,24,19,20,0.0721174945849858,0.00759822742731961,0.007628688006652519,0.023988986897239148,0.024199391649037613
E1_PRICE_FORWARD_EPS,判断时位于120日均线之上,20,13,9,10,0.06858141613749788,0.006457927055313785,0.004008597366259551,0.015471396469636755,0.00517845414309267
E1_PRICE_FORWARD_EPS,判断时不高于120日均线,13,11,10,10,0.07755761527342875,0.009352535691943956,0.013198058222641702,0.037092972170473595,0.053462372427414445
E1_PRICE_FORWARD_EPS,一月预测目标年度切换,3,2,2,1,0.08886303628326155,0.011511669924326569,0.010270102468650434,0.03485776824660913,0.06095018186859787
E1_PRICE_FORWARD_EPS,其他月份,30,22,17,19,0.07044294041515824,0.007206883177618913,0.007364546560452728,0.02290210876230215,0.020524312627081587
E2_MATCHED_PRICE,全部已兑现预测,33,12,19,18,0.07654827674782846,0.009128023935221375,0.007628688006652519,-0.02650250445799402,0.024199391649037613
E2_MATCHED_PRICE,判断时位于120日均线之上,20,4,9,11,0.06554230931492047,0.007177154502081484,0.004008597366259551,-0.04837299237812865,0.00517845414309267
E2_MATCHED_PRICE,判断时不高于120日均线,13,8,10,7,0.09348053433691769,0.012129361524667363,0.013198058222641702,0.007144400034520794,0.053462372427414445
E2_MATCHED_PRICE,一月预测目标年度切换,3,2,2,3,0.05324087161272276,0.005142142096883779,0.010270102468650434,0.00927974024079705,0.06095018186859787
E2_MATCHED_PRICE,其他月份,30,10,17,15,0.07887901726133902,0.009526612119055138,0.007364546560452728,-0.030080728927873123,0.020524312627081587
E3_FORWARD_EPS,全部已兑现预测,33,24,19,18,0.08596317396625039,0.010480933940510383,0.007628688006652519,0.025001114375838934,0.024199391649037613
E3_FORWARD_EPS,判断时位于120日均线之上,20,18,9,9,0.08276155053431364,0.008980159518006533,0.004008597366259551,0.0397794643836853,0.00517845414309267
E3_FORWARD_EPS,判断时不高于120日均线,13,6,10,9,0.09088874847692228,0.012789817667439378,0.013198058222641702,0.0022651912868445322,0.053462372427414445
E3_FORWARD_EPS,一月预测目标年度切换,3,2,2,1,0.09671603146850094,0.02134699765538255,0.010270102468650434,-0.009598186262130756,0.06095018186859787
E3_FORWARD_EPS,其他月份,30,22,17,17,0.08488788821602532,0.009394327569023166,0.007364546560452728,0.02846104443963591,0.020524312627081587
