研报编号,证券代码,公司名称,预测机构,预测目标年度,预测每股收益_原文元每股,研报落款日,较晚公开日期,原文最新总股本_百万股,原件页码,原文预测行
AP201703060387623074,300014.SZ,亿纬锂能,国信证券,2017,1.04,2017-03-05,2017-03-06,427,1,摊薄每股收益(元) 0.35 0.59 1.04 1.46 2.53
AP201703060387623074,300014.SZ,亿纬锂能,国信证券,2018,1.46,2017-03-05,2017-03-06,427,1,摊薄每股收益(元) 0.35 0.59 1.04 1.46 2.53
AP201703060387623074,300014.SZ,亿纬锂能,国信证券,2019,2.53,2017-03-05,2017-03-06,427,1,摊薄每股收益(元) 0.35 0.59 1.04 1.46 2.53
AP201703270442096940,000400.SZ,许继电气,国信证券,2017,1.16,2017-03-26,2017-03-27,1008,1,摊薄每股收益(元) 0.71 0.86 1.16 1.37 1.64
AP201703270442096940,000400.SZ,许继电气,国信证券,2018,1.37,2017-03-26,2017-03-27,1008,1,摊薄每股收益(元) 0.71 0.86 1.16 1.37 1.64
AP201703270442096940,000400.SZ,许继电气,国信证券,2019,1.64,2017-03-26,2017-03-27,1008,1,摊薄每股收益(元) 0.71 0.86 1.16 1.37 1.64
AP201706090635701473,600406.SH,国电南瑞,国信证券,2017,0.69,2017-06-08,2017-06-09,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201706090635701473,600406.SH,国电南瑞,国信证券,2018,0.80,2017-06-08,2017-06-09,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201706090635701473,600406.SH,国电南瑞,国信证券,2019,0.91,2017-06-08,2017-06-09,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201707210734493267,600754.SH,锦江股份,国信证券,2017,0.93,2017-07-21,2017-07-21,958,1,摊薄每股收益(元) 0.67 0.73 0.93 1.06 1.19
AP201707210734493267,600754.SH,锦江股份,国信证券,2018,1.06,2017-07-21,2017-07-21,958,1,摊薄每股收益(元) 0.67 0.73 0.93 1.06 1.19
AP201707210734493267,600754.SH,锦江股份,国信证券,2019,1.19,2017-07-21,2017-07-21,958,1,摊薄每股收益(元) 0.67 0.73 0.93 1.06 1.19
AP201707310758431496,600406.SH,国电南瑞,国信证券,2017,0.69,2017-07-30,2017-07-31,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201707310758431496,600406.SH,国电南瑞,国信证券,2018,0.80,2017-07-30,2017-07-31,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201707310758431496,600406.SH,国电南瑞,国信证券,2019,0.91,2017-07-30,2017-07-31,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201708080781736048,600867.SH,通化东宝,国信证券,2017,0.50,2017-08-08,2017-08-08,1706,1,摊薄每股收益(元) 0.29 0.38 0.50 0.64 0.82
AP201708080781736048,600867.SH,通化东宝,国信证券,2018,0.64,2017-08-08,2017-08-08,1706,1,摊薄每股收益(元) 0.29 0.38 0.50 0.64 0.82
AP201708080781736048,600867.SH,通化东宝,国信证券,2019,0.82,2017-08-08,2017-08-08,1706,1,摊薄每股收益(元) 0.29 0.38 0.50 0.64 0.82
AP201708250827807891,300124.SZ,汇川技术,国信证券,2017,0.69,2017-08-25,2017-08-25,1665,1,摊薄每股收益(元) 0.49 0.56 0.69 0.89 1.08
AP201708250827807891,300124.SZ,汇川技术,国信证券,2018,0.89,2017-08-25,2017-08-25,1665,1,摊薄每股收益(元) 0.49 0.56 0.69 0.89 1.08
