model,origin,status,samples,positive_label_fraction,mean_training_return,minimum_training_return,maximum_training_return,training_years,prediction,prediction_positive
E1_PRICE_FORWARD_EPS,2019-12-31,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E2_MATCHED_PRICE,2019-12-31,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E3_FORWARD_EPS,2019-12-31,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E1_PRICE_FORWARD_EPS,2020-01-23,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E2_MATCHED_PRICE,2020-01-23,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E3_FORWARD_EPS,2020-01-23,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E1_PRICE_FORWARD_EPS,2020-02-28,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E2_MATCHED_PRICE,2020-02-28,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E3_FORWARD_EPS,2020-02-28,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E1_PRICE_FORWARD_EPS,2020-03-31,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E2_MATCHED_PRICE,2020-03-31,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E3_FORWARD_EPS,2020-03-31,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E1_PRICE_FORWARD_EPS,2020-04-30,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E2_MATCHED_PRICE,2020-04-30,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
E3_FORWARD_EPS,2020-04-30,NO_VIEW_FEATURES_OR_MATURE_MONTHS_INSUFFICIENT,0,,,,,[],,
