研报编号,证券代码,公司名称,预测机构,预测目标年度,预测每股收益_原文元每股,研报落款日,较晚公开日期,原文最新总股本_百万股,原件页码,原文预测行
AP201903071303507274,000001.SZ,平安银行,国信证券,2019,1.49,2019-03-06,2019-03-07,17170,1,摊薄每股收益(元) 1.30 1.39 1.49 1.60 1.72
AP201903071303507274,000001.SZ,平安银行,国信证券,2020,1.60,2019-03-06,2019-03-07,17170,1,摊薄每股收益(元) 1.30 1.39 1.49 1.60 1.72
AP201903071303507274,000001.SZ,平安银行,国信证券,2021,1.72,2019-03-06,2019-03-07,17170,1,摊薄每股收益(元) 1.30 1.39 1.49 1.60 1.72
AP202203101551739416,000001.SZ,平安银行,国信证券,2022,2.01,2022-03-10,2022-03-10,,1,摊薄每股收益(元) 1.49 1.73 2.01 2.32 2.68
AP202203101551739416,000001.SZ,平安银行,国信证券,2023,2.32,2022-03-10,2022-03-10,,1,摊薄每股收益(元) 1.49 1.73 2.01 2.32 2.68
AP202203101551739416,000001.SZ,平安银行,国信证券,2024,2.68,2022-03-10,2022-03-10,,1,摊薄每股收益(元) 1.49 1.73 2.01 2.32 2.68
AP202204271561941015,000001.SZ,平安银行,国信证券,2022,2.11,2022-04-27,2022-04-27,,1,摊薄每股收益(元) 1.49 1.73 2.11 2.49 2.95
AP202204271561941015,000001.SZ,平安银行,国信证券,2023,2.49,2022-04-27,2022-04-27,,1,摊薄每股收益(元) 1.49 1.73 2.11 2.49 2.95
AP202204271561941015,000001.SZ,平安银行,国信证券,2024,2.95,2022-04-27,2022-04-27,,1,摊薄每股收益(元) 1.49 1.73 2.11 2.49 2.95
AP202208191577363997,000001.SZ,平安银行,国信证券,2022,2.11,2022-08-18,2022-08-19,,1,摊薄每股收益(元) 1.49 1.73 2.11 2.49 2.95
AP202208191577363997,000001.SZ,平安银行,国信证券,2023,2.49,2022-08-18,2022-08-19,,1,摊薄每股收益(元) 1.49 1.73 2.11 2.49 2.95
AP202208191577363997,000001.SZ,平安银行,国信证券,2024,2.95,2022-08-18,2022-08-19,,1,摊薄每股收益(元) 1.49 1.73 2.11 2.49 2.95
AP202210251579439624,000001.SZ,平安银行,国信证券,2022,2.16,2022-10-25,2022-10-25,,1,摊薄每股收益(元) 1.49 1.73 2.16 2.58 3.08
