cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,Y1_EPS_DAILY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
BASE,Y1_EPS_DAILY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
BASE,Y1_EPS_DAILY_EXIT,2024—终点,0.011443774599999321,0.00435276949832674,0.010726945605211893,0.11301737912675026,0.09491412460716774,-0.10510099550539524,634,0.5054455998915357,14,568.44508,1657.599999999985,False,2.773958840407431e-11
BASE,Y2_EPS_MONTHLY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
BASE,Y2_EPS_MONTHLY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
BASE,Y2_EPS_MONTHLY_EXIT,2024—终点,0.06175649370000048,0.023137033037752636,0.03060863452699499,0.12439353815978621,0.2460628982807574,-0.11119511217937633,634,0.6014161892192407,8,323.80126,928.3999999999435,False,3.001332515850663e-11
BASE,Y3_PRICE_EPS_DAILY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
BASE,Y3_PRICE_EPS_DAILY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
BASE,Y3_PRICE_EPS_DAILY_EXIT,2024—终点,0.02016134110000141,0.007648202926389391,0.01226612658482067,0.09639341351341733,0.12725067136577028,-0.10608321891124897,634,0.420205641654456,12,493.53178,1517.1999999999598,False,3.54702933691442e-11
BASE,Y4_PRICE_EPS_MONTHLY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
BASE,Y4_PRICE_EPS_MONTHLY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
BASE,Y4_PRICE_EPS_MONTHLY_EXIT,2024—终点,0.01305729120000048,0.0049640352043783245,0.010658131350633494,0.10680065905027096,0.09979462154457983,-0.11121284978325778,634,0.47248438030801126,10,404.34176,1233.399999999952,False,3.54702933691442e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,Y1_EPS_DAILY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
STRESS,Y1_EPS_DAILY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
STRESS,Y1_EPS_DAILY_EXIT,2024—终点,0.0021260339999999395,0.0008109817902264667,0.007193306781624837,0.11300863334753247,0.06365271898743745,-0.10731840367053773,634,0.5053916325688378,14,1131.1932000000002,2979.8000000000875,False,2.9103830456733704e-11
STRESS,Y2_EPS_MONTHLY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
STRESS,Y2_EPS_MONTHLY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
STRESS,Y2_EPS_MONTHLY_EXIT,2024—终点,0.055882608399999124,0.0209727961232911,0.028496160559504546,0.12443593522420718,0.22900266316285972,-0.1122949070754167,634,0.6015934399150389,8,645.87832,1712.2000000000266,False,2.7284841053187847e-11
STRESS,Y3_PRICE_EPS_DAILY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
STRESS,Y3_PRICE_EPS_DAILY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
STRESS,Y3_PRICE_EPS_DAILY_EXIT,2024—终点,0.01213006459999859,0.004612837690498591,0.00924643406415684,0.09636305820603373,0.09595413674384484,-0.10819467087285471,634,0.42000413342891857,12,982.38708,2652.7000000000426,False,3.9619862945983186e-11
STRESS,Y4_PRICE_EPS_MONTHLY_EXIT,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
STRESS,Y4_PRICE_EPS_MONTHLY_EXIT,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
STRESS,Y4_PRICE_EPS_MONTHLY_EXIT,2024—终点,0.006544729599997977,0.0024931092888564738,0.008198729724931348,0.10682143449044748,0.07675172837773978,-0.11226952778862485,634,0.47246314374164494,10,805.8540800000001,2184.600000000052,False,3.9619862945983186e-11
STRESS,BUY_HOLD,2020—2021,0.23071070000000127,0.10890025181464306,0.1246077146486007,0.20576243798683067,0.6055901935637831,-0.16959575054209083,486,0.992158791772791,1,79.86,241.99999999999483,False,6.184563972055912e-11
STRESS,BUY_HOLD,2022—2023,-0.2693890611335388,-0.14524217531135683,-0.14405982630438274,0.16031003120964557,-0.8986326383779963,-0.29495152678854586,484,0.9563537274336262,0,0.0,0.0,False,2.8194335754960775e-11
STRESS,BUY_HOLD,2024—终点,0.40669468255582664,0.13911716300186158,0.14523502063473265,0.1731458904840387,0.8388014305665603,-0.1526317349696486,634,0.9210856740052947,1,91.61152000000001,241.99999999999483,False,5.4569682106375694e-11
