ts_code,orgCode,orgSName,reports,first_report,last_report
000001.SZ,10000082,国金证券,2,2017-04-24 00:00:00.000,2017-08-11 00:00:00.000
000001.SZ,10000296,西南证券,4,2018-09-07 00:00:00.000,2021-02-01 00:00:00.000
000001.SZ,80000007,国信证券,18,2019-03-07 00:00:00.000,2026-04-26 00:00:00.000
000001.SZ,80000031,东吴证券,18,2017-08-12 00:00:00.000,2021-10-21 00:00:00.000
000001.SZ,80000038,民生证券,27,2017-03-17 00:00:00.000,2025-03-18 00:00:00.000
000001.SZ,80000064,华安证券,3,2021-08-19 00:00:00.000,2021-10-21 00:00:00.000
000001.SZ,80000080,山西证券,5,2021-08-23 00:00:00.000,2023-08-24 00:00:00.000
000001.SZ,80000081,东莞证券,7,2017-03-20 00:00:00.000,2023-03-09 00:00:00.000
000001.SZ,80000119,群益证券,12,2017-08-14 00:00:00.000,2020-12-28 00:00:00.000
000001.SZ,80000134,华金证券,13,2019-06-06 00:00:00.000,2022-04-27 00:00:00.000
000001.SZ,80000187,万联证券,22,2018-08-16 00:00:00.000,2025-03-18 00:00:00.000
000001.SZ,80000197,中航证券,3,2018-03-20 00:00:00.000,2018-08-27 00:00:00.000
000001.SZ,80000200,中银国际,10,2017-03-22 00:00:00.000,2020-01-14 00:00:00.000
000001.SZ,80000200,中银证券,18,2020-02-14 00:00:00.000,2023-10-26 00:00:00.000
000001.SZ,80000205,万和证券,1,2021-04-22 00:00:00.000,2021-04-22 00:00:00.000
000001.SZ,80027629,招银国际,12,2019-03-12 00:00:00.000,2020-10-22 00:00:00.000
000001.SZ,80044865,德意志银行,1,2017-08-11 00:00:00.000,2017-08-11 00:00:00.000
000001.SZ,80045894,新时代证券,3,2020-06-23 00:00:00.000,2020-10-23 00:00:00.000
000001.SZ,80050806,太平洋,11,2017-08-11 00:00:00.000,2021-04-21 00:00:00.000
000001.SZ,80092742,信达证券,2,2023-03-09 00:00:00.000,2023-04-25 00:00:00.000
000001.SZ,80092743,华融证券,1,2017-03-22 00:00:00.000,2017-03-22 00:00:00.000
000001.SZ,80101832,交银国际证券,6,2017-03-07 00:00:00.000,2018-03-19 00:00:00.000
000001.SZ,80114781,东兴证券,23,2019-08-08 00:00:00.000,2025-10-28 00:00:00.000
000001.SZ,80490040,申港证券,2,2021-09-23 00:00:00.000,2021-10-22 00:00:00.000
000001.SZ,80894586,恒大研究院,1,2019-06-06 00:00:00.000,2019-06-06 00:00:00.000
000776.SZ,10000082,国金证券,5,2025-10-13 00:00:00.000,2026-04-28 00:00:00.000
000776.SZ,80000031,东吴证券,18,2017-03-27 00:00:00.000,2026-04-28 00:00:00.000
000776.SZ,80000038,民生证券,7,2017-09-04 00:00:00.000,2019-04-07 00:00:00.000
