cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,E1_PRICE_FORWARD_EPS,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E1_PRICE_FORWARD_EPS,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E1_PRICE_FORWARD_EPS,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E1_PRICE_FORWARD_EPS,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E1_PRICE_FORWARD_EPS,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E1_PRICE_FORWARD_EPS,2025,0.1934858282000006,0.1926174128737593,0.18214451290714287,0.10827142530852446,1.6822953275817105,-0.08778773654650303,243,0.6795613504164366,8,139.43436000000003,419.5000000000159,False,3.529976311256178e-11
BASE,E1_PRICE_FORWARD_EPS,2026,0.02192459967410237,0.035852063031611404,0.05281764055818697,0.18800572758224918,0.28093633761811954,-0.09853838390583972,149,0.9909084922867557,2,53.760200000000005,158.400000000006,False,4.001776687800884e-11
BASE,E2_MATCHED_PRICE,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E2_MATCHED_PRICE,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E2_MATCHED_PRICE,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E2_MATCHED_PRICE,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E2_MATCHED_PRICE,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E2_MATCHED_PRICE,2025,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E2_MATCHED_PRICE,2026,0.05349581839999965,0.08832683795412569,0.09042709536302528,0.10784733513854178,0.8384731551026431,-0.06707543441480882,149,0.5284915952554069,6,103.03632,322.7999999999838,False,3.4788172342814505e-11
BASE,E3_FORWARD_EPS,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E3_FORWARD_EPS,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E3_FORWARD_EPS,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E3_FORWARD_EPS,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E3_FORWARD_EPS,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E3_FORWARD_EPS,2025,0.19931989579999917,0.19842318609496326,0.18994322100619587,0.13275059204657,1.430827675251062,-0.08753392056535923,243,0.8571839023926245,4,59.42084,184.60000000000724,False,5.047695594839752e-11
BASE,E3_FORWARD_EPS,2026,0.01582789543180046,0.025833783196670946,0.042880027470860546,0.186834345038254,0.22950827088071488,-0.09844863040313287,149,0.9751242115710411,3,53.65802000000001,158.99999999999457,False,2.7284841053187847e-11
BASE,E4_EARNINGS_AND_PRICE_REGIME,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E4_EARNINGS_AND_PRICE_REGIME,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,E4_EARNINGS_AND_PRICE_REGIME,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E4_EARNINGS_AND_PRICE_REGIME,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,E4_EARNINGS_AND_PRICE_REGIME,2024,0.005538949900000142,0.005538949900000143,0.006251588892378646,0.03812884624704917,0.16395956100723774,-0.029331795763698834,242,0.09072478036984008,1,39.91002,99.80000000001117,False,2.248157215944957e-11
BASE,E4_EARNINGS_AND_PRICE_REGIME,2025,-0.023518738088019707,-0.023423095632622532,-0.02267865489765255,0.045243042977112825,-0.5012628109281915,-0.05309888792006526,243,0.0739176979858884,1,39.20144,99.80000000001117,False,2.751221472863108e-11
BASE,E4_EARNINGS_AND_PRICE_REGIME,2026,0.030305908743880346,0.04968546088461785,0.05455353780455332,0.11033129066153685,0.4944520949356709,-0.05537677937690137,149,0.39402742713513217,4,157.38660000000002,488.39999999998213,False,2.7000623958883807e-11
BASE,BUY_HOLD,2020,0.2814884467999998,0.2801811402090982,0.27355207408866355,0.22973862748596008,1.1907099693340903,-0.16055455715202166,243,0.9980743079350705,1,39.91064,145.2000000000055,False,2.7284841053187847e-11
BASE,BUY_HOLD,2021,-0.03909048117061911,-0.03893278801219865,-0.02383188177217863,0.17830056468572633,-0.13366128040135403,-0.16951436057712796,243,0.9850610403433633,0,0.0,0.0,False,8.185452315956354e-11
BASE,BUY_HOLD,2022,-0.1955425417304226,-0.1955425417304226,-0.19953602070306542,0.18977907942455732,-1.0514121014186222,-0.2688464292333853,242,0.9646426639612224,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2023,-0.0916107335204824,-0.0916107335204824,-0.08841361175105267,0.12407304945822596,-0.7125932032549951,-0.18895188368823768,242,0.9467762506277704,0,0.0,0.0,False,2.6147972675971687e-11
BASE,BUY_HOLD,2024,0.15920797025504138,0.15920797025504138,0.16860164826666224,0.205190869607964,0.8216820202029026,-0.11679840124068283,242,0.9267134558125625,0,0.0,0.0,False,2.830802259268239e-11
BASE,BUY_HOLD,2025,0.19000526796167636,0.1891536772596284,0.1826290577328328,0.13628707555074462,1.3400321123247918,-0.09414639544678001,243,0.9266042470655912,0,0.0,0.0,False,2.773958840407431e-11
BASE,BUY_HOLD,2026,0.020090666215121258,0.03283455662211168,0.04677594553211755,0.1705115478268411,0.2743271416409857,-0.08979668519913939,149,0.9004276520099145,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,E1_PRICE_FORWARD_EPS,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E1_PRICE_FORWARD_EPS,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E1_PRICE_FORWARD_EPS,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E1_PRICE_FORWARD_EPS,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E1_PRICE_FORWARD_EPS,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E1_PRICE_FORWARD_EPS,2025,0.19106517980000154,0.19020847001636007,0.18003854096361618,0.10750730732651408,1.674663289787503,-0.08801297343550257,243,0.6615557200685088,7,273.36404000000005,723.699999999999,False,4.75210981676355e-11
STRESS,E1_PRICE_FORWARD_EPS,2026,0.02127931437325296,0.034789941644141176,0.05179486404748562,0.18802345875186566,0.2754702226589675,-0.09854718411409483,149,0.9909952609837569,2,102.28992000000001,263.49999999999557,False,5.6843418860808015e-11
STRESS,E2_MATCHED_PRICE,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E2_MATCHED_PRICE,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E2_MATCHED_PRICE,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E2_MATCHED_PRICE,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E2_MATCHED_PRICE,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E2_MATCHED_PRICE,2025,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E2_MATCHED_PRICE,2026,0.05185165799999971,0.08556951150939124,0.08789965955485034,0.10794038964271103,0.8143352071064717,-0.06711690186427376,149,0.52884299824525,6,206.0684,548.6000000000212,False,5.206857167650014e-11
STRESS,E3_FORWARD_EPS,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E3_FORWARD_EPS,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E3_FORWARD_EPS,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E3_FORWARD_EPS,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E3_FORWARD_EPS,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E3_FORWARD_EPS,2025,0.19825018359999935,0.19735867056155712,0.18906168672678092,0.13281234117818175,1.4235249905965799,-0.08776397167038542,243,0.8573513351578161,4,118.56328000000002,331.4000000000291,False,5.4797055781818926e-11
STRESS,E3_FORWARD_EPS,2026,0.015196848579060378,0.024798966674036953,0.04190421562910723,0.1870147893068586,0.22406899360429583,-0.09852956328450553,149,0.975988506452349,3,102.27468,264.9999999999955,False,4.3428372009657323e-11
STRESS,E4_EARNINGS_AND_PRICE_REGIME,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E4_EARNINGS_AND_PRICE_REGIME,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,E4_EARNINGS_AND_PRICE_REGIME,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E4_EARNINGS_AND_PRICE_REGIME,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,E4_EARNINGS_AND_PRICE_REGIME,2024,0.004840200199999774,0.004840200199999774,0.005552250605231457,0.038017395395525316,0.14604500249075353,-0.02935172258198874,242,0.0907875207814972,1,79.85996000000002,199.60000000002233,False,2.248157215944957e-11
STRESS,E4_EARNINGS_AND_PRICE_REGIME,2025,-0.024226553431236714,-0.024128068249607153,-0.023402726143135245,0.045198188332524994,-0.5177801811647934,-0.05313581203197569,243,0.07397092639895841,1,78.36296,199.60000000000016,False,2.751221472863108e-11
STRESS,E4_EARNINGS_AND_PRICE_REGIME,2026,0.02754630960621192,0.04512294073493223,0.05017556309889367,0.11013813775576504,0.4555693797016946,-0.05528524905191832,149,0.3935330354146748,4,313.58860000000004,851.2000000000319,False,2.3646862246096134e-11
STRESS,BUY_HOLD,2020,0.2808047000000005,0.2795009010867859,0.27305189524466833,0.22987665769421262,1.1878191460739282,-0.16066236988387847,243,0.9987206656200581,1,79.86,241.99999999999483,False,2.7284841053187847e-11
STRESS,BUY_HOLD,2021,-0.039111349294704896,-0.03895357367069714,-0.023836465947466953,0.17839610318891394,-0.13361539585999332,-0.169595750542091,243,0.9855969179255238,0,0.0,0.0,False,6.184563972055912e-11
STRESS,BUY_HOLD,2022,-0.19565117943640215,-0.19565117943640215,-0.19964698390479674,0.18990571438352594,-1.05129529436696,-0.268995792431154,242,0.9652750460694337,0,0.0,0.0,False,2.8194335754960775e-11
STRESS,BUY_HOLD,2023,-0.09167400984745548,-0.09167400984745548,-0.08847266870396875,0.1241588715812183,-0.7125762950100147,-0.1890726243471281,242,0.9474324087978188,0,0.0,0.0,False,2.6147972675971687e-11
STRESS,BUY_HOLD,2024,0.15932903507643253,0.15932903507643253,0.16873479424714566,0.20533270493983924,0.821762876481774,-0.11686865062529536,242,0.9273877392829509,0,0.0,0.0,False,2.830802259268239e-11
STRESS,BUY_HOLD,2025,0.19012989494689664,0.18927770253141757,0.1827450657396009,0.1363716749344863,1.3400514866990718,-0.09420692481264746,243,0.9271793006413872,0,0.0,0.0,False,2.773958840407431e-11
STRESS,BUY_HOLD,2026,0.019527086784026232,0.03190793735475157,0.04589350268381365,0.17060157944662785,0.2690098346842755,-0.08984209152720381,149,0.9009121768927896,1,91.61152000000001,241.99999999999483,False,5.4569682106375694e-11
