cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,O1_EPS_OPTIONAL_VALUATION,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,O1_EPS_OPTIONAL_VALUATION,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,O1_EPS_OPTIONAL_VALUATION,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,O1_EPS_OPTIONAL_VALUATION,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,O1_EPS_OPTIONAL_VALUATION,2024,0.23580246769999852,0.23580246769999852,0.22612247479572278,0.1728963036022613,1.3078502552368352,-0.1237698051689185,242,0.507437028081957,3,92.00646,267.59999999995983,False,3.842615114990622e-11
BASE,O1_EPS_OPTIONAL_VALUATION,2025,0.1746710747404025,0.17389310963531063,0.16780937385096312,0.12187051670738365,1.376948078868662,-0.07018926333939271,243,0.7297021903847547,7,197.41096,511.10000000003987,False,5.377387424232438e-11
BASE,O1_EPS_OPTIONAL_VALUATION,2026,0.021910516679270114,0.03582887835025487,0.052772336584729525,0.1878833087123905,0.2808782586723165,-0.09848039293981886,149,0.9902419750413574,2,64.26968000000001,192.6000000000073,False,5.184119800105691e-11
BASE,C0_ORIGINAL_EPS,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,C0_ORIGINAL_EPS,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,C0_ORIGINAL_EPS,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,C0_ORIGINAL_EPS,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,C0_ORIGINAL_EPS,2024,0.23580246769999852,0.23580246769999852,0.22612247479572278,0.1728963036022613,1.3078502552368352,-0.1237698051689185,242,0.507437028081957,3,92.00646,267.59999999995983,False,3.842615114990622e-11
BASE,C0_ORIGINAL_EPS,2025,0.16630618498642738,0.1655680381532345,0.16252182319625796,0.13573726001485426,1.1973265349431141,-0.10060198766385221,243,0.8380088771844697,5,122.08124,321.50000000001893,False,4.7066350816749036e-11
BASE,C0_ORIGINAL_EPS,2026,0.021924663609037102,0.03585216828745442,0.052819796965093785,0.18801667621418144,0.2809314472984486,-0.09854656028128625,149,0.9909324708838794,2,63.89096,191.40000000000725,False,5.638867150992155e-11
BASE,BUY_HOLD,2020,0.2814884467999998,0.2801811402090982,0.27355207408866355,0.22973862748596008,1.1907099693340903,-0.16055455715202166,243,0.9980743079350705,1,39.91064,145.2000000000055,False,2.7284841053187847e-11
BASE,BUY_HOLD,2021,-0.03909048117061911,-0.03893278801219865,-0.02383188177217863,0.17830056468572633,-0.13366128040135403,-0.16951436057712796,243,0.9850610403433633,0,0.0,0.0,False,8.185452315956354e-11
BASE,BUY_HOLD,2022,-0.1955425417304226,-0.1955425417304226,-0.19953602070306542,0.18977907942455732,-1.0514121014186222,-0.2688464292333853,242,0.9646426639612224,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2023,-0.0916107335204824,-0.0916107335204824,-0.08841361175105267,0.12407304945822596,-0.7125932032549951,-0.18895188368823768,242,0.9467762506277704,0,0.0,0.0,False,2.6147972675971687e-11
BASE,BUY_HOLD,2024,0.15920797025504138,0.15920797025504138,0.16860164826666224,0.205190869607964,0.8216820202029026,-0.11679840124068283,242,0.9267134558125625,0,0.0,0.0,False,2.830802259268239e-11
BASE,BUY_HOLD,2025,0.19000526796167636,0.1891536772596284,0.1826290577328328,0.13628707555074462,1.3400321123247918,-0.09414639544678001,243,0.9266042470655912,0,0.0,0.0,False,2.773958840407431e-11
BASE,BUY_HOLD,2026,0.020090666215121258,0.03283455662211168,0.04677594553211755,0.1705115478268411,0.2743271416409857,-0.08979668519913939,149,0.9004276520099145,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,O1_EPS_OPTIONAL_VALUATION,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,O1_EPS_OPTIONAL_VALUATION,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
STRESS,O1_EPS_OPTIONAL_VALUATION,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,O1_EPS_OPTIONAL_VALUATION,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
STRESS,O1_EPS_OPTIONAL_VALUATION,2024,0.23369877139999976,0.23369877139999976,0.224347465439114,0.1724603592768981,1.300863957258185,-0.12363830315961839,242,0.5069434105175861,3,183.54572000000002,492.70000000000346,False,2.887645678129047e-11
STRESS,O1_EPS_OPTIONAL_VALUATION,2025,0.16736600488439213,0.16662282668872208,0.1613947608869755,0.12022995525553452,1.3423839387110312,-0.06624803095770307,243,0.7115814776027316,8,352.85308,878.3000000000121,False,4.7066350816749036e-11
