origin,is_monthly_training_origin,actual_index_members,forward_eps_growth_median,eps_growth_company_count,same_year_profit_revision_90_median,profit_revision_company_count,reported_forward_earnings_yield_median,reported_earnings_yield_company_count,raw_eps_revision_90_unadjusted_median,raw_eps_revision_unadjusted_company_count,all_eps_features_valid,eps_company_coverage_of_index,mom60,sma120,vol60,price_features_valid,origin_index,Y60,label_exit_date,price_prequential_prediction,eps_adjustment,combined_prediction,view_state
2015-01-30,True,300,,0,,0,,0,,0,False,0.0,0.30649098317435836,0.22434139065336733,0.38630448393011646,True,652,0.3660714285714286,2015-05-06,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-02-27,True,300,,0,,0,,0,,0,False,0.0,0.2649070339496729,0.2161611639137453,0.39294013566487074,True,667,0.44711135919620415,2015-05-27,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-03-31,True,300,,0,,0,,0,,0,False,0.0,0.15240474871055573,0.27349212108905374,0.3238660225905584,True,689,0.10111524163568752,2015-06-29,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-04-30,True,300,,0,,0,,0,,0,False,0.0,0.3027775010129217,0.34758783165985374,0.2291594646974792,True,710,-0.21460223675880985,2015-07-28,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-05-29,True,300,,0,,0,,0,,0,False,0.0,0.3144662578773125,0.24420508486634374,0.2846941468894741,True,730,-0.35554171855541716,2015-08-25,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-06-30,True,300,,0,,0,,0,,0,False,0.0,0.09172606626265134,0.07486089487471981,0.41933085726495034,True,751,-0.25169913910285446,2015-09-25,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-07-31,True,300,,0,,0,,0,,0,False,0.0,-0.14614303913164742,-0.09809126039267779,0.6203343498196965,True,774,-0.07564575645756455,2015-11-04,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-08-31,True,300,,0,,0,,0,,0,False,0.0,-0.42230822643109567,-0.21410975842652247,0.6913882221129495,True,795,0.14601635867918805,2015-12-03,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-09-30,True,300,,0,,0,,0,,0,False,0.0,-0.22283304052146544,-0.2355826279566493,0.6318863903451346,True,815,0.13293591654247394,2015-12-31,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-10-30,True,300,,0,,0,,0,,0,False,0.0,-0.10653137804800834,-0.11812456951687522,0.4721638664249142,True,832,-0.1204276871131118,2016-01-26,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
2015-11-30,True,300,,0,,0,,0,,0,False,0.0,0.10262419936655448,-0.0706836616454235,0.32447272015397965,True,853,-0.17536071032186462,2016-03-02,,,,NO_PRICE_VIEW_KEEP_EXISTING_SHARES
